日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey_id	jockey_name	field	distance	weight	gain	bounty
2022/03/16	晴	3	12	1	1	4.2	3	2	56.0	良	1:32.4	0.1	11-11-8-5	0.0-40.4	39.8	高知	202254031603	はりまや盃	202254031603	a0270	岡村卓弥	ダ	1400	444	-1	105.0
2022/02/27	晴	7	9	7	7	1.0	1	1	56.0	稍	1:47.0	-2.1	8-8-6-1	0.0-41.2	40.1	高知	202254022707	ウマ娘アプリ一年特別	202254022707	a0270	岡村卓弥	ダ	1600	445	-4	140.0
2022/02/15	晴	9	9	8	8	1.4	1	1	56.0	重	1:44.1	-1.1	8-7-6-1	0.0-38.9	38.3	高知	202254021509	奈半利川特別	202254021509	a0270	岡村卓弥	ダ	1600	449	-2	160.0
2022/02/08	曇	10	7	2	2	1.4	1	2	56.0	稍	1:46.5	0.2	7-7-5-3	0.0-38.8	38.7	高知	202254020810	室津川特別	202254020810	a0270	岡村卓弥	ダ	1600	451	2	56.0
2022/01/25	曇	9	12	7	10	1.4	1	1	56.0	不	1:30.2	-0.6	10-7-6-2	0.0-39.3	38.2	高知	202254012509	Bー2	202254012509	a0270	岡村卓弥	ダ	1400	449	-1	100.0
2022/01/12	晴	9	8	4	4	2.4	1	1	56.0	稍	1:46.2	-1.1	7-6-5-1	0.0-39.1	38.7	高知	202254011209	轟公園特別	202254011209	a0270	岡村卓弥	ダ	1600	450	4	120.0
2021/12/29	曇	10	9	7	7	6.8	4	1	56.0	重	1:31.5	-0.4	8-9-8-3	0.0-39.2	38.3	高知	202154122910	高知城特別	202154122910	a0270	岡村卓弥	ダ	1400	446	9	120.0
2021/12/12	晴	6	12	5	6	10.3	4	2	56.0	重	1:32.0	0.0	10-8-6-4	0.0-39.7	38.8	高知	202154121206	TT結婚13周年特別	202154121206	a0270	岡村卓弥	ダ	1400	437	-3	24.5
2021/11/27	晴	7	11	7	9	2.9	2	6	56.0	重	1:26.4	1.1	7-6-5-5	0.0-39.7	40.1	高知	202154112707	C1C2混合	202154112707	05536	永森大智	ダ	1300	440	0	0.0
2021/11/13	晴	11	10	8	10	2.3	1	3	56.0	重	1:47.0	0.4	8-8-7-5	0.0-40.7	40.0	高知	202154111311	晩秋特別	202154111311	a0270	岡村卓弥	ダ	1600	440	0	22.0
2021/10/30	晴	5	9	1	1	12.8	5	3	56.0	稍	2:01.5	0.7	9-8-7-6	0.0-40.2	40.2	高知	202154103005	浦戸湾特別	202154103005	a0270	岡村卓弥	ダ	1800	440	2	60.0
2021/10/17	曇	6	11	3	3	2.0	1	1	56.0	重	1:31.8	-0.6	8-9-7-4	0.0-40.8	39.8	高知	202154101706	ファーストキッス特別	202154101706	a0270	岡村卓弥	ダ	1400	438	-2	50.0
2021/10/02	晴	6	10	7	8	3.7	2	3	56.0	良	1:27.2	0.2	9-9-9-5	0.0-41.7	40.7	高知	202154100206	C3ー2	202154100206	a0270	岡村卓弥	ダ	1300	440	-16	10.0
2021/09/16	曇	11	12	8	11	8.1	4	8	55.0	良	1:54.9	0.8	9-9-8-7	0.0-39.4	39.1	園田	202150091611	大和肉鶏特別B2	202150091611	05328	下原理	ダ	1700	456	-5	0.0
2021/08/26	曇	10	9	3	3	9.3	5	5	55.0	良	1:53.5	0.4	8-8-7-6	0.0-42.1	39.3	園田	202150082610	B2	202150082610	00815	川原正一	ダ	1700	461	6	11.0
2021/06/10	晴	11	12	7	9	46.9	7	6	56.0	良	2:05.4	1.5	10-11-10-9	0.0-39.9	39.5	園田	202150061011	兵庫ダービー(G)	202150061011	05589	木本直	ダ	1870	455	-4	0.0
2021/05/26	曇	9	8	7	7	4.9	4	1	54.0	良	1:54.0	-0.1	5-5-3-3	0.0-41.2	40.7	園田	202150052609	3歳AB	202150052609	05328	下原理	ダ	1700	459	-8	130.0
2021/05/05	雨	9	8	2	2	3.9	2	3	55.0	重	1:57.3	0.4	3-3-4-3	0.0-39.9	40.0	園田	202150050509	3歳B	202150050509	05522	井上幹太	ダ	1700	467	3	25.0
2021/04/14	曇	7	6	5	5	4.2	2	1	55.0	重	1:58.9	-0.1	2-2-2-2	0.0-39.4	39.3	園田	202150041407	3歳C1	202150041407	05522	井上幹太	ダ	1700	464	8	70.0
2021/03/31	晴	8	12	7	10	5.6	3	4	55.0	稍	1:33.4	0.9	5-8-6-5	0.0-39.6	40.0	姫路	202151033108	3歳C1一	202151033108	05522	井上幹太	ダ	1400	456	-2	6.0
2021/03/03	晴	7	12	8	12	6.4	3	3	54.0	重	1:40.7	1.2	8-8-8-6	0.0-39.1	39.1	姫路	202151030307	3歳C1	202151030307	05589	木本直	ダ	1500	458	2	8.4
2021/02/10	晴	9	12	5	6	7.0	3	5	55.0	良	1:33.2	0.7	9-8-7-7	0.0-39.5	39.4	姫路	202151021009	3歳C1一	202151021009	05522	井上幹太	ダ	1400	456	7	4.8
2021/01/26	曇	7	12	4	4	3.8	2	2	55.0	稍	1:34.1	0.4	5-6-4-3	0.0-40.1	40.1	姫路	202151012607	3歳C1	202151012607	05522	井上幹太	ダ	1400	449	-2	16.8
2021/01/03	晴	9	10	1	1	4.7	3	5	55.0	良	1:58.7	0.8	7-7-8-6	0.0-39.3	39.2	園田	202150010309	3歳	202150010309	05522	井上幹太	ダ	1700	451	1	10.4
2020/11/05	晴	3	9	1	1	4.7	2	6	55.0	重	1:52.2	1.2	8-8-7-5	0.0-37.9	38.1	門別	202030110503	2歳3組	202030110503	05502	松井伸也	ダ	1700	450	12	0.0
2020/10/08	曇	3	11	8	11	1.9	1	1	55.0	重	1:49.8	0.0	9-6-4-3	0.0-39.2	38.6	門別	202030100803	2歳未勝利(未勝利)	202030100803	05089	宮崎光行	ダ	1700	438	-4	50.0
2020/09/16	曇	2	8	1	1	16.8	4	3	55.0	重	1:50.9	0.0	7-7-7-5	0.0-40.9	40.2	門別	202030091602	2歳未勝利(未勝利)	202030091602	05502	松井伸也	ダ	1700	442	14	7.5
2020/08/27	曇	1	12	3	3	7.5	4	4	54.0	良	1:56.0	1.1	11-11-11-4	0.0-42.5	42.5	門別	202030082701	2歳未勝利(未勝利)	202030082701	05502	松井伸也	ダ	1700	428	-8	5.0
2020/08/12	晴	4	12	6	7	79.4	11	4	54.0	良	1:53.5	0.7	12-12-12-9	0.0-40.3	38.5	門別	202030081204	2歳未勝利(未勝利)	202030081204	05502	松井伸也	ダ	1700	436	-2	5.0
2020/07/30	晴	4	10	7	8	96.1	8	6	54.0	良	1:55.5	0.7	9-8-8-5	0.0-41.8	41.1	門別	202030073004	安平町メロン就農研修(未勝利)	202030073004	05411	桑村真明	ダ	1700	438	-10	0.0
2020/07/01	曇	6	8	6	6	11.3	4	7	54.0	重	1:11.6	2.5	8-8	0.0-39.2	39.7	門別	202030070106	JRA認定フレッシュ(新馬)	202030070106	05534	石川倭	ダ	1100	448	0	0.0
