rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	2	2		キタノユニヴァース	牡4	56.0		矢野貴之	1:42.0		1-1-1-1	40.6	1.2	1	506	-6		佐野謙二		シグラップ・マネジメ	100.0
2	5	6		ヴィラバドラ	牡6	56.0		本田正重	1:43.1	5.0	5-5-4-4	40.9	20.6	5	464	3		月岡健二		池田俊道	40.0
3	8	12		アタゴタイゼン	牡7	56.0		笹川翼	1:43.3	3/4	4-4-3-2	41.5	20.5	4	482	-3		渡部則夫		大志総合企画（株）	25.0
4	8	11		アジタマキングズ	牡5	56.0		山崎誠士	1:44.1	4.0	7-7-6-5	41.9	37.6	7	455	0		小野寺晋		（有）ジェムインタ	15.0
5	1	1		ケープオブストーム	牡4	54.0		篠谷葵	1:44.2	1/2	9-9-9-9	41.6	118.4	9	553	27		井上弘之		三浦良三	10.0
6	6	7		サブノテイオー	牡6	56.0		藤本現暉	1:44.3	1/2	8-8-8-6	41.9	14.4	3	508	1		阪本一栄		中川三郎	
7	7	9		リッキー	牡6	56.0		岡村健司	1:45.0	3.1/2	6-6-7-7	42.8	95.2	8	522	3		高橋清顕		今中俊平	
8	5	5		ナンセイスピード	牡4	56.0		達城龍次	1:45.5	2.1/2	11-11-10-11	42.3	248.4	12	483	-3		村上頼章		池田喜吉	
9	4	4		プロスペロ	牡4	56.0		藤田凌	1:45.6	1/2	2-2-2-3	44.0	27.0	6	487	-5		福永敏		村上憲政	
10	3	3		ライモンド	牡6	56.0		石崎駿	1:46.0	2.0	10-10-11-10	42.5	4.6	2	501	-6		森下淳平		（有）辻牧場	
11	6	8		カーディストリー	牝5	54.0		和田譲治	1:47.2	6.0	3-3-4-7	45.4	132.4	10	452	-2		福永敏		（有）下河辺牧場	
12	7	10		レンベルガー	牡8	56.0		遠藤健太	1:47.5	1.3/4	12-12-12-12	43.2	202.0	11	444	2		佐々木忠		蟹江知彦	
