waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2016104420	ヴァイトブリック	牡5	60.0	01059	石神	01114	和田郎	504	-6
2	2	2018106172	ウインガヴァナー	牡3	58.0	01139	森一	01028	西園	502	0
3	3	2018105731	メイショウアツイタ	牡3	58.0	01066	難波	01129	高橋忠	494	10
3	4	2017100997	テーオーソクラテス	牡4	60.0	01063	小坂	01146	奥村豊	452	8
4	5	2018104789	アサクサトラマル	牡3	58.0	01087	上野	01054	戸田	462	2
4	6	2015103124	テイエムディラン	牡6	60.0	01005	西谷誠	01033	木原	482	-4
5	7	2017102786	ラブオナヴィータ	牝4	58.0	01068	蓑島	01103	尾関	464	0
5	8	2015102215	マリオ	牡6	60.0	01067	平沢	01042	安達	502	-6
6	9	2018110085	ショベルヘッド	セ3	58.0	01069	五十嵐	00386	藤沢和	470	0
6	10	2015105691	ニホンピロマドン	牡6	60.0	01101	中村	01040	服部	524	12
7	11	2016104029	トゥーフラッシー	牝5	58.0	01120	大江原	01005	小桧山	476	0
7	12	2018105486	ショウナンラッキー	牡3	58.0	01123	小野寺	00423	上原	472	0
8	13	2018105993	サムライスピアー	牡3	58.0	01113	草野	01052	菊川	448	8
8	14	2018106474	タイキフロリゼル	牡3	58.0	00691	北沢	00362	橋田	476	6
