	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気
201643011901	ダ	左	1200	晴	不良	10:50	C3　十一		2016-1-19	10	船橋	2			4	4580	7	4	600	8	5	110	1	7.0	460	6.0	4-5	1840	6	4-5	740	6	4-7	4,250	30	5-7	600	5	4=>5	8580	22	4-5-7	6070	21	4=>5=>7	87270	206		8111371056492	(8,11),3,7,1,(5,10),6,9,4-2	8113105761942	12.8 - 11.8 - 12.2 - 12.6 - 14.1 - 14.8	12.8 - 24.6 - 36.8 - 49.4 - 63.5 - 78.3 (36.8-41.5)	4-5	1680.0	5.0	4=>5	9460.0	18.0
201643011902	ダ	左	1500	晴	不良	11:20	C3　十一		2016-1-19	10	船橋	2			4	1340	5	4	320	5	6	200	4	10.0	150	3.0	4-6	4330	16	4-6	1,090	15	4-10	900	12	6-10	430	5	4=>6	8710	32	4-6-10	3180	11	4=>6=>10	33230	117	4611151072389	4611151072839	4,6,11,(1,10),5,7,3,2,8,9	4611101573289	7.3 - 12.7 - 13.4 - 13.6 - 12.9 - 13.4 - 13.7 - 14.1	7.3 - 20.0 - 33.4 - 47.0 - 59.9 - 73.3 - 87.0 - 101.1 (33.4-41.2)	4-6	3200.0	10.0	4=>6	8510.0	24.0
201643011903	ダ	左	1000	晴	不良	11:50	C3　選抜馬		2016-1-19	10	船橋	2			6	390	2	6	150	2	1	110	1	7.0	160	3.0	1-6	300	1	1-6	170	1	6-7	360	5	1-7	310	3	6=>1	710	1	1-6-7	760	1	6=>1=>7	2880	2			4,6,(1,9),12,2,3,11,7,8,(5,10)	469112231178105	12.5 - 11.5 - 12.2 - 12.2 - 13.9	12.5 - 24.0 - 36.2 - 48.4 - 62.3 (36.2-38.3)	1-5	400.0	1.0	5=>1	890.0	3.0
201643011904	ダ	左	1200	晴	不良	12:20	『冬はやっぱり優売店		2016-1-19	10	船橋	2			11	210	1	11	120	1	4	130	2	3.0	210	5.0	4-11	690	2	4-11	330	2	3-11	250	1	3-4	770	10	11=>4	1250	2	3-4-11	2060	5	11=>4=>3	7070	10		138111292461075	1,3,8,(9,11),2,12,4,7,10,6,5	318911124276105	13.1 - 11.8 - 12.3 - 12.5 - 13.0 - 13.9	13.1 - 24.9 - 37.2 - 49.7 - 62.7 - 76.6 (37.2-39.4)	4-8	660.0	3.0	8=>4	1000.0	2.0
201643011905	ダ	左	1500	晴	不良	12:50	山口吉久生誕90年記		2016-1-19	10	船橋	2			3	520	3	3	220	3	8	250	4	10.0	520	8.0	3-8	2510	10	3-8	1,110	14	3-10	1,740	19	8-10	1,790	20	3=>8	4630	15	3-8-10	10560	35	3=>8=>10	40740	127	810349275111612	810934726115121	810937212645111	810397122654111	7.0 - 12.2 - 12.5 - 12.8 - 12.3 - 12.5 - 13.7 - 14.6	7.0 - 19.2 - 31.7 - 44.5 - 56.8 - 69.3 - 83.0 - 97.6 (31.7-40.8)	3-6	860.0	5.0	3=>6	2310.0	9.0
201643011906	ダ	左	1200	晴	不良	13:20	C2五　六		2016-1-19	10	船橋	2			11	370	1	11	160	3	7	150	2	3.0	160	4.0	7-11	1090	3	7-11	360	2	3-11	560	7	3-7	250	1	11=>7	2590	12	3-7-11	1410	2	11=>7=>3	8540	11		371011182512469.0	371011112825694.0	371110121825694.0	12.7 - 11.4 - 12.0 - 12.3 - 12.8 - 13.6	12.7 - 24.1 - 36.1 - 48.4 - 61.2 - 74.8 (36.1-38.7)	6-8	510.0	1.0	8=>6	1100.0	2.0
201643011907	ダ	左	1600	晴	不良	13:50	C2二		2016-1-19	10	船橋	2			3	170	1	3	100	1	1	110	2	5.0	130	3.0	1-3	280	1	1-3	160	1	3-5	190	2	1-5	290	3	3=>1	450	1	1-3-5	490	1	3=>1=>5	1390	1	121510891137624	121510893117624	(12,1),5,10,3,9,8,6,11,4,7,2	112510396811427	13.0 - 12.0 - 12.8 - 13.2 - 13.2 - 13.5 - 13.6 - 13.4	13.0 - 25.0 - 37.8 - 51.0 - 64.2 - 77.7 - 91.3 - 104.7 (37.8-40.5)	1-3	350.0	1.0	3=>1	540.0	1.0
201643011908	ダ	左	1000	晴	不良	14:20	C2　選抜馬		2016-1-19	10	船橋	2			11	350	2	11	180	2	6	670	8	3.0	180	3.0	6-11	6620	20	6-11	1,370	18	3-11	380	3	3-6	1,280	17	11=>6	13230	36	3-6-11	7530	27	11=>6=>3	49460	151			11,(9,10),3,2,5,(6,8),1,7,4	1191032568174	12.1 - 11.2 - 11.8 - 12.5 - 14.7	12.1 - 23.3 - 35.1 - 47.6 - 62.3 (35.1-39.0)	6-8	3550.0	14.0	8=>6	5010.0	20.0
201643011909	ダ	左	1600	晴	不良	14:55	ベストサドル特別 		2016-1-19	10	船橋	2	(別定)		8	470	3	8	160	3	7	130	1	2.0	260	5.0	7-8	620	2	7-8	260	1	2-8	1,110	15	2-7	720	8	8=>7	1180	1	2-7-8	2580	7	8=>7=>2	9990	28	23758110694	23758101694	2,7,(3,6),8,10,5,1,9-4	2,7,8,3,10,6,5,1,9=4	12.8 - 12.9 - 13.8 - 13.1 - 12.4 - 12.9 - 13.5 - 14.3	12.8 - 25.7 - 39.5 - 52.6 - 65.0 - 77.9 - 91.4 - 105.7 (39.5-40.7)	7-7	600.0	3.0	7=>7	630.0	1.0
201643012001	ダ	左	1500	晴	重	10:50	「ふなばし三番瀬海浜		2016-1-20	10	船橋	3			10	140	1	10	120	1	2	770	10	7.0	310	4.0	2-10	6000	15	2-10	2,580	23	7-10	490	3	2-7	10,980	46	10=>2	7780	21	2-7-10	22680	54	10=>2=>7	67100	167	4101179153826	1110479153826	4,10,11,7,3,9,8,1,5,2-6	1041137829156	7.2 - 12.2 - 12.8 - 12.9 - 12.8 - 13.1 - 14.2 - 14.9	7.2 - 19.4 - 32.2 - 45.1 - 57.9 - 71.0 - 85.2 - 100.1 (32.2-42.2)	2-8	7770.0	19.0	8=>2	7400.0	19.0
201643012002	ダ	左	1200	晴	重	11:20	YOUTUBE検索「		2016-1-20	10	船橋	3			10	270	2	10	110	3	9	100	1	2.0	110	2.0	9-10	290	1	9-10	140	1	2-10	200	3	2-9	150	2	10=>9	560	2	2-9-10	270	1	10=>9=>2	1270	3		109261218371145.0	910261218311745.0	910261218311745.0	12.5 - 11.3 - 12.2 - 12.6 - 13.3 - 14.0	12.5 - 23.8 - 36.0 - 48.6 - 61.9 - 75.9 (36.0-39.9)	7-7	280.0	2.0	7=>7	240.0	1.0
201643012003	ダ	左	1500	晴	重	11:50	県ブランド認定船橋ス		2016-1-20	10	船橋	3			9	130	1	9	100	1	4	140	2	7.0	830	8.0	4-9	170	1	4-9	130	1	7-9	1,140	12	4-7	1,560	17	9=>4	250	1	4-7-9	3120	10	9=>4=>7	6210	18	3104911867521	3410911876512	3410978611512	4,10,3,9,8,7,6,11,5,1-2	7.2 - 12.0 - 12.7 - 12.9 - 13.0 - 13.2 - 13.7 - 15.4	7.2 - 19.2 - 31.9 - 44.8 - 57.8 - 71.0 - 84.7 - 100.1 (31.9-42.3)	4-7	190.0	1.0	7=>4	200.0	1.0
201643012004	ダ	左	1200	晴	重	12:20	船橋にんじん、枝豆、		2016-1-20	10	船橋	3			7	320	2	7	140	2	3	570	6	4.0	190	3.0	3-7	3130	9	3-7	990	12	4-7	250	2	3-4	1,200	14	7=>3	4070	14	3-4-7	4040	12	7=>3=>4	20030	56		1185374269110	8,11,(7,4),5,3,2,6,9,1,10	8114735296101	13.0 - 11.7 - 12.1 - 12.4 - 13.1 - 14.0	13.0 - 24.7 - 36.8 - 49.2 - 62.3 - 76.3 (36.8-39.5)	3-6	2700.0	8.0	6=>3	4040.0	13.0
201643012005	ダ	左	1500	晴	重	12:50	船橋ホンビノス貝カッ		2016-1-20	10	船橋	3			5	960	4	5	280	5	8	150	2	2.0	170	3.0	5-8	1660	7	5-8	610	7	2-5	1,110	11	2-8	410	4	5=>8	2910	10	2-5-8	2670	9	5=>8=>2	13460	40	9734181156210	7,9-3,4,11,8,1,5,6,2,10	7,9,(4,8),11,5,3,1,6,2,10	7489511362110	7.4 - 11.9 - 12.0 - 12.7 - 12.9 - 13.7 - 14.0 - 15.3	7.4 - 19.3 - 31.3 - 44.0 - 56.9 - 70.6 - 84.6 - 99.9 (31.3-43.0)	5-7	1150.0	5.0	5=>7	3080.0	14.0
201643012006	ダ	左	1500	晴	重	13:20	ふなばしセレクション		2016-1-20	10	船橋	3			8	870	4	8	210	6	10	120	1	1.0	130	2.0	8-10	860	4	8-10	350	5	1-8	350	4	1-10	190	1	8=>10	2570	11	1-8-10	730	2	8=>10=>1	7010	24	83710129456	38710129456	3,8,(7,1,10),2,4,9,5,6	83110724956	7.0 - 12.2 - 12.5 - 12.4 - 12.7 - 13.0 - 14.1 - 14.9	7.0 - 19.2 - 31.7 - 44.1 - 56.8 - 69.8 - 83.9 - 98.8 (31.7-42.0)	7-8	640.0	2.0	7=>8	1480.0	7.0
201643012007	ダ	左	1200	晴	重	13:50	小松菜ハイボールをも		2016-1-20	10	船橋	3			7	200	1	7	100	1	3	180	3	6.0	1,180	8.0	3-7	510	2	3-7	240	2	6-7	2,220	17	3-6	2,940	21	7=>3	760	3	3-6-7	9690	22	7=>3=>6	24150	59		2,(1,7,9),5,3,6,8,4	279315684	273916584	12.5 - 11.2 - 11.7 - 12.9 - 13.4 - 14.2	12.5 - 23.7 - 35.4 - 48.3 - 61.7 - 75.9 (35.4-40.5)	3-7	550.0	2.0	7=>3	890.0	4.0
201643012008	ダ	左	1600	晴	重	14:20	「音楽のまちふなばし		2016-1-20	10	船橋	3			6	790	4	6	210	4	1	180	3	3.0	360	7.0	1-6	1890	10	1-6	490	6	3-6	1,130	17	1-3	820	13	6=>1	4690	22	1-3-6	5420	22	6=>1=>3	44290	154	678235194	678235149	678532149	678351249	13.0 - 12.4 - 13.3 - 12.8 - 12.5 - 12.8 - 13.2 - 14.5	13.0 - 25.4 - 38.7 - 51.5 - 64.0 - 76.8 - 90.0 - 104.5 (38.7-40.5)	1-6	2040.0	8.0	6=>1	6220.0	28.0
201643012009	ダ	左	1600	晴	重	14:55	ふなばし海苔ノリ杯 		2016-1-20	10	船橋	3	210万円以上		12	210	1	12	160	2	6	460	7	2.0	210	3.0	6-12	2590	11	6-12	960	13	2-12	630	8	2-6	1,560	21	12=>6	3130	12	2-6-12	7370	27	12=>6=>2	27830	95	116125104739812	116125104739821	116124103572981	611121042397581	12.8 - 12.6 - 12.8 - 13.0 - 12.8 - 12.7 - 13.8 - 14.3	12.8 - 25.4 - 38.2 - 51.2 - 64.0 - 76.7 - 90.5 - 104.8 (38.2-40.8)	5-8	1810.0	9.0	8=>5	1930.0	6.0
201643012010	ダ	左	1800	晴	重	15:30	目利き番頭船えもんカ		2016-1-20	10	船橋	3			3	160	1	3	110	1	6	120	2	8.0	220	4.0	3-6	330	1	3-6	160	1	3-8	470	4	6-8	770	10	3=>6	470	1	3-6-8	1650	4	3=>6=>8	4030	9	18364710259	18364721059	(3,6),8,1,7,10,4,5,2,9	83617104529	12.3 - 12.6 - 13.0 - 13.7 - 13.5 - 12.7 - 12.8 - 13.8 - 14.2	12.3 - 24.9 - 37.9 - 51.6 - 65.1 - 77.8 - 90.6 - 104.4 - 118.6 (37.9-40.8)	3-6	310.0	1.0	3=>6	460.0	2.0
201643012011	ダ	左	1000	晴	重	16:05	船橋記念	G	2016-1-20	10	船橋	3	(別定)		3	450	3	3	150	3	9	170	4	4.0	140	2.0	3-9	1790	7	3-9	410	6	3-4	270	3	4-9	450	7	3=>9	3280	11	3-4-9	1630	6	3=>9=>4	13240	45			42391051867	4,2,3,9,10,5,1,6,8-7	12.0 - 10.7 - 11.4 - 12.9 - 13.8	12.0 - 22.7 - 34.1 - 47.0 - 60.8 (34.1-38.1)	3-8	900.0	6.0	3=>8	1870.0	10.0
201643012012	ダ	左	1600	晴	重	16:40	西船橋小松菜杯 		2016-1-20	10	船橋	3	(ハンデ)		5	350	2	5	140	1	9	200	3	1.0	430	8.0	5-9	590	1	5-9	330	2	1-5	720	6	1-9	880	10	5=>9	1230	1	1-5-9	2260	5	5=>9=>1	8330	10	9131461511378101224	6914131511378101224	(6,9),14,11,1,5,13,8,7,3,10,12,2,4	9116514181372103412	13.0 - 12.6 - 13.1 - 13.1 - 12.6 - 12.5 - 13.6 - 14.2	13.0 - 25.6 - 38.7 - 51.8 - 64.4 - 76.9 - 90.5 - 104.7 (38.7-40.3)	4-6	530.0	1.0	4=>6	1190.0	1.0
201643012101	ダ	左	1200	晴	重	10:50	3歳五		2016-1-21	10	船橋	4	34万円以上50万円未満		6	350	2	6	170	2	3	470	6	7.0	1,510	9.0	3-6	3670	15	3-6	1,170	14	6-7	4,150	28	3-7	13,290	42	6=>3	5420	21	3-6-7	66580	84	6=>3=>7	200730	344		611131057284	6,11,1,3,(10,7),5,8,2,4	611371108245	12.9 - 12.2 - 12.8 - 13.1 - 13.5 - 13.9	12.9 - 25.1 - 37.9 - 51.0 - 64.5 - 78.4 (37.9-40.5)	3-6	3170.0	11.0	6=>3	4290.0	17.0
201643012102	ダ	左	1200	晴	重	11:20	3歳四		2016-1-21	10	船橋	4	50万円以上81万円未満		3	330	2	3	120	2	10	100	1	8.0	230	4.0	3-10	240	1	3-10	150	1	3-8	570	7	8-10	420	4	3=>10	950	3	3-8-10	1030	2	3=>10=>8	6120	16		2831410117596	2,8,10,3,4,1,11,7-6,9,5	2,8,10,3,4,1,11,7-6,9-5	12.5 - 11.7 - 12.2 - 12.5 - 13.2 - 14.3	12.5 - 24.2 - 36.4 - 48.9 - 62.1 - 76.4 (36.4-40.0)	3-8	230.0	1.0	3=>8	1280.0	4.0
201643012103	ダ	左	1500	曇	重	11:50	C3五　六		2016-1-21	10	船橋	4			10	120	1	10	110	1	2	240	4	7.0	540	6.0	2-10	1010	4	2-10	500	5	7-10	930	10	2-7	3,720	27	10=>2	1050	5	2-7-10	5830	20	10=>2=>7	12220	40	7108651121493	7108562111493	7,10,8,(5,6),2,11,4,1,9,3	7108621154193	7.1 - 12.3 - 13.2 - 13.0 - 12.8 - 13.0 - 13.4 - 13.8	7.1 - 19.4 - 32.6 - 45.6 - 58.4 - 71.4 - 84.8 - 98.6 (32.6-40.2)	2-8	830.0	4.0	8=>2	950.0	5.0
201643012104	ダ	左	1200	曇	重	12:20	C3五　六		2016-1-21	10	船橋	4			10	270	1	10	140	1	8	310	5	7.0	680	9.0	8-10	1080	4	8-10	480	5	7-10	1,220	14	7-8	3,490	35	10=>8	1590	5	7-8-10	6190	25	10=>8=>7	16440	47		1049113785162.0	1091148375162.0	1091148357162.0	12.6 - 11.4 - 12.0 - 12.7 - 13.4 - 14.4	12.6 - 24.0 - 36.0 - 48.7 - 62.1 - 76.5 (36.0-40.5)	7-8	520.0	2.0	8=>7	800.0	4.0
201643012105	ダ	左	1500	曇	重	12:50	C3二		2016-1-21	10	船橋	4			9	190	1	9	130	1	6	280	6	3.0	170	3.0	6-9	1050	4	6-9	470	6	3-9	350	3	3-6	800	13	9=>6	1730	5	3-6-9	1720	6	9=>6=>3	6650	16	39101672458	39101672458	39106712458	39610724158	7.0 - 12.1 - 13.2 - 13.1 - 12.5 - 12.8 - 13.7 - 14.1	7.0 - 19.1 - 32.3 - 45.4 - 57.9 - 70.7 - 84.4 - 98.5 (32.3-40.6)	6-8	870.0	4.0	8=>6	1960.0	6.0
201643012106	ダ	左	1200	曇	重	13:20	頑張れケンケン		2016-1-21	10	船橋	4			7	260	1	7	140	2	5	140	3	8.0	480	8.0	5-7	570	2	5-7	220	1	7-8	670	7	5-8	1,540	21	7=>5	1010	1	5-7-8	2650	9	7=>5=>8	9670	21		912103458116127	9,1,2,10,3,(5,4),11,8,7,6,12	192103511487612	12.3 - 11.3 - 12.0 - 12.7 - 13.4 - 14.2	12.3 - 23.6 - 35.6 - 48.3 - 61.7 - 75.9 (35.6-40.3)	5-6	500.0	2.0	6=>5	890.0	4.0
201643012107	ダ	左	1500	曇	重	13:50	C2　十一		2016-1-21	10	船橋	4			9	370	2	9	160	2	4	210	3	5.0	590	8.0	4-9	1930	6	4-9	730	5	5-9	2,210	19	4-5	2,910	25	9=>4	2960	10	4-5-9	14490	44	9=>4=>5	41950	121	127869253111041	127862953101141	12,7,8,6,(2,9),3,5,11,(10,4),1	127938624511101	7.2 - 11.7 - 13.5 - 13.1 - 12.7 - 12.9 - 13.4 - 14.1	7.2 - 18.9 - 32.4 - 45.5 - 58.2 - 71.1 - 84.5 - 98.6 (32.4-40.4)	4-7	2750.0	8.0	7=>4	5190.0	16.0
201643012108	ダ	左	1200	曇	重	14:20	C2九　十		2016-1-21	10	船橋	4			5	340	2	5	170	2	3	180	3	6.0	690	8.0	3-5	850	3	3-5	380	4	5-6	2,340	24	3-6	2,570	26	5=>3	1700	5	3-5-6	11200	35	5=>3=>6	42070	145		531111226948710	5,3,(1,11),2,12,6,9,4,8,10,7	531111226941087	12.7 - 12.0 - 12.1 - 12.6 - 12.4 - 13.8	12.7 - 24.7 - 36.8 - 49.4 - 61.8 - 75.6 (36.8-38.8)	3-5	930.0	4.0	5=>3	1960.0	11.0
201643012109	ダ	左	1500	曇	重	14:55	C2九　十		2016-1-21	10	船橋	4			6	3820	9	6	450	7	11	270	4	3.0	160	2.0	6-11	9150	29	6-11	2,640	34	3-6	1,190	13	3-11	660	5	6=>11	32370	77	3-6-11	9280	32	6=>11=>3	166150	496	237948116105121	237498115610112	2,(3,7),9,4,11,8,6,5,10,1,12	239741186510121	7.1 - 12.4 - 12.7 - 12.7 - 12.4 - 12.7 - 13.1 - 14.7	7.1 - 19.5 - 32.2 - 44.9 - 57.3 - 70.0 - 83.1 - 97.8 (32.2-40.5)	5-8	3740.0	16.0	5=>8	7370.0	31.0
