	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201655011702	ダ	右	1300	雨	良	12:30	C2ー37組		2016-1-17	20	佐賀	2	(馬齢)		3	430	2	3.0	160	2.0	7.0	120	1.0	3-7	360	1	3-7	120	1	3-6	260	4	6-7	190	2	3=>7	1380	4	3-6-7	360	1	3=>7=>6	2410	5	7362541.0	7326451.0	7364251.0	3762541.0								
201655011703	ダ	右	1300	雨	良	13:00	C2ー34組		2016-1-17	20	佐賀	2	(馬齢)		8	150	1	8.0	120	1.0	4.0	190	4.0	4-8	340	2	4-8	190	2	2-8	550	7	2-4	800	9	8=>4	580	3	2-4-8	1890	7	8=>4=>2	4030	15	34286715.0	34286715.0	34827615.0	34827615.0			2.0	530.0	6.0			
201655011704	ダ	右	1300	雨	良	13:30	C2ー32組		2016-1-17	20	佐賀	2	(馬齢)		1	600	3	1.0	110	2.0	5.0	100	1.0	1-5	300	2	1-5	140	2	1-7	200	3	5-7	120	1	1=>5	950	4	1-5-7	230	1	1=>5=>7	1790	5	45178236.0	41527836.0	41527836.0	15427836.0			7.0	120.0	3.0			
201655011705	ダ	右	1300	雨	良	14:00	C2ー30組		2016-1-17	20	佐賀	2	(馬齢)		1	140	1	1.0	130	2.0	3.0	250	4.0	1-3	380	2	1-3	260	2	1-7	470	7	3-7	710	10	1=>3	490	2	1-3-7	1900	6	1=>3=>7	3590	11	12356874.0	12356784.0	12357648.0	13275648.0			7.0	390.0	6.0			
201655020601	ダ	右	1300	曇	稍重	12:00	C2ー33組		2016-2-6	21	佐賀	1	(馬齢)		5	130	1	5.0	100	1.0	1.0	100	2.0	1-5	200	1	1-5	110	1	4-5	110	2	1-4	180	3	5=>1	240	1	1-4-5	150	1	5=>1=>4	430	2	51482763.0	54128763.0	54128763.0	51487263.0			4.0	110.0	3.0			
201655020602	ダ	右	1300	曇	稍重	12:30	C2ー31組		2016-2-6	21	佐賀	1	(馬齢)		2	130	1	2.0	100	1.0	5.0	100	2.0	2-5	180	1	2-5	130	1	2-8	200	3	5-8	290	5	2=>5	270	1	2-5-8	420	2	2=>5=>8	870	1	25834671.0	25384671.0	25348671.0	25834617.0			8.0	140.0	4.0			
201655020603	ダ	右	1300	曇	稍重	13:00	C2ー29組		2016-2-6	21	佐賀	1	(馬齢)		2	120	1	2.0	100	1.0	4.0	120	3.0	2-4	400	2	2-4	180	2	1-2	140	1	1-4	320	5	2=>4	530	2	1-2-4	370	1	2=>4=>1	1250	3	41627853.0	46127853.0	46128753.0	41268753.0			1.0	120.0	2.0			
201655020701	ダ	右	1300	曇	稍重	12:00	C2ー32組		2016-2-7	21	佐賀	2	(馬齢)		3	230	1	3.0	110	2.0	1.0	100	1.0	1-3	300	1	1-3	160	1	2-3	460	8	1-2	490	9	3=>1	670	2	1-2-3	760	3	3=>1=>2	2470	6	27143568.0	27143586.0	27145386.0	21374586.0			2.0	260.0	6.0			
201655020702	ダ	右	1300	曇	稍重	12:30	C2ー30組		2016-2-7	21	佐賀	2	(馬齢)		6	170	1	6.0	140	3.0	1.0	120	1.0	1-6	130	1	1-6	110	1	2-6	760	12	1-2	710	11	6=>1	290	2	1-2-6	760	4	6=>1=>2	2380	9	16234785.0	16234785.0	16234758.0	61234758.0			2.0	470.0	7.0			
201655020703	ダ	右	1300	曇	稍重	13:05	C2ー28組		2016-2-7	21	佐賀	2	(馬齢)		2	650	2	2.0	100	1.0	3.0	190	4.0	2-3	1520	6	2-3	220	4	2-5	130	1	3-5	190	3	2=>3	4070	11	2-3-5	560	2	2=>3=>5	7230	24	26354871.0	26354871.0	25634871.0	25386714.0			5.0	100.0	2.0			
201655020704	ダ	右	1300	曇	稍重	13:40	C2ー26組		2016-2-7	21	佐賀	2	(馬齢)		3	120	1	3.0	100	1.0	2.0	150	4.0	2-3	520	3	2-3	210	3	3-8	150	1	2-8	510	7	3=>2	640	3	2-3-8	590	2	3=>2=>8	1740	5	32578416.0	35278416.0	35287416.0	38254716.0			8.0	120.0	2.0			
201655020705	ダ	右	1400	曇	稍重	14:15	C2ー24組		2016-2-7	21	佐賀	2	(馬齢)		7	730	4	7.0	330	5.0	1.0	170	2.0	1-7	1370	6	1-7	390	4	4-7	1,910	22	1-4	1,230	17	7=>1	3090	12	1-4-7	7010	23	7=>1=>4	48960	131	71328456.0	73124856.0	73128456.0	73142856.0			4.0	550.0	8.0			
201655020706	ダ	右	1400	曇	稍重	14:50	C2ー22組		2016-2-7	21	佐賀	2	(馬齢)		2	130	1	2.0	100	1.0	3.0	240	5.0	2-3	700	4	2-3	270	5	2-4	150	1	3-4	400	7	2=>3	840	4	2-3-4	560	3	2=>3=>4	2310	6	32854761.0	32854761.0	32458761.0	23458761.0			4.0	100.0	2.0			
201655020707	ダ	右	1400	晴	稍重	15:25	C2ー20組		2016-2-7	21	佐賀	2	(馬齢)		9	270	2	9.0	100	2.0	1.0	100	1.0	1-9	240	1	1-9	120	1	2-9	150	2	1-2	150	3	9=>1	530	2	1-2-9	180	1	9=>1=>2	890	3	91247568.0	91247568.0	91247658.0	19246758.0			2.0	110.0	3.0	1-8	220.0	1.0
201655020708	ダ	右	1400	晴	稍重	16:00	チャレンジシリーズ		2016-2-7	21	佐賀	2	(馬齢)		5	370	2	5.0	110	1.0	7.0	160	3.0	5-7	1480	6	5-7	520	5	1-5	580	9	1-7	580	8	5=>7	2610	7	1-5-7	2670	10	5=>7=>1	13380	44	396147258.0	396147258.0	396174528.0	315762498.0			1.0	180.0	4.0	5-7	1340.0	5.0
201655021301	ダ	右	1300	雨	重	12:00	3歳ー7組		2016-2-13	21	佐賀	4	(馬齢)		4	130	1	4.0	190	2.0	2.0	1,740	7.0	2-4	8330	15	2-4	3,230	17	4-6	350	4	2-6	4,360	20	4=>2	8180	20	2-4-6	14840	23	4=>2=>6	70370	105	3426715.0	3427165.0	4372165.0	4267153.0								
201655021302	ダ	右	1300	雨	重	12:30	C2ー35組		2016-2-13	21	佐賀	4	(馬齢)		2	200	1	2.0	120	1.0	9.0	240	4.0	2-9	2360	8	2-9	690	7	2-8	1,160	12	8-9	3,790	21	2=>9	3580	11	2-8-9	10770	25	2=>9=>8	48870	96	128354796.0	123845796.0	123854796.0	218359746.0			8.0	490.0	6.0	2-8	1250.0	5.0
