日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey_id	jockey_name	field	distance	weight	gain	bounty
2022/03/13	晴	12	16	8	16	10.9	5	6	57.0	良	1:13.2	0.6	10-11	34.1-38.5	37.2	中山	202206020612	4歳以上1勝クラス	202206020612	01077	石橋脩	ダ	1200	502	-6	0.0
2022/01/16	晴	7	16	2	3	16.4	8	2	56.0	良	1:12.5	0.1	4-3	34.8-37.6	37.5	中山	202206010607	4歳以上1勝クラス	202206010607	01077	石橋脩	ダ	1200	508	-6	310.0
2021/12/28	晴	8	16	5	9	222.2	14	5	56.0	良	1:11.8	0.8	7-7	33.7-37.3	37.5	中山	202106050908	3歳以上1勝クラス	202106050908	01153	木幡初也	ダ	1200	514	24	76.0
2021/09/03	曇	11	11	6	7	1.8	1	4	56.0	不	1:33.3	1.1	5-5-3-3	0.0-39.9	40.7	園田	202150090311	ダリア賞C1	202150090311	05390	吉村智洋	ダ	1400	490	-5	12.0
2021/08/13	雨	9	12	7	10	1.6	1	1	55.0	不	1:32.4	-0.4	1-1-1-1	0.0-39.4	39.4	園田	202150081309	C1	202150081309	05390	吉村智洋	ダ	1400	495	1	80.0
2021/07/30	晴	8	10	7	7	1.5	1	1	56.0	良	1:31.0	-0.3	3-3-2-2	0.0-39.0	38.6	園田	202150073008	C2一	202150073008	05390	吉村智洋	ダ	1400	494	3	60.0
2021/07/15	曇	9	10	1	1	2.5	2	1	55.0	重	1:31.2	-0.1	5-5-5-3	0.0-39.0	38.6	園田	202150071509	C2二	202150071509	05390	吉村智洋	ダ	1400	491	-7	60.0
2021/06/24	晴	9	12	7	9	1.2	1	2	55.0	良	1:31.8	0.2	3-4-2-2	0.0-40.1	39.8	園田	202150062409	3歳C1一	202150062409	05390	吉村智洋	ダ	1400	498	0	28.0
2021/06/02	晴	7	12	7	9	2.8	1	2	55.0	良	1:31.6	0.2	2-2-2-2	0.0-39.3	39.3	園田	202150060207	3歳C1二	202150060207	05390	吉村智洋	ダ	1400	498	6	28.0
2021/05/08	晴	3	15	2	3	43.4	9	6	53.0	良	1:13.4	1.2	9-6	34.7-37.5	38.1	新潟	202104020103	3歳未勝利	202104020103	01181	秋山稔樹	ダ	1200	492	-10	0.0
2021/04/25	曇	6	15	5	8	64.7	12	4	53.0	良	1:14.0	0.9	4-4	35.4-37.7	38.2	新潟	202104010606	3歳未勝利	202104010606	01181	秋山稔樹	ダ	1200	502	2	77.0
2021/03/21	雨	2	16	5	10	129.1	12	12	56.0	不	1:14.0	2.5	10-9	34.7-36.8	38.2	阪神	202109011202	3歳未勝利	202109011202	01143	原田和真	ダ	1200	500	-4	0.0
2021/03/06	曇	2	16	1	1	52.7	9	11	56.0	稍	1:14.1	1.1	4-3	34.3-38.7	39.4	中山	202106020302	3歳未勝利	202106020302	01162	木幡巧也	ダ	1200	504	-2	0.0
2020/12/13	晴	1	16	3	6	15.6	6	8	55.0	良	1:14.0	0.9	12-12	34.4-38.7	38.5	中山	202006050401	2歳未勝利	202006050401	01162	木幡巧也	ダ	1200	506	-2	0.0
2020/11/07	曇	2	16	2	3	29.2	6	10	55.0	良	1:27.7	1.3	1-1	35.7-38.2	39.5	東京	202005050102	2歳未勝利	202005050102	01126	松山弘平	ダ	1400	508	0	0.0
2020/10/17	雨	1	16	8	15	12.3	4	6	55.0	稍	1:27.1	2.2	2-2	36.3-36.1	38.2	東京	202005040301	2歳未勝利	202005040301	01102	北村友一	ダ	1400	508	4	0.0
2020/09/20	曇	4	16	4	7	41.5	10	11	54.0	良	1:11.9	1.1	10-10	34.7-36.1	35.7	中山	202006040404	2歳新馬	202006040404	01162	木幡巧也	芝	1200	504	0	0.0
