waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2017104674	ヒューミリティ	セ5	54.0	01192	横山琉	01163	林		
2	2	2017102389	ロードインファイト	牡5	55.0	01186	角田和	01098	野中		
3	3	2018103330	マサカウマザンマイ	牡4	54.0	01184	原	01156	青木		
4	4	2018104738	コンテナジュニア	牡4	55.0	01185	小沢	01113	牧浦		
4	5	2017110157	アランチャアミーゴ	セ5	56.0	01176	亀田	01151	斉藤崇		
5	6	2018102394	ロイヤルダンス	牡4	56.0	01181	秋山稔	01080	清水英		
5	7	2016102884	クリノイナヅマオー	牡6	57.0	01161	菊沢	01031	伊藤伸		
6	8	2018103104	ジューンサクラ	牝4	51.0	01193	今村	01095	荒川		
6	9	2018102398	セザンテイオー	牡4	57.0	01144	菱田	00421	浅野		
7	10	2018104783	ナリノペッパー	牡4	54.0	01201	水沼	00423	上原博		
7	11	2018101988	レープハフト	牝4	55.0	05203	岩田康	01153	中舘		
8	12	2018102433	キュン	牝4	55.0	01091	丹内	01054	戸田		
8	13	2018100418	サンライズシトラス	牡4	57.0	01178	斎藤	01091	羽月		
