	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201344012111	ダ	右	1800	曇	重	16:20	白富士賞競走 		2013-1-21	16	大井	1			9	1160	5	9	250	5	7	160	2	4.0	210	4.0	4-5	380.0	1.0	7-9	1180	3	7-9	490	3	4-9	920	10	4-7	440	2	5=>4	910.0	2.0	9=>7	2980	11	4-7-9	3060	7	9=>7=>4	18350	43	8,11,12,15,2,5,6,7,4,(10,14),(1,9),3,(13,16)	8,11,12,15,2,(5,6),(4,7),10,14,9,3,1,13,16	9,11,8,12,(2,5),7,(4,15),(10,6),14,13,(1,3),16	9,11,8,5,2,7,4,10,14,(1,3,15,6),13,12,16	12.8 - 12.3 - 13.2 - 12.8 - 12.5 - 12.5 - 13.3 - 13.0 - 14.1	12.8 - 25.1 - 38.3 - 51.1 - 63.6 - 76.1 - 89.4 - 102.4 - 116.5 (38.3-40.4)
201344012201	ダ	右	1200	雨	重	11:00	3歳　選抜牝馬		2013-1-22	16	大井	2	35万円未満		13	200	1	13	130	1	3	170	3	10.0	700	10.0	3-8	520.0	2.0	3-13	680	1	3-13	270	1	10-13	2,210	28	3-10	3,110	36	8=>3	790.0	1.0	13=>3	1100	1	3-10-13	13360	41	13=>3=>10	59260	169			2,1,3,13,9,(4,5),(6,8),11,14,12,7,10	3,13,2,1,(4,9),11,5,8,14,6,12,10,7	12.6 - 11.3 - 12.6 - 13.8 - 13.4 - 14.8	12.6 - 23.9 - 36.5 - 50.3 - 63.7 - 78.5 (36.5-42.0)
201344012202	ダ	右	1500	雨	重	11:30	3歳　選抜牝馬		2013-1-22	16	大井	2	35万円未満		4	550	3	4	200	2	11	430	8	7.0	240	5.0	4-7	540.0	1.0	4-11	2390	11	4-11	1,010	15	4-7	1,140	18	7-11	2,580	34	4=>7	1030.0	2.0	4=>11	5370	22	4-7-11	12230	59	4=>11=>7	36660	122	3,4,11,(6,10),7,12,5,8,(1,9),13,2	34116107125891132	4,11,3,10,7,(5,12),6,8,9-1,13,2	4,11,10,3,7,5,12,8,6,9,1,13-2	7.0 - 12.2 - 13.1 - 13.3 - 13.2 - 13.9 - 13.9 - 14.6	7.0 - 19.2 - 32.3 - 45.6 - 58.8 - 72.7 - 86.6 - 101.2 (32.3-42.4)
201344012203	ダ	右	1400	雨	不良	12:00	3歳		2013-1-22	16	大井	2	25万円以上41万円未満		3	970	5	3	320	6	10	240	3	8.0	1,490	12.0	3-6	1270.0	7.0	3-10	3420	16	3-10	990	14	3-8	8,480	53	8-10	2,400	24	3=>6	3030.0	13.0	3=>10	11500	42	3-8-10	58120	114	3=>10=>8	292790	568		1,7,13,14,(2,3),8,4,9,5,10,6,11	17133214510849611	1,7,(2,3,13),10,5,4,8,(14,6),11,9	12.9 - 11.6 - 12.4 - 13.2 - 14.5 - 13.6 - 14.3	12.9 - 24.5 - 36.9 - 50.1 - 64.6 - 78.2 - 92.5 (36.9-42.4)
201344012204	ダ	右	1400	雨	不良	12:30	4歳		2013-1-22	16	大井	2	90万円以上145.5万円未満		3	280	1	3	120	1	4	120	2	7.0	180	4.0	3-3	440.0	1.0	3-4	420	1	3-4	190	1	3-7	490	7	4-7	400	4	3=>3	460.0	1.0	3=>4	720	1	3-4-7	1190	3	3=>4=>7	4510	5		2,3,4,6,7,5,1,10,9,(11,13),12,14,8	3,4,2,5,(1,6),7,(13,12),10,(9,8),14,11	3,4,2,7,6,5,1,13,8,10,12,9,(11,14)	13.1 - 11.7 - 12.0 - 12.6 - 13.5 - 12.9 - 13.9	13.1 - 24.8 - 36.8 - 49.4 - 62.9 - 75.8 - 89.7 (36.8-40.3)
201344012205	ダ	右	1600	曇	不良	13:00	4歳		2013-1-22	16	大井	2	90万円以上145.5万円未満		14	280	1	14	120	1	2	160	2	6.0	170	4.0	2-8	740.0	3.0	2-14	830	2	2-14	470	3	6-14	560	4	2-6	740	9	8=>2	1340.0	4.0	14=>2	1310	2	2-6-14	1920	2	14=>2=>6	7430	8	7,14,13,2,(5,4),1,3,10,(6,11),9,12,8	7,14,(2,13),5,4,1,3,10,(6,11,9),(8,12)	7,14,2,13,4,1,3,6,9,(5,10),12,11,8	7142113463129105811	12.6 - 11.9 - 13.1 - 13.2 - 13.0 - 14.1 - 14.7 - 13.3	12.6 - 24.5 - 37.6 - 50.8 - 63.8 - 77.9 - 92.6 - 105.9 (37.6-42.1)
201344012206	ダ	右	1200	曇	不良	13:30	C3五　六		2013-1-22	16	大井	2			4	300	1	4	180	3	10	230	4	14.0	660	9.0	3-6	1080.0	5.0	4-10	910	2	4-10	570	5	4-14	2,230	25	10-14	3,770	40	3=>6	1680.0	5.0	4=>10	1720	3	4-10-14	8510	26	4=>10=>14	29750	76			(4,13),14,(1,8,12),5,10,7,9,11,2,6,3	4,13,(1,14),(8,12),10,5,9,7,(11,6),2,3	12.8 - 11.5 - 12.4 - 13.3 - 12.9 - 13.7	12.8 - 24.3 - 36.7 - 50.0 - 62.9 - 76.6 (36.7-39.9)
201344012207	ダ	右	1500	曇	不良	14:00	C3五　六		2013-1-22	16	大井	2			10	6180	12	10	690	10	8	120	1	2.0	140	2.0	5-6	1750.0	6.0	8-10	5810	18	8-10	1,640	21	2-10	2,180	26	2-8	150	1	6=>5	7240.0	23.0	10=>8	22140	47	2-8-10	3800	10	10=>8=>2	75180	200	14,12,2,6,1,8,7,5,(3,9),4,13,11,10	12,14,(2,6),1,8,7,5,9,4,3,11,13,10	14,8,12,5,(2,6),7,9,3,1,4,(11,10),13	14,8,12,6,(2,5),7,(4,1,11,3,10),9,13	6.9 - 11.6 - 12.3 - 13.0 - 13.4 - 13.9 - 14.1 - 13.8	6.9 - 18.5 - 30.8 - 43.8 - 57.2 - 71.1 - 85.2 - 99.0 (30.8-41.8)
201344012208	ダ	右	1400	晴	不良	14:30	C2七　八		2013-1-22	16	大井	2			13	740	3	13	150	2	7	560	10	10.0	110	1.0	5-8	10030.0	22.0	7-13	11370	26	7-13	1,520	18	10-13	220	1	7-10	800	7	8=>5	13470.0	34.0	13=>7	29020	51	7-10-13	4800	18	13=>7=>10	75320	190		2,1,(3,4,5),10,13,11,(6,8),12,7,(9,14)	(2,4),(1,10),(5,13),8,11,6,12,7,14,9,3	2,13,10,4,1,12,(5,7),(6,8),(9,11,14)=3	13.1 - 11.2 - 12.0 - 12.6 - 13.5 - 12.7 - 13.6	13.1 - 24.3 - 36.3 - 48.9 - 62.4 - 75.1 - 88.7 (36.3-39.8)
201344012209	ダ	右	1600	晴	不良	15:00	C2七　八		2013-1-22	16	大井	2			12	1850	7	12	540	7	10	320	5	8.0	1,040	9.0	6-7	1270.0	5.0	10-12	7770	23	10-12	1,980	21	8-12	6,150	41	8-10	3,990	32	7=>6	2890.0	10.0	12=>10	18770	48	8-10-12	86040	125	12=>10=>8	368720	560	13,(4,11),12,2,7,3,1,9,(8,14),(5,10),6	13,11,4,12,2,(3,7),1,9,(5,8,14),10,6	12,11,4,7,9,10,13,3,(8,1,14),2,5,6	11,12,4,(10,7,9),(13,3),8,1,14,2,5,6	13.1 - 12.1 - 13.5 - 12.8 - 12.6 - 13.5 - 13.5 - 13.7	13.1 - 25.2 - 38.7 - 51.5 - 64.1 - 77.6 - 91.1 - 104.8 (38.7-40.7)
