rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	7	9		メモリア	牝4	54.0		大畑雅章	1:32.3		1-1-1	41.7	2.9	1	465	0		成田明		酒井孝敏	32.0
2	4	4		ハーピードラゴン	牡4	56.0		柿原翔	1:32.3	ハナ	8-6-3	40.3	4.5	3	440	-3		倉地学		小林伸幸	10.2
3	6	6		エイシンアーク	牡4	56.0		尾崎章生	1:32.7	2.0	5-5-2	40.9	3.7	2	448	2		植松則幸		（株）ファーストビ	5.8
4	2	2		タマモルーチェ	牝4	54.0		村上弘樹	1:33.4	3.0	9-8-7	41.1	17.4	6	401	10		藤ヶ崎一		寒川太一	3.8
5	3	3		フラッパー	牝5	54.0		岡部誠	1:33.5	1/2	3-3-5	42.1	17.1	5	452	-2		倉地学		長谷川光司	2.6
6	8	11		リコートルーパー	牡6	56.0		加藤利征	1:33.7	1.1/2	4-4-8	42.1	59.4	10	467	-2		本名信行		（株）ファーストビ	
7	5	5		ラヴリーズン	牝4	52.0		木之前葵	1:33.8	クビ	10-10-6	41.2	19.4	7	474	1		倉地学		小林伸幸	
8	8	10		エンリサラ	牝4	51.0		細川智史	1:33.8	ハナ	6-9-9	41.5	50.6	9	398	3		坂口義幸		結城喜一	
9	1	1		ミモザアカシア	牝4	54.0		今井貴大	1:33.9	1/2	7-7-10	41.7	20.9	8	517	4		原口次夫		加藤千豊	
10	7	8		セイジェネシス	牡4	56.0		加藤聡一	1:34.1	1.0	2-2-4	43.4	5.9	4	465	10		安部幸夫		金田成基	
11	6	7		マチホグメソッド	牡5	53.0		塚本征吾	1:36.2	大	11-11-11	42.9	108.4	11	477	0		倉地学		稲垣誠	
