日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey	field	distance	weight	gain	bounty
2022/03/07	晴	9	16	5	10	585.7	16	14	54.0	良	1:16.6	2.5	15-15	35.3-38.8	38.9	大井	202244030709	C214　15	movie.html?race_id=202244030709	a0128	ダ	1200	443	0	0.0
2022/02/07	晴	5	13	5	7	238.0	10	12	54.0	良	1:46.7	3.0	10-10-9-11	39.5-38.7	41.0	大井	202244020705	九品仏川賞	movie.html?race_id=202244020705	a0128	ダ	1600	443	-1	0.0
2022/01/24	曇	5	13	5	7	254.1	13	12	54.0	良	1:46.7	2.2	10-10-11-11	38.7-40.7	41.6	大井	202244012405	北沢川賞	movie.html?race_id=202244012405	a0128	ダ	1600	444	5	0.0
2021/10/04	晴	8	12	6	7	292.3	12	8	54.0	重	1:44.7	2.1	10-10-9-9	37.3-40.1	41.1	大井	202144100408	ブラック・ローズ賞	movie.html?race_id=202144100408	a0277	ダ	1600	439	4	0.0
2021/09/18	雨	12	11	7	9	173.4	10	9	55.0	不	1:29.6	3.2	11-11-11	35.9-38.1	39.7	大井	202144091812	みなみのうお座特別競	movie.html?race_id=202144091812	a0277	ダ	1400	435	-8	0.0
2021/09/06	曇	8	13	7	10	103.3	12	10	54.0	重	1:46.2	3.3	4-3-5-7	37.8-40.1	43.2	大井	202144090608	1989馬場内レスト	movie.html?race_id=202144090608	a0277	ダ	1600	443	1	0.0
2021/08/16	曇	9	12	7	9	108.1	11	11	54.0	不	1:15.7	1.5	10-10	35.4-38.8	38.7	大井	202144081609	C1七　八九	movie.html?race_id=202144081609	a025f	ダ	1200	442	-1	0.0
2021/08/02	曇	8	10	7	7	104.5	9	8	54.0	稍	1:44.5	1.9	9-9-10-10	37.4-40.1	40.6	大井	202144080208	C1九　十	movie.html?race_id=202144080208	a025f	ダ	1600	443	-7	0.0
2021/07/13	曇	7	7	3	3	58.0	7	6	54.0	重	1:44.0	1.7	7-7-7-7	38.0-38.8	39.3	大井	202144071307	C1八　九十	movie.html?race_id=202144071307	a025f	ダ	1600	450	21	0.0
2021/03/23	晴	8	13	4	5	200.9	13	12	54.0	重	1:45.8	2.2	11-10-11-11	37.0-40.7	41.9	大井	202144032308	C1六　七八	movie.html?race_id=202144032308	a021f	ダ	1600	429	-8	0.0
