	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
198801010101	ダ	右	1800	曇	稍重	11:10	4歳未勝利		1988-6-11	1	札幌	1	4歳未勝利	(馬齢)	3	140	1	3	100	1	6	140	3	2.0	210.0	5.0	3-6	420	2																							13.1 - 12.1 - 12.5 - 12.5 - 12.4 - 12.6 - 12.6 - 13.2 - 13.0	13.1 - 25.2 - 37.7 - 50.2 - 62.6 - 75.2 - 87.8 - 101.0 - 114.0 (13.1-13.1)
198801010102	ダ	右	1500	晴	稍重	11:40	4歳未勝利		1988-6-11	1	札幌	1	4歳未勝利	(馬齢)	6	480	3	6	140	2	7	180	3	2.0	200.0	4.0	5-6	810	4																							6.9 - 11.2 - 11.5 - 11.7 - 12.1 - 12.6 - 13.0 - 13.4	6.9 - 18.1 - 29.6 - 41.3 - 53.4 - 66.0 - 79.0 - 92.4 (6.9-6.9)
198801010201	ダ	右	1500	晴	良	11:10	4歳以上300万下		1988-6-12	1	札幌	2	4歳以上300万下	[抽](馬齢)	7	450	3	7	230	4	1	170	1				1-7	810	2																							7.1 - 12.8 - 13.1 - 12.8 - 12.8 - 12.2 - 13.1 - 12.9	7.1 - 19.9 - 33.0 - 45.8 - 58.6 - 70.8 - 83.9 - 96.8 (7.1-7.1)
198801010202	ダ	右	1200	晴	良	11:40	4歳未勝利		1988-6-12	1	札幌	2	4歳未勝利	(馬齢)	6	150	1	6	100	2	2	100	1	8.0	120.0	3.0	2-6	150	1																							12.5 - 11.1 - 11.9 - 11.7 - 12.6 - 12.5	12.5 - 23.6 - 35.5 - 47.2 - 59.8 - 72.3 (12.5-12.5)
198801010203	ダ	右	1000	晴	良	12:10	3歳新馬		1988-6-12	1	札幌	2	3歳新馬	(混)(馬齢)	4	240	1	4	140	3	5	140	2	3.0	590.0	9.0	4-5	850	4																							12.4 - 11.4 - 11.7 - 12.6 - 13.1	12.4 - 23.8 - 35.5 - 48.1 - 61.2 (12.4-12.4)
198801010204	ダ	右	1800	晴	良	13:10	4歳未勝利		1988-6-12	1	札幌	2	4歳未勝利	(馬齢)	6	450	2	6	160	3	4	140	2	8.0	240.0	4.0	4-6	900	4																							12.8 - 11.5 - 12.8 - 13.0 - 12.9 - 12.9 - 12.7 - 13.4 - 13.8	12.8 - 24.3 - 37.1 - 50.1 - 63.0 - 75.9 - 88.6 - 102.0 - 115.8 (12.8-12.8)
198801010205	ダ	右	1200	晴	良	13:40	4歳未勝利		1988-6-12	1	札幌	2	4歳未勝利	(馬齢)	1	2490	7	1	470	7	8	280	6	4.0	140.0	1.0	1-8	13300	25																							12.7 - 11.4 - 12.0 - 12.0 - 12.8 - 12.9	12.7 - 24.1 - 36.1 - 48.1 - 60.9 - 73.8 (12.7-12.7)
198801010206	ダ	右	1500	晴	良	14:10	4歳以上400万下		1988-6-12	1	札幌	2	4歳以上400万下	牝(馬齢)	7	230	1	7	120	2	10	120	1	5.0	200.0	3.0	6-7	360	1																							6.9 - 11.7 - 11.4 - 11.7 - 12.5 - 12.6 - 12.8 - 13.1	6.9 - 18.6 - 30.0 - 41.7 - 54.2 - 66.8 - 79.6 - 92.7 (6.9-6.9)
198801010301	ダ	右	1800	曇	不良	11:15	4歳未勝利		1988-6-18	1	札幌	3	4歳未勝利	(馬齢)	2	260	2	2	130	2	1	100	1				1-2	270	1																							12.8 - 11.4 - 11.9 - 12.5 - 12.6 - 13.2 - 13.2 - 13.4 - 13.8	12.8 - 24.2 - 36.1 - 48.6 - 61.2 - 74.4 - 87.6 - 101.0 - 114.8 (12.8-12.8)
198801010302	ダ	右	2000	曇	不良	11:45	4歳以上700万下		1988-6-18	1	札幌	3	4歳以上700万下	[抽](別定)	7	570	4	7	180	4	5	290	6	2.0	110.0	1.0	5-7	2810	9																							13.0 - 11.4 - 12.2 - 13.0 - 13.0 - 12.8 - 12.9 - 12.7 - 13.5 - 12.7	13.0 - 24.4 - 36.6 - 49.6 - 62.6 - 75.4 - 88.3 - 101.0 - 114.5 - 127.2 (13.0-13.0)
198801010303	ダ	右	1000	曇	不良	12:45	3歳新馬		1988-6-18	1	札幌	3	3歳新馬	(馬齢)	2	470	3	2	140	3	7	160	4	8.0	110.0	1.0	2-7	1760	7																							12.6 - 11.4 - 11.8 - 13.0 - 12.7	12.6 - 24.0 - 35.8 - 48.8 - 61.5 (12.6-12.6)
