	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気
198803010101	芝	右	1000	晴	稍重	10:00	3歳未勝利		1988-6-18	1	福島	1	3歳未勝利	[抽](馬齢)	7	190	1	7	150	2	6	700	6	6-7	2430	8																							12.6 - 11.5 - 11.9 - 12.3 - 12.1	12.6 - 24.1 - 36.0 - 48.3 - 60.4 (12.6-12.6)			
198803010102	ダ	右	1700	晴	重	10:25	4歳400万下		1988-6-18	1	福島	1	4歳400万下	(馬齢)	1	700	4	1	220	3	3	140	2	1-3	820	5																							6.5 - 11.0 - 11.6 - 12.8 - 12.3 - 12.3 - 12.7 - 13.2 - 12.7	6.5 - 17.5 - 29.1 - 41.9 - 54.2 - 66.5 - 79.2 - 92.4 - 105.1 (6.5-6.5)			
198803010103	ダ	右	1000	晴	重	10:50	4歳未勝利		1988-6-18	1	福島	1	4歳未勝利	牝(馬齢)	1	1340	4	1	200	4	4	110	1	1-4	800	3																							12.1 - 10.8 - 11.4 - 12.7 - 12.5	12.1 - 22.9 - 34.3 - 47.0 - 59.5 (12.1-12.1)	3.0	220.0	5.0
198803010104	ダ	右	1700	晴	重	11:20	4歳未勝利		1988-6-18	1	福島	1	4歳未勝利	(馬齢)	9	120	1	9	100	1	1	150	4	1-8	420	2																							6.7 - 11.3 - 11.8 - 12.8 - 13.0 - 12.8 - 12.6 - 12.6 - 12.4	6.7 - 18.0 - 29.8 - 42.6 - 55.6 - 68.4 - 81.0 - 93.6 - 106.0 (6.7-6.7)	4.0	140.0	3.0
198803010105	芝	右	1800	晴	稍重	11:50	4歳未勝利		1988-6-18	1	福島	1	4歳未勝利	(馬齢)	3	490	2	3	160	2	8	140	1	3-5	590	1																							12.7 - 10.6 - 11.9 - 13.0 - 13.0 - 12.2 - 12.0 - 12.4 - 12.2	12.7 - 23.3 - 35.2 - 48.2 - 61.2 - 73.4 - 85.4 - 97.8 - 110.0 (12.7-12.7)	7.0	190.0	4.0
198803010106	芝	右	1200	晴	良	12:50	4歳未勝利		1988-6-18	1	福島	1	4歳未勝利	(馬齢)	2	1370	7	2	310	7	9	170	3	2-7	2500	12																							12.2 - 11.3 - 11.5 - 11.7 - 12.2 - 12.4	12.2 - 23.5 - 35.0 - 46.7 - 58.9 - 71.3 (12.2-12.2)	10.0	150.0	1.0
198803010107	芝	右	1200	晴	良	13:25	4歳未勝利		1988-6-18	1	福島	1	4歳未勝利	(馬齢)	12	170	1	12	120	1	7	150	2	6-8	380	1																							12.2 - 11.3 - 11.4 - 11.6 - 11.8 - 12.1	12.2 - 23.5 - 34.9 - 46.5 - 58.3 - 70.4 (12.2-12.2)	2.0	380.0	7.0
198803010108	芝	右	2000	曇	良	14:00	さくらんぼ賞 		1988-6-18	1	福島	1	4歳900万下	(混)(馬齢)	2	180	1	2	120	1	1	160	3	1-2	430	2																							12.6 - 11.3 - 11.4 - 13.4 - 13.9 - 12.9 - 12.4 - 12.0 - 11.8 - 11.7	12.6 - 23.9 - 35.3 - 48.7 - 62.6 - 75.5 - 87.9 - 99.9 - 111.7 - 123.4 (12.6-12.6)			
198803010109	ダ	右	1000	雨	重	14:35	4歳以上400万下		1988-6-18	1	福島	1	4歳以上400万下	(馬齢)	8	420	2	8	170	1	12	240	4	6-8	540	1																							12.3 - 10.8 - 11.5 - 12.2 - 11.8	12.3 - 23.1 - 34.6 - 46.8 - 58.6 (12.3-12.3)	6.0	340.0	7.0
198803010110	芝	右	1800	曇	良	15:10	グラジオラス賞 		1988-6-18	1	福島	1	4歳400万下	(馬齢)	7	4310	9	7	440	8	8	110	1	7-8	2400	9																							12.7 - 10.6 - 11.9 - 11.9 - 12.5 - 12.4 - 12.6 - 12.5 - 12.3	12.7 - 23.3 - 35.2 - 47.1 - 59.6 - 72.0 - 84.6 - 97.1 - 109.4 (12.7-12.7)	2.0	260.0	6.0
