rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	6	6		ヒューリット	牝3	54.0		山本聡哉	1:14.4		1-1	37.5	1.2	1	493	-4		吉田司		古川忠一	29.0
2	5	5		ジョセイカツヤク	牝3	54.0		木村暁	1:15.4	6.0	2-2	38.3	39.5	5	503	7		千葉博次		由井健太郎	10.2
3	7	8		スズカメンテ	牝3	54.0		山本政聡	1:15.5	1/2	4-4	37.9	5.5	2	464	0		斉藤雄一		永井啓弍	5.8
4	4	4		フェイダウェイ	牡3	56.0		高松亮	1:16.0	3.0	6-5	37.7	6.0	3	444	2		佐々木由		須山悟至	2.9
5	1	1		ニシノバシャール	牡3	54.0		七夕裕次	1:16.2	1.0	3-3	39.0	177.0	8	450	4		三野宮通		安藤浩也	1.5
6	8	9		メイショウカクミチ	牡5	56.0		阿部英俊	1:16.6	2.1/2	8-6	38.1	75.5	7	435	-3		及川良春		谷謙介	
7	3	3		ライントリガー	牡3	56.0		高橋悠里	1:17.3	4.0	7-7	38.8	50.8	6	562	5		瀬戸幸一		岩渕瑞生	
8	7	7		ソンリエ	牝3	54.0		菅原辰徳	1:17.9	4.0	10-9	39.0	398.4	10	388	-1		瀬戸幸一		（株）心頼ＬｏｏＰ	
9	2	2		モンギンゴー	セ3	56.0		坂口裕一	1:18.2	1.3/4	5-8	39.9	35.6	4	469	9		畠山信一		村上聡蔵	
10	8	10		ポーラージェット	牡3	56.0		陶文峰	1:18.3	1/2	9-9	39.6	285.4	9	411	0		及川良春		谷謙介	
