rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	2	2		ドリームドルチェ	牡8	57.0		岡部誠	1:27.6		6-5-1	38.3	2.9	1	496	-10		小久保智		ライオンレースホース	500.0
2	3	3		マイタイザン	牡7	57.0		杉浦健太	1:28.5	4.0	3-3-5	39.5	5.8	3	538	-2		新井隆太		平野正行	160.0
3	6	8		アキトクレッセント	牡8	57.0		加藤聡一	1:29.1	3.0	8-7-4	39.6	3.2	2	512	-1		坂口義幸		矢部美穂	90.0
4	7	10		エイシンエンジョイ	牡5	57.0		下原理	1:29.3	1.0	2-2-2	40.5	9.5	5	447	-3		橋本忠明		平井克彦	60.0
5	7	9		サンデンバロン	牡8	57.0		丹羽克輝	1:29.4	1/2	9-9-6	39.8	46.2	8	489	2		塚田隆男		山田春枝	40.0
6	5	5		ナチュラリー	牡6	57.0		笹田知宏	1:29.7	1.1/2	5-6-7	40.4	11.5	6	493	-7		新子雅司		渡部賢治	
7	4	4		メモリージルバ	牡11	57.0		友森翔太	1:29.7	アタマ	11-11-8	39.6	193.4	11	468	-7		塚田隆男		（株）シンザンクラ	
8	5	6		メモリートニック	牡6	57.0		戸部尚実	1:30.2	2.1/2	9-10-11	40.1	113.1	9	456	3		塚田隆男		（株）シンザンクラ	
9	1	1		モズオラクル	牡5	57.0		丸野勝虎	1:31.1	4.0	12-12-12	40.5	229.9	12	496	1		安部幸夫		木村良明	
10	8	12		エイシンテキサス	牡10	57.0		村上弘樹	1:31.2	1/2	1-1-3	42.5	150.4	10	483	-3		坂口義幸		太田雅貴	
11	6	7		ポルタディソーニ	牝6	55.0		宮下瞳	1:31.6	2.0	7-8-10	42.1	8.5	4	437	-2		瀬戸口悟		吉岡泰治	
12	8	11		ラブバレット	牡9	57.0		大畑雅章	1:32.6	5.0	4-4-9	43.4	12.7	7	472	-16		佐々木仁		内山一郎	
