waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2016104642	マノアフォールズ			00409	鮫島克也	05307	西久保政	476	23
2	2	2014105023	ジュンヌダルク			a042c	飛田愛斗	05684	三小田幸	517	4
3	3	2015105610	ハヤブサマカオー			05229	山口勲	a0367	山田徹	461	-5
4	4	2016102542	ヨシノルキー			a0291	川島拓	05456	土井道隆	457	5
5	5	2011102290	ティーポイズン			05491	田中直人	a01d6	大垣敏夫	521	-2
6	6	2017104434	トーセンザゲーム			05548	竹吉徹	a00f4	山田義人	494	-6
7	7	2017102202	タガノキトピロ			05456	田中純	05005	九日俊光	491	-2
7	8	2014104377	エンパシー			05601	金山昇馬	05307	西久保政	500	-1
8	9	2017102604	サイモンバトラー			05478	石川慎将	05745	渡辺博文	453	0
8	10	2016101255	ハクユウラッキー			05098	真島正徳	05601	東眞市	504	-10
