waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2018105817	ロジネイア	牝3	52.0	01181	秋山稔	01079	古賀慎	430	4
1	2	2018105080	セツゲツフウカ	牝3	54.0	01180	団野	01144	池添学	434	-14
2	3	2018101595	エントラーテ	牝3	54.0	01018	和田竜	01111	鈴木孝	432	2
2	4	2018105313	セブンシーズ	牝3	54.0	01170	横山武	01097	鹿戸	432	0
3	5	2018100558	デリスブラン	牡3	53.0	01177	小林凌	01068	小島	482	20
3	6	2018104842	エリカステラ	牝3	54.0	01093	藤岡佑	01055	藤原英	406	-2
4	7	2018100650	ゼログラヴィティ	牝3	54.0	01091	丹内	01051	岩戸	496	8
4	8	2018101009	クリノネモフィラ	牝3	51.0	01189	西谷凜	01173	長谷川	432	0
5	9	2018100959	ブラックライフ	牝3	54.0	01144	菱田	01101	吉田	438	8
5	10	2018104953	エアシュラブ	牝3	54.0	00666	武豊	01104	笹田	486	-8
6	11	2018101110	ナッシュカッツェ	牝3	53.0	01176	亀田	01056	本間	442	6
6	12	2018100955	ボルゲリ	牡3	56.0	01140	横山和	01012	大江原	504	4
7	13	2018100855	ジョイフルラブ	牝3	54.0	05339	ルメール	01042	安達	460	8
7	14	2018100565	アスターベルデ	牝3	51.0	01185	小沢	01039	中竹	498	8
8	15	2018102501	トミケンサルタール	牝3	54.0	01163	坂井	01141	尾形	462	4
8	16	2018101203	シルバーテゾロ	牡3	56.0	01161	菊沢	01177	伊坂	426	-2
