waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2017106535	コスモタイシ			05390	吉村智洋	a02d7	南弘樹	486	1
2	2	2009100829	クレバーペガサス			a0488	大山龍太	05466	山口浩幸	488	5
3	3	2016100895	テンマダイウェーヴ			05530	杉浦健太	a03a3	大山寿文	513	0
4	4	2016104188	バンプファイア			05364	大山真吾	05744	渡瀬寛彰	490	-11
5	5	2015102611	ソロムコ			05597	鴨宮祥行	a0366	田中一巧	508	-10
5	6	2017104511	オウケンファイター			05567	大柿一真	05466	山口浩幸	500	-7
6	7	2016103653	ミフリマ			a0489	佐々木世	a0242	尾林幸二	461	-10
6	8	2015105684	テクノマインド			05544	田野豊三	a02bf	新井隆太	441	1
7	9	2017105931	グリーナリー			a01b1	廣瀬航	05735	高本友芳	481	-8
7	10	2016105708	ジェミーウェイ			a0395	永井孝典	05309	山口益巳	472	2
8	11	2018105899	エイシンピストン			05328	下原理	05567	森澤友貴	456	-5
8	12	2017105535	ステラアルバ			00815	川原正一	a0220	柏原誠路	471	-4
