rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	6	6		ナムラバンザイ	牡4	56.0		嬉勝則	1:43.5		1-1-1-1	40.1	3.9	2	443	-1		田中譲二		川村初美	70.0
2	2	2		キクノグラード	牡10	56.0		永森大智	1:43.6	クビ	3-3-2-2	39.9	2.6	1	500	3		雑賀正光		小橋亮太	24.5
3	3	3		エイシンファイヤー	牡7	56.0		山崎雅由	1:43.8	1.0	4-4-4-3	39.5	6.5	3	500	1		松木啓助		中山純子	14.0
4	4	4		ジュンハーツ	牝5	54.0		東川公則	1:43.9	3/4	6-6-5-4	39.1	11.1	5	513	5		松木啓助		岡林英雄	10.5
5	7	8		マイネルバルビゾン	牡10	55.0		木村直輝	1:44.8	4.0	5-5-6-6	39.7	43.6	10	481	-3		那俄性哲		杉浦和也	7.0
6	8	10		ヴァリヤンツリ	牝4	54.0		西川敏弘	1:44.9	1/2	9-9-7-5	39.4	16.4	7	478	12		中西達也		西森鶴	
7	7	9		センテンスプリング	牡5	56.0		岡村卓弥	1:45.2	1.1/2	8-8-9-7	39.9	23.8	8	489	-1		雑賀正光		内田玄祥	
8	5	5		エーブインブレム	牡5	53.0		多田羅誠	1:45.4	1.0	7-7-8-8	39.9	26.4	9	454	2		工藤真司		西森鶴	
9	8	11		グレナディアーズ	牡8	55.0		塚本雄大	1:45.5	1/2	10-10-10-9	39.8	12.5	6	498	-3		雑賀正光		小橋亮太	
10	1	1		ヒロノカイザー	牡6	56.0		佐原秀泰	1:49.1	大	2-2-3-10	45.3	7.6	4	496	-4		細川忠義		門脇ゆり	
取	6	7		デルマキミノナハ	牝5	54.0		宮川実					---		計不			打越勇児		浅沼廣幸	
