	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠単:的中	枠単:配当	枠単:人気
200644011701	ダ	右	1200	晴	重	11:00	4歳		2006-1-17	17	大井	2	130万円以上200万円未満																																								13,14,12,(3,9),8,5,1,(4,6),(2,11),7,10	13,(12,14),(3,9),(1,5),8,(2,4,6),11,7,10	12.4 - 10.9 - 11.5 - 12.8 - 13.0 - 13.6 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.4 - 23.3 - 34.8 - 47.6 - 60.6 - 74.2 - 74.2 - 74.2 - 74.2 - 74.2 - 74.2 - 74.2 - 74.2 - 74.2 - 74.2 (34.8-39.4)			
200644011702	ダ	右	1500	晴	重	11:30	4歳		2006-1-17	17	大井	2	130万円以上200万円未満																																						1,8,3,10,4,13,(7,9),(2,6),11,5,12	1,8,(3,10),4,13,7,9,(2,6),11,5,12	8,1,3,10,(4,13),9,11,(7,5),6,2,12	8,1,3,10,(4,13),9,11,5,7,6,(2,12)	7.0 - 11.7 - 12.6 - 12.7 - 12.2 - 12.9 - 13.1 - 13.2 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	7.0 - 18.7 - 31.3 - 44.0 - 56.2 - 69.1 - 82.2 - 95.4 - 95.4 - 95.4 - 95.4 - 95.4 - 95.4 - 95.4 - 95.4 (31.3-39.2)			
200644011703	ダ	右	1400	晴	重	12:00	C3五　六		2006-1-17	17	大井	2																																								3,6,(9,12),4,(8,13),2,(1,5,14),7,11,10	3,(6,12),(14,13),9,4,5,8,7,11,10,1	3,6,12,14,(9,13),5,(4,8),7,11,(1,10)	13.1 - 11.5 - 11.7 - 12.2 - 13.4 - 13.1 - 14.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.1 - 24.6 - 36.3 - 48.5 - 61.9 - 75.0 - 89.0 - 89.0 - 89.0 - 89.0 - 89.0 - 89.0 - 89.0 - 89.0 - 89.0 (36.3-40.5)			
200644011704	ダ	右	1600	晴	重	12:30	C3五　六		2006-1-17	17	大井	2																																							4,9,10,(2,12),(1,8),(3,7),5,11,(6,13)	4,9,2,10,12,(1,8),(3,7),(5,11),6,13	4,9,10,2,12,(1,8),11,(3,7),5,6-13	4,9,10,2,(1,8,12),(3,7),11,5,6-13	13.0 - 12.7 - 12.9 - 12.8 - 12.3 - 13.2 - 13.6 - 13.6 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.0 - 25.7 - 38.6 - 51.4 - 63.7 - 76.9 - 90.5 - 104.1 - 104.1 - 104.1 - 104.1 - 104.1 - 104.1 - 104.1 - 104.1 (38.6-40.4)			
200644011705	ダ	右	1200	晴	重	13:00	3歳		2006-1-17	17	大井	2	60万円以上97万円未満																																								(1,7),14,(5,9),(4,11),6,12,(2,13),8,10,3	7,1,14,5,4,2,6,(8,12,9),13,11,10,3	12.6 - 11.1 - 11.9 - 13.3 - 13.0 - 13.7 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.6 - 23.7 - 35.6 - 48.9 - 61.9 - 75.6 - 75.6 - 75.6 - 75.6 - 75.6 - 75.6 - 75.6 - 75.6 - 75.6 - 75.6 (35.6-40.0)			
200644011706	ダ	右	1400	晴	重	13:30	3歳		2006-1-17	17	大井	2	60万円以上97万円未満																																							4,(3,5),9,(11,14),(10,6),7,8,(1,12),13,2	(4,11),(9,14),3,5,10,(1,6),2,8,(7,13,12)	(4,11),9,(3,14),10,5,1,6,13,2,(7,8),12	13.2 - 11.8 - 11.7 - 12.5 - 13.6 - 13.2 - 13.4 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.2 - 25.0 - 36.7 - 49.2 - 62.8 - 76.0 - 89.4 - 89.4 - 89.4 - 89.4 - 89.4 - 89.4 - 89.4 - 89.4 - 89.4 (36.7-40.2)			
200644011707	ダ	右	1600	晴	重	14:00	3歳		2006-1-17	17	大井	2	60万円以上97万円未満																																						3,10,12,2,4,(1,8),7,9,6,11,5	3,(10,12),2,(4,8),1,7,(6,9),11,5	3,10,12,(2,4),8,(1,6,9),7,11,5	3,10,12,2,(4,8,9),(1,6),7,11,5	12.8 - 12.5 - 14.0 - 13.4 - 13.1 - 13.6 - 13.7 - 13.2 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.8 - 25.3 - 39.3 - 52.7 - 65.8 - 79.4 - 93.1 - 106.3 - 106.3 - 106.3 - 106.3 - 106.3 - 106.3 - 106.3 - 106.3 (39.3-40.5)			
200644011708	ダ	右	1600	曇	重	14:30	C2六		2006-1-17	17	大井	2																																							10,13,2,1,5,3,(4,12),8,9,(6,7,11)	10,13,2,5,1,(3,12),(8,4),9,6,11,7	10,13,(1,5,4),12,(2,8,3),11,(6,9),7	10,13,1,4,5,(8,3),12,(6,11),2,(9,7)	12.7 - 12.0 - 12.3 - 12.5 - 12.7 - 13.5 - 14.2 - 13.7 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.7 - 24.7 - 37.0 - 49.5 - 62.2 - 75.7 - 89.9 - 103.6 - 103.6 - 103.6 - 103.6 - 103.6 - 103.6 - 103.6 - 103.6 (37.0-41.4)			
200644011709	ダ	右	1400	曇	重	15:00	C1六　C2三		2006-1-17	17	大井	2																																								(3,8),(6,9,10),1,(5,11),(4,7),12,13,2	(3,8),(1,6,9),10,5,(4,11),(13,7),12,2	3,8,1,(6,9),10,(13,5),(7,11),4,12,2	13.2 - 11.5 - 11.7 - 12.3 - 13.2 - 12.5 - 13.3 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.2 - 24.7 - 36.4 - 48.7 - 61.9 - 74.4 - 87.7 - 87.7 - 87.7 - 87.7 - 87.7 - 87.7 - 87.7 - 87.7 - 87.7 (36.4-39.0)			
200644011710	ダ	右	1600	曇	重	15:30	湯島特別 		2006-1-17	17	大井	2																																							11,9,(10,12),5,3,4,6,(1,8),(2,13),7	11,9,(10,12),5,3,4,1,6,8,2,13,7	(11,9),12,10,3,(5,4),8,1,(7,2,6),13	(11,9),12,(10,3),(5,4),8,2,(7,1),13,6	12.4 - 11.9 - 12.8 - 12.8 - 12.8 - 13.7 - 13.9 - 13.2 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.4 - 24.3 - 37.1 - 49.9 - 62.7 - 76.4 - 90.3 - 103.5 - 103.5 - 103.5 - 103.5 - 103.5 - 103.5 - 103.5 - 103.5 (37.1-40.8)			
