	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
200658050503	ダ	右	1000	曇	良	11:30	ルーキーチャレンジ競		2006-5-5	1	札幌(地)	3	(規定)		4	510	2	4	100	2	6	100	1	4-6	210	1	4=>6	740	3.0	2-4-6	330	1.0	4=>6=>2	1730	4.0			6,4,(2,3),(5,8),7,1	6,(4,3),2,5,(1,8),7			2.0	150.0	4.0			
200658050504	ダ	右	1700	曇	良	12:00	平和の滝特別 		2006-5-5	1	札幌(地)	3	100万円以下	(規定)	1	690	4	1	320	4	6	1,250	7	1-6	7340	15	1=>6	12180	28.0	1-3-6	5880	17.0	1=>6=>3	51700	112.0	(2,3,4,7),5,6,1	7423561	7,4,(5,3),6,1,2	7,(4,3),(5,6),1,2								
200658050505	ダ	右	1000	曇	良	12:55	フレッシュチャレンジ		2006-5-5	1	札幌(地)	3	(規定)		7	920	4	7	160	4	1	100	1	1-7	880	4	7=>1	2690	11.0	1-2-7	750	2.0	7=>1=>2	6940	25.0			7,1,5,(2,3),8,4-6	7,(2,1),3,(5,8),4-6			2.0	120.0	2.0			
200658050506	ダ	右	1000	曇	良	13:30	3歳　条件		2006-5-5	1	札幌(地)	3	100万円以下	(規定)	1	440	2	1	140	1	3	150	2	1-3	460	1	1=>3	1600	2.0	1-3-9	4760	20.0	1=>3=>9	23030	79.0			1,3,(4,11),(5,10),6,(2,7),8,9	1,(3,4,10,11),6,(5,7),(2,9),8			9.0	370.0	8.0	1-3	470.0	1.0
200658050507	ダ	右	1700	曇	良	14:05	こいのぼり特別 		2006-5-5	1	札幌(地)	3	100万円以下	(規定)	8	270	1	8	120	1	7	140	3	7-8	360	1	8=>7	770	3.0	1-7-8	1580	8.0	8=>7=>1	4810	17.0	7,8,(6,5),3,4,2,1	7,5,8,6,(3,4),2,1	7,(5,8),6,(4,2,1),3	(7,8),(6,5),(2,1),4,3			1.0	190.0	5.0			
200658050508	ダ	右	1000	曇	良	14:40	時計台特別 		2006-5-5	1	札幌(地)	3	100万円以下	(規定)	5	360	2	5	140	2	9	260	4	5-9	950	4	5=>9	1320	3.0	5-7-9	5120	16.0	5=>9=>7	21620	50.0			(5,7),(1,6),4,9,(8,3),2	(5,7),6,(1,4,9),(2,8,3)			7.0	290.0	6.0	5-8	630.0	2.0
200658051101	ダ	右	1000	曇	稍重	10:40	3歳　条件		2006-5-11	1	札幌(地)	5	(規定)		5	1230	5	5	150	4	7	100	1	5-7	610	3	5=>7	1970	6.0	1-5-7	490	2.0	5=>7=>1	5050	13.0			(1,5),(6,7),4,9,2,8,10,3	(1,5,7),6,4,(9,2),8,3,10			1.0	120.0	2.0	5-7	590.0	3.0
200658051102	ダ	右	1700	曇	稍重	11:10	3歳　条件		2006-5-11	1	札幌(地)	5	(規定)		3	370	2	3	230	3	6	540	5	3-6	5560	20	3=>6	4670	17.0	3-5-6	19800	41.0	3=>6=>5	94180	177.0	3,(2,5),7,6,4,8,1	3,(2,5),7,6,4,8,1	35274861	3,(2,5),7,4,8,6,1			5.0	240.0	4.0			
200658051103	ダ	右	1000	曇	稍重	11:40	D3　ー3組		2006-5-11	1	札幌(地)	5	40万円以下	(規定)	7	800	4	7	230	4	6	500	7	6-7	4670	16	7=>6	9630	32.0	6-7-8	4150	15.0	7=>6=>8	29190	96.0			7,(9,10),2,(3,8),1,(5,6),4	7,9,2,10,3,(1,8),6,(4,5)			8.0	150.0	3.0	6-7	1870.0	5.0
200658051104	ダ	右	1000	晴	良	12:10	ルーキーチャレンジ競		2006-5-11	1	札幌(地)	5	(規定)		7	110	1	7	100	1	1	120	3	1-7	400	2	7=>1	410	2.0	1-2-7	220	1.0	7=>1=>2	680	2.0			(1,7),2,(4,5),(6,8),3	(1,7),2,4,5,(6,8),3			2.0	100.0	2.0			
200658051105	ダ	右	1700	晴	良	12:40	D3　ー1組		2006-5-11	1	札幌(地)	5	40万円以下	(規定)	4	200	2	4	110	1	6	110	2	4-6	200	1	4=>6	390	2.0	2-4-6	510	2.0	4=>6=>2	1530	5.0	(2,8),1,6,4,7,(3,5)	8,2,1,(7,6),4,(3,5)	2,(8,1),(7,6),4,5,3	(2,6,4),(8,7,3),1,5			2.0	190.0	5.0			
200658051106	ダ	右	1000	晴	良	13:15	フレッシュチャレンジ		2006-5-11	1	札幌(地)	5	(規定)		8	940	4	8	280	5	2	150	2	2-8	2440	12	8=>2	4610	26.0	2-3-8	2270	8.0	8=>2=>3	25350	63.0			(1,2),8,4,5,3,6,7	(1,2),8,(4,5),3,6,7			3.0	160.0	3.0	2-8	1590.0	7.0
200658051107	ダ	右	1700	晴	良	13:50	D3　ー1組		2006-5-11	1	札幌(地)	5	40万円以下	(規定)	6	120	1	6	100	1	7	120	2	6-7	240	1	6=>7	220	1.0	1-6-7	2100	9.0	6=>7=>1	3940	13.0	6,3,(1,5),7,8,(2,4)	6,3,(1,5),7,8,(2,4)	6,3,5,(1,7),(8,4),2	(6,7),3,(1,5),(8,4),2			1.0	280.0	6.0			
200658051108	ダ	右	1000	晴	良	14:25	フレッシュチャレンジ		2006-5-11	1	札幌(地)	5	牝(規定)		3	370	2	3	150	2	2	180	4	2-3	950	4	3=>2	1840	7.0	2-3-5	630	2.0	3=>2=>5	3980	10.0			2,3,(9,10,11),1,5,8,7,4,6	2,3,(9,5,10,11),1,8,7-4,6			5.0	130.0	1.0	2-3	1030.0	6.0
200658051109	ダ	右	1700	晴	良	15:00	3歳　条件		2006-5-11	1	札幌(地)	5	100万円以下	(規定)	1	310	2	1	170	2	10	210	4	1-10	1130	5	1=>10	1490	7.0	1-6-10	9730	28.0	1=>10=>6	32970	91.0	(6,8,11),(9,12),10,2,1,(3,5,7),4	6,11,(8,12),(9,10),1,2,4,(3,5,7)	6,11,(1,12,10),2,9,5,(8,7),4,3	(1,6),(12,10),(5,2),11,(9,7),8,4,3			6.0	350.0	5.0	1-7	840.0	4.0
