	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200630041901	ダ	右	1000	曇	良	11:10	3歳　条件		2006-4-19	1	門別	1	(規定)		12	1080	7	12	170	4	8	110	1	3.0	150.0	2.0	6-8	1170.0	7.0	8-12	1670	7	12=>8	5420	22	3-8-12	4050	18	12=>8=>3	28910	95						
200630041902	ダ	右	1200	曇	良	11:40	3歳　条件		2006-4-19	1	門別	1	(規定)		2	1490	6	2	330	4	8	200	3	1.0	420.0	7.0	2-6	2440.0	12.0	2-8	1950	9	2=>8	4250	17	1-2-8	6990	24	2=>8=>1	57350	152						
200630041903	ダ	右	1000	曇	良	12:10	D3　ー2組		2006-4-19	1	門別	1	40万円以下	(規定)	5	1310	5	5	250	6	1	120	1	2.0	340.0	8.0	1-5	910.0	5.0	1-5	740	3	5=>1	2630	10	1-2-5	14800	43	5=>1=>2	41620	127						
200630041904	ダ	右	1700	曇	良	12:45	D2　ー2組		2006-4-19	1	門別	1	60万円以下	(規定)	3	160	1	3	120	1	1	250	4	6.0	630.0	8.0	1-3	720.0	4.0	1-3	690	2	3=>1	1000	2	1-3-6	13680	43	3=>1=>6	48920	143						
200630041905	ダ	右	1200	曇	良	13:15	門別平取町軽種馬生産		2006-4-19	1	門別	1	40万円以下	(別定)	1	250	2	1	110	1	4	110	2	6.0	180.0	4.0	1-4	140.0	1.0	1-4	180	1	1=>4	400	2	1-4-6	560	2	1=>4=>6	1600	6						
200630041906	ダ	右	1200	曇	良	13:50	新冠町静内三石軽種馬		2006-4-19	1	門別	1	40万円以下	(別定)	7	170	1	7	120	1	3	120	3	8.0	120.0	2.0	3-7	440.0	1.0	3-7	440	1	7=>3	540	1	3-7-8	1280	4	7=>3=>8	2750	5						
200630041907	ダ	右	1800	曇	良	14:25	JA門別馬舞米特別 		2006-4-19	1	門別	1	(別定)		4	700	3	4	270	3	6	1,860	6							4-6	19610	19	4=>6	37200	29	4-6-7	28840	30	4=>6=>7	240000	154						
200630041908	ダ	右	1200	曇	良	15:00	3歳　条件		2006-4-19	1	門別	1	100万円以下	(規定)	7	360	2	7	100	1	6	100	2	3.0	270.0	7.0	6-7	190.0	1.0	6-7	320	1	7=>6	880	2	3-6-7	2020	5	7=>6=>3	9270	24						
200630041909	ダ	右	1800	曇	良	15:35	リーディングジョッキ 		2006-4-19	1	門別	1	130万円以下	(規定)	2	390	2	2	110	1	4	290	7	5.0	120.0	2.0	2-4	2190.0	10.0	2-4	2030	9	2=>4	2870	11	2-4-5	1920	3	2=>4=>5	10370	25	1,12,(3,2),4,(5,8),(9,11),10,6	1,12,(9,3,5,2),4,8,11,10,6	2,(1,4),(9,12),(3,5),(11,8),(10,6)	(2,4),(1,5),(9,3,12,8,6),(11,10)		
200630041910	ダ	右	1800	曇	良	16:10	日高町長杯門別温泉と 		2006-4-19	1	門別	1	(別定)		3	1260	4	3	210	5	8	170	3	6.0	110.0	1.0	3-7	2800.0	9.0	3-8	4060	11	3=>8	9120	22	3-6-8	1980	6	3=>8=>6	25450	67	3,4,11,6,(2,7,9),8,(1,5,10)	3,(11,4),6,(2,7,8,9),(1,5,10)	3,(11,6),(8,9),(4,2,10),5,7,1	3,(11,8,6,10),(4,2,9,5),7,1		
200630041911	ダ	右	1800	曇	良	16:45	門別ファンクラブ特別 		2006-4-19	1	門別	1	100万円以下	(規定)	4	2120	8	4	460	8	5	200	4	2.0	160.0	1.0	4-5	3570.0	17.0	4-5	3890	16	4=>5	8150	36	2-4-5	5710	23	4=>5=>2	54080	170						
200630042001	ダ	右	1200	曇	良	10:40	3歳　条件		2006-4-20	1	門別	2	(規定)		8	670	3	8	150	3	3	210	4	6.0	130.0	1.0	3-6	860.0	5.0	3-8	1090	4	8=>3	1890	5	3-6-8	2060	4	8=>3=>6	11940	27						
200630042002	ダ	右	1700	曇	良	11:10	3歳　条件		2006-4-20	1	門別	2	(規定)		2	120	1	2	100	1	1	240	6	8.0	140.0	2.0				1-2	810	4	2=>1	1150	5	1-2-8	1220	4	2=>1=>8	4050	11						
200630042003	ダ	右	1200	曇	良	11:40	D3　ー2組		2006-4-20	1	門別	2	40万円以下	(規定)	4	150	1	4	100	1	5	790	8	12.0	1,630	10.0	4-5	1230.0	5.0	4-5	1940	7	4=>5	2640	9	4-5-12	47620	69	4=>5=>12	174900	266						
200630042004	ダ	右	1000	曇	良	12:10	D3　ー1組		2006-4-20	1	門別	2	40万円以下	(規定)	8	260	2	8	100	1	4	110	2	3.0	180	4.0	4-6	150.0	1.0	4-8	140	1	8=>4	400	2	3-4-8	600	1	8=>4=>3	1940	7						
200630042005	ダ	右	1200	曇	良	12:45	浦河荻伏様似町軽種馬		2006-4-20	1	門別	2	40万円以下	(別定)	2	340	2	2	120	1	1	190	4	3.0	160	3.0	1-2	1030.0	4.0	1-2	1090	5	2=>1	1370	5	1-2-3	1480	4	2=>1=>3	7490	22						
200630042006	ダ	右	1000	雨	良	13:15	フレッシュチャレンジ		2006-4-20	1	門別	2	(規定)		6	610	2	6	210	2	2	530	5							2-6	1640	7	6=>2	3030	11	2-3-6	490	2	6=>2=>3	7200	24						
