	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠単:的中	枠単:配当	枠単:人気
200642010201	ダ	左	1400	曇	良	10:30	C3七　八九		2006-1-2	9	浦和	2	(別定)																																						329121610751148	3,2,9,12,(1,6),10,7,5,11,(4,8)	(2,12),9,6,(3,1),7,5,10,11,8,4	212567101811934	12.5 - 12.1 - 12.3 - 13.1 - 12.4 - 15.2 - 12.9 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.5 - 24.6 - 36.9 - 50.0 - 62.4 - 77.6 - 90.5 - 90.5 - 90.5 - 90.5 - 90.5 - 90.5 - 90.5 - 90.5 - 90.5 (36.9-40.5)			
200642010202	ダ	左	1400	曇	良	11:00	C3七　八九		2006-1-2	9	浦和	2	(別定)																																						129112571108364	12,9,11,2,5,1,10,(7,8),3,6,4	12,9,11,5,8,2,1,(3,7),10,6,4	129511812361074	12.6 - 12.3 - 12.9 - 13.1 - 11.9 - 14.2 - 13.7 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.6 - 24.9 - 37.8 - 50.9 - 62.8 - 77.0 - 90.7 - 90.7 - 90.7 - 90.7 - 90.7 - 90.7 - 90.7 - 90.7 - 90.7 (37.8-39.8)			
200642010203	ダ	左	1400	曇	良	11:30	C3七　八九		2006-1-2	9	浦和	2	(別定)																																						849131072126115	8,(4,9),10,3,7,1,12,2,6,11,5	891031247116215	981031271146215	12.8 - 12.0 - 13.1 - 13.8 - 12.4 - 14.6 - 13.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.8 - 24.8 - 37.9 - 51.7 - 64.1 - 78.7 - 91.7 - 91.7 - 91.7 - 91.7 - 91.7 - 91.7 - 91.7 - 91.7 - 91.7 (37.9-40.0)			
200642010204	ダ	左	1400	曇	良	12:05	4歳一　二		2006-1-2	9	浦和	2	169万円以上	(別定)																																					78591210463	78591210643	8,7,(5,9,6),1,2,3,4,10	8,6,3,9,(1,2,10),(5,4),7	12.6 - 12.0 - 13.3 - 13.8 - 12.7 - 14.6 - 12.7 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.6 - 24.6 - 37.9 - 51.7 - 64.4 - 79.0 - 91.7 - 91.7 - 91.7 - 91.7 - 91.7 - 91.7 - 91.7 - 91.7 - 91.7 (37.9-40.0)			
200642010205	ダ	左	1400	雨	良	12:40	4歳一　二		2006-1-2	9	浦和	2	169万円以上	(別定)																																					2,3,8,(9,10),1,6,4,(5,7)	2,3,(8,10),1,9,6,4,5,7	2,3,(8,10),1,(4,9,6),7,5	23184910765	12.4 - 11.9 - 12.9 - 13.1 - 12.2 - 14.7 - 13.1 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.4 - 24.3 - 37.2 - 50.3 - 62.5 - 77.2 - 90.3 - 90.3 - 90.3 - 90.3 - 90.3 - 90.3 - 90.3 - 90.3 - 90.3 (37.2-40.0)			
200642010206	ダ	左	1400	雨	良	13:15	C2四　五		2006-1-2	9	浦和	2	(別定)																																						7,12,8,1,(3,10),9,6,11,5,(2,4)	7,12,(1,8),3,10,9,11,6,5,4,2	712813109115624	712813910562114	12.7 - 11.7 - 12.7 - 12.9 - 11.9 - 14.7 - 12.8 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.7 - 24.4 - 37.1 - 50.0 - 61.9 - 76.6 - 89.4 - 89.4 - 89.4 - 89.4 - 89.4 - 89.4 - 89.4 - 89.4 - 89.4 (37.1-39.4)			
200642010207	ダ	左	1400	雨	稍重	13:50	C2四　五		2006-1-2	9	浦和	2	(別定)																																						759103821114126	5,7,9,10,3,8,11,2,(1,4),(6,12)	7,9,10,3,8,11,(5,2),4,1,(6,12)	793281110146125	12.4 - 11.5 - 12.4 - 13.3 - 12.5 - 14.5 - 13.3 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.4 - 23.9 - 36.3 - 49.6 - 62.1 - 76.6 - 89.9 - 89.9 - 89.9 - 89.9 - 89.9 - 89.9 - 89.9 - 89.9 - 89.9 (36.3-40.3)			
200642010208	ダ	左	1400	雨	稍重	14:25	C1五　六		2006-1-2	9	浦和	2	(別定)																																						68291031754	68102973154	6,(10,5),8,4,7,2,9,3,1	6,5,10,(3,7),2,4,(1,9),8	12.6 - 12.8 - 13.5 - 12.9 - 11.8 - 14.3 - 12.9 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.6 - 25.4 - 38.9 - 51.8 - 63.6 - 77.9 - 90.8 - 90.8 - 90.8 - 90.8 - 90.8 - 90.8 - 90.8 - 90.8 - 90.8 (38.9-39.0)			
200642010209	ダ	左	1600	曇	稍重	15:00	初夢特別 		2006-1-2	9	浦和	2	(別定)																																						4,8,2,(1,6),3,7,9,5	4,8,2,1,(3,6),7,9,5	847632159	(8,7),4,6,3,1,5,2,9	13.2 - 11.9 - 12.7 - 13.3 - 13.1 - 11.9 - 14.4 - 12.3 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.2 - 25.1 - 37.8 - 51.1 - 64.2 - 76.1 - 90.5 - 102.8 - 102.8 - 102.8 - 102.8 - 102.8 - 102.8 - 102.8 - 102.8 (37.8-38.6)			
200642010210	ダ	左	1600	曇	稍重	15:35	ニューイヤーカップ	G	2006-1-2	9	浦和	2	(定量)																																						3104926587111	3104296851117	10,3,4,(9,8,11),(2,6),7,5,1	10,3,4,(6,8),11,5,7,9,2,1	13.8 - 11.5 - 12.1 - 13.2 - 13.3 - 12.4 - 14.9 - 13.3 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.8 - 25.3 - 37.4 - 50.6 - 63.9 - 76.3 - 91.2 - 104.5 - 104.5 - 104.5 - 104.5 - 104.5 - 104.5 - 104.5 - 104.5 (37.4-40.6)			
200642010301	ダ	左	1400	晴	稍重	10:30	4歳三　四		2006-1-3	9	浦和	3	74万円以上169万円未満	(別定)																																					6539111107428	6539110114728	5691310421178	5,9,(1,10),6,3,2,4,11,7,8	12.6 - 12.5 - 13.7 - 13.3 - 12.2 - 14.2 - 12.5 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.6 - 25.1 - 38.8 - 52.1 - 64.3 - 78.5 - 91.0 - 91.0 - 91.0 - 91.0 - 91.0 - 91.0 - 91.0 - 91.0 - 91.0 (38.8-38.9)			
200642010302	ダ	左	1400	晴	稍重	11:00	4歳三　四		2006-1-3	9	浦和	3	74万円以上169万円未満	(別定)																																					241296587101113	241295867101311	412285107116139	412810211513769	12.3 - 11.7 - 12.5 - 13.3 - 12.7 - 14.9 - 13.6 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.3 - 24.0 - 36.5 - 49.8 - 62.5 - 77.4 - 91.0 - 91.0 - 91.0 - 91.0 - 91.0 - 91.0 - 91.0 - 91.0 - 91.0 (36.5-41.2)			
200642010303	ダ	左	1400	晴	稍重	11:30	3歳五		2006-1-3	9	浦和	3	62万円以上82万円未満	(別定)																																					194111236871052	194111283107652	191112483751026	112118943751026	12.3 - 12.2 - 13.4 - 13.8 - 12.4 - 14.4 - 13.5 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.3 - 24.5 - 37.9 - 51.7 - 64.1 - 78.5 - 92.0 - 92.0 - 92.0 - 92.0 - 92.0 - 92.0 - 92.0 - 92.0 - 92.0 (37.9-40.3)			
200642010304	ダ	左	1400	晴	良	12:05	3歳四		2006-1-3	9	浦和	3	82万円以上140万円未満	(別定)																																					5710141132968	5710111439268	7511691432108	5711912463810	12.4 - 12.1 - 14.1 - 13.4 - 12.5 - 14.5 - 12.9 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.4 - 24.5 - 38.6 - 52.0 - 64.5 - 79.0 - 91.9 - 91.9 - 91.9 - 91.9 - 91.9 - 91.9 - 91.9 - 91.9 - 91.9 (38.6-39.9)			
200642010305	ダ	左	1400	晴	良	12:40	C3五　六		2006-1-3	9	浦和	3	(別定)																																						810129431115627	810123941115627	810129111346527	810912111362745	12.7 - 12.0 - 12.9 - 13.4 - 12.2 - 14.5 - 12.9 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.7 - 24.7 - 37.6 - 51.0 - 63.2 - 77.7 - 90.6 - 90.6 - 90.6 - 90.6 - 90.6 - 90.6 - 90.6 - 90.6 - 90.6 (37.6-39.6)			
200642010306	ダ	左	1400	晴	良	13:15	C3五　六		2006-1-3	9	浦和	3	(別定)																																						481011597611232	481011597161232	481012119537216	410811129352716	12.2 - 11.7 - 13.2 - 13.7 - 12.4 - 14.5 - 12.7 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.2 - 23.9 - 37.1 - 50.8 - 63.2 - 77.7 - 90.4 - 90.4 - 90.4 - 90.4 - 90.4 - 90.4 - 90.4 - 90.4 - 90.4 (37.1-39.6)			
200642010307	ダ	左	1400	晴	良	13:50	3歳三		2006-1-3	9	浦和	3	140万円以上200万円未満	(別定)																																					41019683725	41018967325	10489157623	48109215637	12.5 - 12.1 - 13.1 - 13.4 - 12.3 - 14.5 - 12.4 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.5 - 24.6 - 37.7 - 51.1 - 63.4 - 77.9 - 90.3 - 90.3 - 90.3 - 90.3 - 90.3 - 90.3 - 90.3 - 90.3 - 90.3 (37.7-39.2)			
200642010308	ダ	左	1400	晴	良	14:25	C1三　四		2006-1-3	9	浦和	3	(別定)																																						42951112386101	42951112381061	41192381210561	34111098561212	12.2 - 11.6 - 12.5 - 13.4 - 12.3 - 14.5 - 12.6 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.2 - 23.8 - 36.3 - 49.7 - 62.0 - 76.5 - 89.1 - 89.1 - 89.1 - 89.1 - 89.1 - 89.1 - 89.1 - 89.1 - 89.1 (36.3-39.4)			
