waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2014105315	ビーザライト			05552	鈴木祐	a02e2	工藤裕孝	519	-3
2	2	2015104755	アップバング			a01e8	坂口裕一	05123	村上昌幸	417	1
3	3	2016102238	ラフレシアレディ			05490	山本政聡	05320	小西重征	500	-5
4	4	2016101657	ワンライン			05462	大坪慎	05199	佐藤敏彦	422	2
5	5	2016102720	ブラックハーデス			05591	塚本涼人	a0269	吉田司	449	-1
5	6	2016104002	ブライティアセルバ			a03fd	関本玲花	a01e0	晴山厚司	456	-7
6	7	2010102635	ハイパーチャージ			a01d1	木村暁	05358	新田守	496	8
6	8	2014104992	ダンストンレガーメ			05294	村上忍	05585	畠山信一	424	5
7	9	2015106124	ミズサンタイム			05119	阿部英俊	05683	菅原勲	452	5
7	10	2011100529	ケルヴィンサイド			05463	高橋悠里	a02e4	小林俊彦	522	-2
8	11	2017104565	ダンサーズドリーム			05560	小林凌	05683	菅原勲	454	0
8	12	2015101181	マジョリティー			05183	南郷家全	a028f	高橋純	440	-1
