日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey_id	jockey_name	field	distance	weight	gain	bounty
2022/04/30	晴	5	9	3	3	27.5	6	7	54.0	不	1:26.9	2.3	9-8-8-7	0.0-40.0	40.5	高知	202254043005	C3ー11	202254043005	a0256	西森将司	ダ	1300	483	5	0.0
2022/04/16	晴	5	11	3	3	4.5	3	7	54.0	重	1:28.1	1.5	1-1-1-2	0.0-41.3	42.8	高知	202254041605	C3ー11	202254041605	a0256	西森将司	ダ	1300	478	4	0.0
2022/03/23	雨	5	8	3	3	1.9	1	3	54.0	不	1:23.9	1.3	1-1-1-1	0.0-38.2	39.5	高知	202254032305	川後陽菜誕生日特別	202254032305	a0256	西森将司	ダ	1300	474	-7	10.0
2022/03/08	晴	3	9	8	8	1.5	1	2	54.0	良	1:27.6	0.2	2-2-2-2	0.0-42.2	42.0	高知	202254030803	C3ー9	202254030803	a0256	西森将司	ダ	1300	481	5	17.5
2022/02/09	晴	2	8	1	1	1.8	1	1	54.0	稍	1:26.0	-0.8	1-1-1-1	0.0-40.4	40.4	高知	202254020902	C3ー11	202254020902	a0256	西森将司	ダ	1300	476	7	50.0
2022/01/12	晴	1	8	4	4	1.3	1	1	54.0	稍	1:51.4	-1.5	1-1-1-1	0.0-41.8	41.8	高知	202254011201	C3ー18	202254011201	a0256	西森将司	ダ	1600	469	-4	50.0
2021/12/19	晴	1	8	7	7	11.0	3	3	54.0	不	1:33.4	0.4	3-2-2-2	0.0-41.2	41.5	高知	202154121901	C3ー21	202154121901	a0256	西森将司	ダ	1400	473	5	10.0
2021/05/09	曇	1	15	2	3	263.7	13	12	54.0	良	1:58.2	3.1	9-9-10-10	36.6-40.9	42.3	新潟	202104020201	3歳未勝利	202104020201	01025	勝浦正樹	ダ	1800	468	14	0.0
2021/04/10	晴	4	13	2	2	34.4	10	11	52.0	良	1:58.4	2.0	7-7-8-8	36.4-40.2	41.5	新潟	202104010104	3歳未勝利	202104010104	01164	藤田菜七	ダ	1800	454	-14	0.0
2021/01/09	晴	6	16	1	1	347.8	14	15	54.0	良	2:05.3	2.6	8-8-7-11	37.6-35.3	37.4	中山	202106010206	3歳未勝利	202106010206	01162	木幡巧也	芝	2000	468	0	0.0
2020/11/21	晴	5	18	4	7	144.8	16	16	54.0	良	1:37.4	2.9	8-8	35.5-34.5	36.5	東京	202005050505	2歳新馬	202005050505	01162	木幡巧也	芝	1600	468	0	0.0
