waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2016103119	メモリーバリケード			a023e	友森翔太	05281	塚田隆男	427	1
2	2	2015103725	ルビーロマン			a0487	塚本征吾	05270	竹下直人	505	9
3	3	2015104483	ネイビーフラッグ			a02e0	村上弘樹	05263	瀬戸口悟	527	0
4	4	2016104258	ラステラデファルコ			05171	岡部誠	05200	藤ヶ崎一	480	0
5	5	2017100082						05281	塚田隆男	54	
6	6	2016103375	ライド			05196	宮下瞳	a030a	安部幸夫	439	-1
7	7	2016105324	コルテ			05543	山田祥雄	05604	川西毅	540	0
7	8	2015101402	サンライズフルメン			05053	丸野勝虎	05668	坂口義幸	507	-5
8	9	2015102450	ギガドルマ			05370	大畑雅章	05671	倉地学	502	0
8	10	2016106234	キンイロノツバサ			05489	今井貴大	05200	藤ヶ崎一	470	-1
