日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey	field	distance	weight	gain	bounty
2022/03/05	晴	12	14	7	12	24.2	7	5	57.0	良	1:55.4	1.3	4-4-7-5	36.3-38.6	39.3	中山	202206020312	4歳以上2勝クラス	202206020312	01161	ダ	1800	526	6	111.0
2022/01/15	晴	8	15	5	8	49.6	9	9	57.0	良	1:55.4	1.7	12-12-13-12	37.2-39.1	39.2	中山	202206010508	4歳以上2勝クラス	202206010508	01129	ダ	1800	520	-2	0.0
2021/12/28	晴	9	16	3	6	4.9	2	4	57.0	良	1:55.1	0.1	4-4-2-2	37.2-39.8	39.9	中山	202106050909	ヤングJSFR中山2(2勝クラス)	202106050909	05607	ダ	1800	522	2	230.0
2021/10/03	晴	8	16	2	3	15.6	6	6	57.0	稍	1:53.4	1.0	10-10-10-10	35.8-38.8	37.8	中山	202106040908	3歳以上2勝クラス	202106040908	01161	ダ	1800	520	4	0.0
2021/09/20	晴	9	13	6	9	34.5	11	3	57.0	良	1:54.5	0.4	11-10-11-10	37.8-38.8	38.4	中山	202106040509	鋸山特別(2勝クラス)	202106040509	01161	ダ	1800	516	-4	385.0
2021/09/05	晴	9	14	2	2	27.4	10	4	57.0	稍	1:46.3	0.7	9-8-6-6	30.3-37.7	37.9	札幌	202101020809	3歳以上2勝クラス	202101020809	01161	ダ	1700	520	0	170.0
2021/08/15	曇	12	9	8	9	168.3	9	8	57.0	良	2:02.2	1.7	5-5-6-9	37.2-34.9	36.0	札幌	202101020212	藻岩山特別(2勝クラス)	202101020212	01161	芝	2000	520	-8	0.0
2021/08/07	晴	10	14	2	2	22.8	10	10	54.0	良	1:46.6	1.8	13-13-14-14	30.4-37.7	37.6	函館	202102011110	駒場特別(2勝クラス)	202102011110	01140	ダ	1700	528	10	0.0
2021/06/19	小雨	9	12	1	1	31.0	7	7	57.0	重	1:36.3	0.7	10-10	34.8-36.4	36.0	東京	202105030509	青梅特別(2勝クラス)	202105030509	01188	ダ	1600	518	-8	0.0
2021/05/23	晴	7	14	8	13	3.5	1	1	54.0	稍	1:37.7	-0.4	10-12	35.3-37.5	36.6	東京	202105021007	4歳以上1勝クラス	202105021007	01188	ダ	1600	526	0	760.0
2021/05/09	曇	6	15	8	15	6.5	3	5	57.0	良	1:54.7	1.5	10-11-11-10	38.0-38.2	37.9	新潟	202104020206	4歳以上1勝クラス	202104020206	01161	ダ	1800	526	0	76.0
2021/04/17	雨	9	9	6	6	16.1	4	3	57.0	重	1:52.7	0.4	2-2-2-2	36.6-37.0	37.3	新潟	202104010309	4歳以上1勝クラス	202104010309	01161	ダ	1800	526	4	190.0
2020/12/20	晴	3	16	7	14	25.5	9	5	53.0	良	1:55.2	0.7	5-3-6-5	38.4-38.4	38.6	中京	202007030603	3歳以上1勝クラス	202007030603	01172	ダ	1800	522	4	76.0
2020/11/21	晴	7	16	2	3	20.5	8	9	56.0	良	1:39.0	0.6	11-10	35.4-37.5	37.4	東京	202005050507	3歳以上1勝クラス	202005050507	01162	ダ	1600	518	4	0.0
2020/11/01	晴	6	15	7	13	105.4	14	5	55.0	良	1:37.9	1.3	11-12	34.6-37.0	36.8	東京	202005040806	3歳以上1勝クラス	202005040806	01162	ダ	1600	514	0	76.0
2020/09/19	曇	9	13	7	11	55.0	10	13	54.0	良	2:04.6	2.7	5-5-10-13	36.9-36.5	38.2	中山	202006040309	汐留特別(1勝クラス)	202006040309	01140	芝	2000	514	10	0.0
2020/07/19	曇	8	12	4	4	79.5	10	6	54.0	良	1:50.1	0.5	11-11-11-12	36.3-37.2	36.7	函館	202002020608	3歳以上1勝クラス	202002020608	01140	芝	1800	504	0	0.0
2020/07/04	曇	8	12	8	11	33.7	10	11	54.0	稍	1:00.2	1.5	11-12	34.3-35.9	35.7	函館	202002020108	3歳以上1勝クラス	202002020108	01140	ダ	1000	504	-2	0.0
2020/06/21	晴	2	12	5	5	24.1	7	1	56.0	良	1:00.0	0.0	8-8	35.1-36.7	35.9	函館	202002010402	3歳未勝利	202002010402	01140	ダ	1000	506	0	510.0
2020/05/23	曇	2	16	4	7	102.3	10	9	56.0	稍	1:27.3	0.9	12-13	35.7-38.0	37.8	東京	202005020902	3歳未勝利	202005020902	01129	ダ	1400	506	-2	0.0
2020/05/02	晴	2	16	5	10	8.6	5	10	56.0	良	1:26.8	1.7	11-12	35.3-37.5	38.1	東京	202005020302	3歳未勝利	202005020302	00641	ダ	1400	508	-4	0.0
2020/04/04	晴	3	16	3	5	8.0	4	5	56.0	稍	1:13.8	1.7	13-13	35.1-37.0	36.7	中山	202006030303	3歳未勝利	202006030303	00641	ダ	1200	512	4	51.0
2020/02/23	晴	2	16	2	4	16.0	6	6	56.0	良	1:27.9	1.6	2-2	36.4-37.6	38.9	東京	202005010802	3歳新馬	202005010802	01140	ダ	1400	508	0	0.0
