	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200706010111	芝	右	2000	雨	重	15:25	日刊スポ賞中山金杯	G3	2007-1-6	1	中山	1	4歳以上オープン	(国際)[指](ハンデ)	9	730	3	9	310	6	8	520	10	12.0	270	2.0	4-5	5370.0	26.0	8-9	10060	41	8-9	3,110	41	9-12	1,240	14	8-12	2,840	39	9=>8	10060	48	8-9-12	27590	94	16,9(2,3)(1,4)(7,14)10,5,6(11,12)15-(8,13)	16-9(2,3,4,14)1,7,10-(6,5)11,12-15,13,8	(16,*9)(1,2,4,14)(3,11)(7,5)(10,12)(15,13)6-8	9-16(2,14)(1,4,11,12)(7,3,10,5)(15,13)-8,6	12.6 - 10.8 - 12.6 - 11.6 - 12.2 - 12.1 - 12.5 - 12.6 - 12.2 - 13.2	12.6 - 23.4 - 36.0 - 47.6 - 59.8 - 71.9 - 84.4 - 97.0 - 109.2 - 122.4 (36.0-38.0)	9=>8=>12	128280.0	450.0
200706010112	芝	右	1600	雨	不良	16:00	4歳以上1000万下		2007-1-6	1	中山	1	4歳以上1000万下	牝[指](定量)	15	760	3	15	300	4	10	510	7	16.0	390	6.0	5-8	3630.0	13.0	10-15	7690	30	10-15	2,240	26	15-16	1,300	12	10-16	2,370	29	15=>10	15940	56	10-15-16	21440	61		(*3,10)(1,16)(4,15)2(5,13)(6,8,12)(7,9,14)-11	3,10(1,16)(2,4)15(6,13)(5,12)(7,8)14,9-11	3(10,16,4)(2,15)(1,6,12)(7,14)9(5,13,8)-11	12.7 - 11.4 - 11.9 - 12.1 - 12.6 - 12.2 - 12.4 - 12.4	12.7 - 24.1 - 36.0 - 48.1 - 60.7 - 72.9 - 85.3 - 97.7 (36.0-37.0)	15=>10=>16	122690.0	357.0
200706010201	ダ	右	1200	晴	不良	09:50	3歳未勝利		2007-1-7	1	中山	2	3歳未勝利	(市)[指](馬齢)	8	490	2	8	200	3	16	130	1	1.0	280	5.0	4-8	630.0	3.0	8-16	890	2	8-16	390	2	1-8	990	13	1-16	600	6	8=>16	2320	7	1-8-16	3180	8			(4,*10,16)(1,5,9,11,15)(2,8,12,14)-6(3,7,13)	(4,*10,16)(1,15)9(2,5,8)(11,14)(6,12)(3,7,13)	12.4 - 10.8 - 11.6 - 12.5 - 12.7 - 13.6	12.4 - 23.2 - 34.8 - 47.3 - 60.0 - 73.6 (34.8-38.8)			
200706010202	ダ	右	1800	晴	不良	10:20	3歳未勝利		2007-1-7	1	中山	2	3歳未勝利	牝[指](馬齢)	13	140	1	13	100	1	4	170	3	12.0	320	5.0	2-7	450.0	2.0	4-13	450	2	4-13	270	2	12-13	560	5	4-12	1,470	13	13=>4	620	2	4-12-13	2450	8	(*12,13)10(2,5,8,14)(4,9)6-3(7,15)(1,11)-16	(*12,13)10(2,5,8,14)9(4,6)-(3,15)(7,11)1-16	(*12,13)8(2,14,9)6(4,5,10)11(7,15)(3,1)16	(*12,13)-(2,8)-(4,6,14)(5,9)(7,11)15(3,10,1)16	12.6 - 11.5 - 12.7 - 13.4 - 12.8 - 13.0 - 13.6 - 12.8 - 14.1	12.6 - 24.1 - 36.8 - 50.2 - 63.0 - 76.0 - 89.6 - 102.4 - 116.5 (36.8-40.5)			
200706010203	ダ	右	1200	晴	不良	10:50	3歳未勝利		2007-1-7	1	中山	2	3歳未勝利	(混)[指](馬齢)	3	150	1	3	100	1	16	160	2	11.0	190	4.0	2-8	370.0	1.0	3-16	450	2	3-16	230	2	3-11	270	3	11-16	560	6	3=>16	610	2	3-11-16	930	3			3,6-15(5,13)(1,16)14,8(2,11)12-7-4-(10,9)	3-(5,6,15)(13,16)1(14,8)(2,11)-12-7-4-(10,9)	12.0 - 10.4 - 11.6 - 12.9 - 12.7 - 14.0	12.0 - 22.4 - 34.0 - 46.9 - 59.6 - 73.6 (34.0-39.6)			
200706010204	障		2880	晴	重  ダート	11:20	障害4歳以上未勝利		2007-1-7	1	中山	2	障害4歳以上未勝利	(混)(定量)	6	14330	11	6	1,860	11	5	130	1	11.0	4,300	14.0	4-4	12550.0	26.0	5-6	13640	32	5-6	4,100	35	6-11	75,490	88	5-11	8,870	47	6=>5	53150	84	5-6-11	255050	197	6(5,3)-(1,11)4(8,2)-12-9-14(10,13,7)	(6,*3)5=(1,11)(8,2)4=(12,9)-7-13-14-10	(6,*5)-3-(8,2)=1,11-12(13,4)7-9=10-14	5-6-3-8,2-11-1,12,13,4,7=9=10=14					
200706010205	芝	右	1600	晴	重	12:10	3歳未勝利		2007-1-7	1	中山	2	3歳未勝利	(混)[指](馬齢)	14	360	2	14	190	3	8	230	5	11.0	170	1.0	5-8	1690.0	8.0	8-14	1860	5	8-14	710	6	11-14	450	2	8-11	680	5	14=>8	2940	7	8-11-14	3180	5		14(2,9,11)13(5,6,8,10)(3,4)12,15,1-7	14(2,9,11)13(3,8)(5,6)(12,10)(4,1,15)=7	14(2,11)(9,8)13(3,10)(12,6)(4,1)-5,15=7	12.6 - 10.9 - 11.5 - 12.3 - 12.5 - 12.0 - 12.3 - 12.6	12.6 - 23.5 - 35.0 - 47.3 - 59.8 - 71.8 - 84.1 - 96.7 (35.0-36.9)			
200706010206	芝	右	2000	晴	重	12:40	3歳新馬		2007-1-7	1	中山	2	3歳新馬	[指](馬齢)	13	680	2	13	190	3	7	120	1	5.0	460	7.0	4-7	410.0	1.0	7-13	470	1	7-13	270	2	5-13	2,130	23	5-7	770	7	13=>7	1790	6	5-7-13	3830	9	15-12(5,14)-(10,13)16(6,9,11)(8,7)(1,2)3,4	15-(12,14)5-(10,13)(6,9,16)(7,11)8-2(1,3)4	15(12,14)(5,13)(10,16,11)9(6,2)7,8,3(1,4)	(*15,14)13(12,5,11)2(10,16)(9,7,3)(6,8)(1,4)	12.7 - 10.9 - 13.8 - 13.0 - 14.0 - 13.6 - 13.3 - 12.7 - 12.0 - 12.1	12.7 - 23.6 - 37.4 - 50.4 - 64.4 - 78.0 - 91.3 - 104.0 - 116.0 - 128.1 (37.4-36.8)			
200706010207	ダ	右	2400	晴	不良	13:10	4歳以上500万下		2007-1-7	1	中山	2	4歳以上500万下	[指](定量)	7	400	3	7	140	3	12	140	2	16.0	120	1.0	4-6	660.0	3.0	7-12	770	3	7-12	300	3	7-16	250	2	12-16	250	1	7=>12	1720	7	7-12-16	680	1	5,10,16,15(4,12,7)14(2,11,9)(13,1)3,8,6	(*5,10)16(4,12,15)(2,7)(11,14)(13,1,9)-3-8,6	(10,*16)15(12,14)(4,7,9)-1(13,3)(2,11)(5,8,6)	16(10,12)7,4(15,9)(13,1,14,3)11-8,6,2=5	12.7 - 11.4 - 12.3 - 12.5 - 13.3 - 13.4 - 13.5 - 13.2 - 13.2 - 13.4 - 13.1 - 13.8	12.7 - 24.1 - 36.4 - 48.9 - 62.2 - 75.6 - 89.1 - 102.3 - 115.5 - 128.9 - 142.0 - 155.8 (36.4-40.3)			
200706010208	ダ	右	1200	晴	不良	13:40	4歳以上500万下		2007-1-7	1	中山	2	4歳以上500万下	牝[指](定量)	11	810	5	11	230	4	9	850	11	7.0	210	3.0	5-6	4530.0	15.0	9-11	13150	44	9-11	3,510	43	7-11	710	8	7-9	2,440	29	11=>9	23350	78	7-9-11	18160	60			6,15(5,16)(7,8)(3,11)4(10,13)(2,12)(9,14)1	6(15,16)(5,7,11)(3,8)(4,10,13,12)(2,9,14)1	12.2 - 10.6 - 11.6 - 13.1 - 12.9 - 13.0	12.2 - 22.8 - 34.4 - 47.5 - 60.4 - 73.4 (34.4-39.0)			
