	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200710010111	芝	右	1200	晴	良	15:30	帆柱山特別 		2007-1-20	1	小倉	1	4歳以上1000万下	(混)(ハンデ)	2	310	1	2	150	1	1	1,940	16	3.0	530	8.0	1-1	13050.0	32.0	1-2	13320	40	1-2	3,860	44	2-3	1,230	11	1-3	14,610	107	2=>1	21290	69	1-2-3	47580	132			2,13(1,14)(3,15)(7,16)(4,9,10,17)(8,12,18)(11,5)6	2-(1,13,14)(3,15)(9,16)7(10,17)(4,8,12,18)(6,11,5)	11.8 - 10.4 - 10.7 - 11.1 - 11.5 - 12.2	11.8 - 22.2 - 32.9 - 44.0 - 55.5 - 67.7 (32.9-34.8)	2=>1=>3	241220.0	660.0
200710010201	ダ	右	1700	曇	良	09:50	3歳未勝利		2007-1-21	1	小倉	2	3歳未勝利	[指](馬齢)	13	1570	6	13	380	6	7	170	3	6.0	140	1.0	4-7	1810.0	7.0	7-13	3430	15	7-13	1,230	15	6-13	1,090	14	6-7	480	6	13=>7	8240	30	6-7-13	4560	16	(*6,13)(10,15)(2,7)-(3,9)1,12-(4,11)(8,5)-14	(*6,13)-10,15(2,7)-9,3-1,12(4,11)(8,5)-14	(*6,13)(10,15)(7,9)(2,3)-4,1,5,12(8,14)11	(*6,13)15(10,7)(2,9)(4,3)(1,5)-(8,12)14-11	6.9 - 11.2 - 11.4 - 12.7 - 12.6 - 12.8 - 13.1 - 12.9 - 13.8	6.9 - 18.1 - 29.5 - 42.2 - 54.8 - 67.6 - 80.7 - 93.6 - 107.4 (29.5-39.8)			
200710010202	芝	右	1200	曇	良	10:20	3歳未勝利		2007-1-21	1	小倉	2	3歳未勝利	牝[指](馬齢)	17	190	1	17	130	1	9	470	7	11.0	670	10.0	5-8	410.0	1.0	9-17	2210	7	9-17	1,150	11	11-17	1,670	16	9-11	8,170	65	17=>9	3050	9	9-11-17	22160	67			(3,*8)10,17(1,14)(9,12)(5,11)13,16(2,15)6,4,7	8(3,10,17)(1,14)(9,12)(5,11)-13(2,16)15-(4,6)7	11.9 - 10.3 - 10.9 - 11.6 - 12.0 - 12.4	11.9 - 22.2 - 33.1 - 44.7 - 56.7 - 69.1 (33.1-36.0)			
200710010203	芝	右	2000	曇	良	10:50	3歳未勝利		2007-1-21	1	小倉	2	3歳未勝利	(混)[指](馬齢)	17	10420	14	17	1,910	13	1	170	1	8.0	810	10.0	1-8	2400.0	10.0	1-17	14810	43	1-17	4,730	47	8-17	20,090	98	1-8	2,460	31	17=>1	37800	95	1-8-17	140430	276	(*15,13)(7,8,6,18)(1,2,11)(3,10,17)(5,12,16)-14,9,4	(*15,13)18(7,8,6)(1,2,11)(3,10,17)(5,12)16,14,9,4	(*15,11)8(7,6,13,18)(2,17)(3,1,10,12)(14,5,16)9-4	(*15,11)(8,6,17)12(3,1,18)(7,2)14(13,10,5)(4,9,16)	12.4 - 11.2 - 12.0 - 12.8 - 12.6 - 12.3 - 11.9 - 12.3 - 11.9 - 12.3	12.4 - 23.6 - 35.6 - 48.4 - 61.0 - 73.3 - 85.2 - 97.5 - 109.4 - 121.7 (35.6-36.5)			
200710010204	芝	右	1200	曇	良	11:20	3歳新馬		2007-1-21	1	小倉	2	3歳新馬	(混)[指](馬齢)	11	390	2	11	170	1	13	230	4	10.0	2,030	11.0	7-8	590.0	4.0	11-13	1320	6	11-13	510	5	10-11	5,650	46	10-13	7,680	53	11=>13	2230	6	10-11-13	33650	88			(*5,11,13)(2,1)(7,8)(12,10)(4,3)-6=9	(*11,13)(2,1)5,8(7,10)-(12,3)4-6=9	12.2 - 10.4 - 11.1 - 11.6 - 11.6 - 12.4	12.2 - 22.6 - 33.7 - 45.3 - 56.9 - 69.3 (33.7-35.6)			
200710010205	ダ	右	1700	曇	良	11:50	4歳以上500万下		2007-1-21	1	小倉	2	4歳以上500万下	牝[指](定量)	7	450	2	7	210	2	11	1,050	12	5.0	1,010	11.0	4-6	600.0	2.0	7-11	10830	34	7-11	2,960	30	5-7	4,820	43	5-11	10,880	71	7=>11	16060	53	5-7-11	112020	197	5(6,7)(3,8)(2,10)12(4,14)11(9,15)13=1	5(6,7)-(2,3,8,10)(4,12,14)(9,11,15)-13-1	(*5,7)(6,3)2(4,8,10)(9,12,14)(13,11,15)=1	5,7,3,6(9,2)11(4,14)(13,10)(12,15)8-1	6.9 - 11.8 - 12.1 - 12.8 - 12.2 - 12.4 - 12.5 - 12.6 - 13.4	6.9 - 18.7 - 30.8 - 43.6 - 55.8 - 68.2 - 80.7 - 93.3 - 106.7 (30.8-38.5)			
200710010206	ダ	右	1000	曇	良	12:40	4歳以上500万下		2007-1-21	1	小倉	2	4歳以上500万下	[指](定量)	6	4600	8	6	530	7	9	120	1	13.0	360	6.0	4-6	1350.0	5.0	6-9	2110	6	6-9	710	6	6-13	6,020	45	9-13	540	5	6=>9	7840	23	6-9-13	8820	28			13-(1,7,9,12)(2,10)14,4,3(8,11)(5,6)	13-(1,9,12)-(7,10)2(3,4,14)-(5,8,6)=11	12.1 - 10.5 - 11.5 - 12.2 - 13.0	12.1 - 22.6 - 34.1 - 46.3 - 59.3 (34.1-36.7)			
200710010207	芝	右	2600	曇	良	13:10	4歳以上500万下		2007-1-21	1	小倉	2	4歳以上500万下	[指](定量)	8	1430	6	8	430	6	10	210	2	1.0	470	9.0	4-5	4040.0	16.0	8-10	4880	17	8-10	1,510	19	1-8	3,830	46	1-10	1,290	15	8=>10	11420	42	1-8-10	23900	83	7(12,14)10(11,13)5(1,9,15,16)-4,3,8-2,6	7(12,14)10(11,13)(5,1,15)(9,16)(8,4)3(2,6)	7,12(10,14)(11,13)(8,1)(5,6)(9,15,4)3,2=16	7(10,12,13,1)(11,14,8,6)(5,3)(2,9,15,4)=16	12.5 - 11.5 - 11.7 - 11.9 - 12.1 - 12.9 - 13.3 - 12.7 - 12.0 - 11.8 - 12.5 - 12.1 - 12.3	12.5 - 24.0 - 35.7 - 47.6 - 59.7 - 72.6 - 85.9 - 98.6 - 110.6 - 122.4 - 134.9 - 147.0 - 159.3 (35.7-36.9)			
200710010208	ダ	右	1700	曇	良	13:40	4歳以上500万下		2007-1-21	1	小倉	2	4歳以上500万下	(混)[指](定量)	1	960	5	1	250	5	3	240	4	7.0	220	3.0	1-2	2820.0	14.0	1-3	3100	12	1-3	1,120	14	1-7	970	11	3-7	1,060	12	1=>3	6710	32	1-3-7	9440	28	(7,*10)-16(1,15)(14,12)(5,11)13(4,3,8)(2,6,9)	(7,*10)-16,15,1(14,12)-11(5,13)(4,8)(2,3)(6,9)	(*10,7)(1,16,15)(14,12)(13,3)(11,8)(5,6,9)-(4,2)	(*10,7)(1,16,15)(14,12)3-(13,8)(11,6,9)(4,5)2	7.0 - 11.3 - 11.6 - 12.6 - 12.7 - 12.4 - 12.7 - 12.8 - 13.3	7.0 - 18.3 - 29.9 - 42.5 - 55.2 - 67.6 - 80.3 - 93.1 - 106.4 (29.9-38.8)			
200710010209	芝	右	1200	曇	良	14:15	4歳以上500万下		2007-1-21	1	小倉	2	4歳以上500万下	(混)[指](定量)	14	370	1	14	160	1	6	160	2	2.0	3,570	17.0	3-7	670.0	2.0	6-14	930	1	6-14	350	1	2-14	7,560	66	2-6	6,270	59	14=>6	1730	2	2-6-14	36700	102			(*4,6)(14,17)(1,10,11,13)(2,15)(7,16)(3,5,18)(9,8)-12	(*6,14)(4,17)11(1,10)16(7,2,13)(3,15,18)(9,8)-5-12	11.8 - 10.3 - 11.0 - 11.4 - 11.5 - 12.1	11.8 - 22.1 - 33.1 - 44.5 - 56.0 - 68.1 (33.1-35.0)	14=>6=>2	163570.0	431.0
