rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	7	8		アオスタ	セ5	56.0		山田祥雄	1:30.9		1-1-1	38.5	1.1	1	494	-11		田中敏和		（株）ファーストビ	25.0
2	8	9		キャラバン	セ5	56.0		宇都英樹	1:31.5	3.0	5-2-2	39.0	11.1	4	478	-5		角田輝也		馬場幸夫	6.3
3	3	3		アップバング	牡4	56.0		岡部誠	1:31.6	3/4	8-8-5	38.2	25.5	5	408	2		宮本仁		大黒富美子	3.0
4	4	4		トーホウウノ	牝5	54.0		今井貴大	1:31.7	クビ	9-9-7	38.0	129.8	6	491	-2		原口次夫		犬飼好稔	2.0
5	7	7		キーポジション	牡4	56.0		丸野勝虎	1:31.7	クビ	2-2-4	39.2	10.9	3	462	-4		倉地学		田口順子	1.3
6	1	1		チケットトゥライド	牡5	56.0		佐藤友則	1:31.8	クビ	4-4-3	39.0	9.7	2	498	-7		原口次夫		松岡研司	
7	6	6		サンレイフローラ	牝9	54.0		丸山真一	1:32.4	3.0	10-10-10	38.3	284.8	9	476	-2		坂口義幸		永井宏明	
8	8	10		キョウワルナ	牝7	54.0		戸部尚実	1:32.5	クビ	7-6-6	39.4	241.9	8	468	2		植松則幸		中島知四郎	
9	2	2		ジェリーロラム	牝5	54.0		藤原良一	1:33.3	4.0	6-7-8	40.1	392.4	10	437	0		坂口義幸		（同）ＪＰＮ技研	
10	5	5		ジスイズザゼネラル	牡6	56.0		大畑雅章	1:34.2	4.0	3-4-9	41.4	147.1	7	465	4		今津勝之		小出水正男	
