	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201535050405	ダ	左	1400	晴	良	13:55	C2一組		2015-5-4	1	盛岡	3			1.0	2830.0	6.0	1.0	490	5.0	8.0	160	3.0	1-8	1880.0	7.0	1-8	370	5.0	1-7	960	11.0	7-8	310	3.0	1=>8	8020.0	16.0	1-7-8	2850.0	8.0	1=>8=>7	27580.0	72.0			8,(1,7),3,2,5,4,6	82714635			7.0	230.0	4.0			
201535050406	ダ	左	1400	晴	良	14:35	3歳C1二組		2015-5-4	1	盛岡	3			8.0	240.0	2.0	8.0	100	1.0	3.0	110	2.0	3-8	160.0	1.0	3-8	130	1.0	8-10	310	4.0	3-10	380	5.0	8=>3	320.0	1.0	3-8-10	550.0	2.0	8=>3=>10	1740.0	6.0			10836291457	(10,8),3-6,1,2,4,9,5,7			10.0	170.0	4.0	3-7	140.0	1.0
201535050407	ダ	左	1400	晴	良	15:15	3歳C1一組		2015-5-4	1	盛岡	3			2.0	110.0	1.0	2.0	110	1.0	7.0	360	5.0	2-7	1420.0	4.0	2-7	550	4.0	2-5	1,010	9.0	5-7	4,180	24.0	2=>7	1590.0	4.0	2-5-7	8300.0	16.0	2=>7=>5	17180.0	35.0			1,2-10,7,8,5,4,9-3,6	(1,2)-7,10,8,5,9,4,3,6			5.0	460.0	7.0	2-7	130.0	1.0
201535050408	ダ	左	1400	曇	良	15:55	ヤンルースC1二組		2015-5-4	1	盛岡	3			7.0	1970.0	6.0	7.0	1,140	7.0	5.0	120	1.0	5-7	2660.0	11.0	5-7	910	13.0	6-7	750	11.0	5-6	280	3.0	7=>5	8830.0	25.0	5-6-7	1850.0	7.0	7=>5=>6	20430.0	70.0			2,7,5,6,(3,4),1	7526341								
201535050409	ダ	左	1400	曇	良	17:05	石桜杯 		2015-5-4	1	盛岡	3	(別定)		1.0	510.0	3.0	1.0	170	4.0	8.0	510	7.0	1-8	7710.0	23.0	1-8	3,110	30.0	1-6	220	2.0	6-8	2,520	24.0	1=>8	9060.0	28.0	1-6-8	4640.0	15.0	1=>8=>6	39570.0	115.0			8,10,(1,6,9),11,3,7,2,4,5	8171063921145			6.0	130.0	1.0	1-7	5940.0	16.0
201535050501	ダ	左	1200	曇	良	11:30	3歳C2四組		2015-5-5	1	盛岡	4			6.0	630.0	3.0	6.0	100	1.0	7.0	110	3.0	6-7	610.0	3.0	6-7	210	2.0	5-6	240	4.0	5-7	150	1.0	6=>7	1450.0	6.0	5-6-7	250.0	1.0	6=>7=>5	2420.0	7.0			(7,8,6),5,(4,9),3,2,1	7,6,8,5,4,(3,9),2-1			5.0	100.0	2.0	6-7	610.0	3.0
201535050502	ダ	左	1200	晴	良	12:05	3歳C2三組		2015-5-5	1	盛岡	4			5.0	940.0	5.0	5.0	420	5.0	6.0	270	4.0	5-6	2640.0	10.0	5-6	620	9.0	4-5	380	7.0	4-6	240	3.0	5=>6	4080.0	18.0	4-5-6	1260.0	5.0	5=>6=>4	12620.0	49.0			4,6,1,2,3,(5,7)	4,6,2,1,(3,5),7								
201535050503	ダ	左	1200	晴	良	12:40	3歳C2二組		2015-5-5	1	盛岡	4			1.0	780.0	3.0	1.0	210	4.0	6.0	110	1.0	1-6	470.0	3.0	1-6	200	3.0	1-7	970	11.0	6-7	360	5.0	1=>6	1510.0	7.0	1-6-7	1550.0	6.0	1=>6=>7	14120.0	39.0			1,(7,6),2,3,4,5,8	16723458			7.0	310.0	5.0			
201535050504	ダ	左	1200	晴	良	13:15	3歳C2一組		2015-5-5	1	盛岡	4			3.0	270.0	1.0	3.0	140	2.0	5.0	150	3.0	3-5	470.0	1.0	3-5	220	2.0	3-4	430	7.0	4-5	640	9.0	3=>5	800.0	1.0	3-4-5	1660.0	5.0	3=>5=>4	5510.0	25.0			(2,5),3,4-(6,8),7,1	2,5,3,4=6,8,7-1			4.0	190.0	5.0			
201535050505	ダ	左	1000	晴	良	13:50	C1		2015-5-5	1	盛岡	4			5.0	140.0	1.0	5.0	110	1.0	1.0	200	5.0	1-5	380.0	2.0	1-5	210	2.0	5-7	530	7.0	1-7	1,670	16.0	5=>1	470.0	2.0	1-5-7	2320.0	9.0	5=>1=>7	4230.0	13.0			5,9,(3,7),1,8,2,6,4	5,(3,7),1,9,8,2,6,4			7.0	420.0	6.0	1-5	420.0	2.0
