rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	4	8		スキップ	牡3	56.0		吉田隼人	1:10.2		7-7	35.2	5.2	3	452	-8		加用正		協栄	500.0
2	7	14		バカラクイーン	牝3	51.0		藤田菜七	1:10.2	クビ	3-3	35.5	3.9	2	462	-6		武井亮		三嶋牧場	200.0
3	4	7		メイクアンシー	牡3	56.0		横山和生	1:10.3	1/2	4-5	35.4	2.2	1	454	2		高市圭二		チームユッキレーシング	130.0
4	1	2		ヒロシゲウェーブ	牡3	55.0		森裕太朗	1:10.5	1.1/2	11-10	35.1	27.6	7	434	10		藤沢則雄		阿尾浩和	75.0
5	5	9		ガーデンコンサート	牝3	54.0		津村明秀	1:10.6	3/4	4-3	35.7	9.8	4	456	0		尾関知人		グリーンファーム	50.0
6	7	13		モメチョッタ	牝3	54.0		勝浦正樹	1:10.7	1/2	4-7	35.8	10.4	5	428	-10		石毛善彦		ミルファーム	
7	8	16		チャピ	牝3	53.0		横山武史	1:10.8	クビ	7-5	35.8	21.5	6	452	6		加藤征弘		加藤晃央	
8	2	3		カーヴィー	牝3	52.0		菊沢一樹	1:10.8	クビ	9-9	35.6	32.9	8	436	0		牧浦充徳		ニッシンレーシング	
9	1	1		ハローマイフレンド	牡3	53.0		山田敬士	1:10.9	1/2	14-14	34.8	128.4	10	404	0		林徹		石川秀守	
10	5	10		ペイシャマキアージ	牝3	53.0		川又賢治	1:10.9	ハナ	2-2	36.3	185.5	13	466	0		本間忍		北所直人	
11	2	4		ケンアンドランス	牡3	56.0		黛弘人	1:11.0	クビ	12-12	35.4	128.5	11	492	14		菊川正達		岡田壮史	
12	3	6		ラスティングライ	牡3	53.0		木幡育也	1:11.4	2.1/2	1-1	36.8	77.1	9	498	20		佐藤吉勝		松谷翔太	
13	3	5		ウインドシャルム	牝3	53.0		加藤祥太	1:11.7	1.3/4	12-12	36.2	180.4	12	438	32		高橋裕		福原正博	
14	6	12		ビクトリーゴールド	牝3	54.0		荻野極	1:12.4	4.0	9-10	37.2	303.3	14	396	-4		吉田直弘		田島政光	
15	8	15		ダナキル	牝3	54.0		嶋田純次	1:15.6	大	15-15	38.2	362.0	15	420	14		石毛善彦		ミルファーム	
16	6	11		デルマヴァンドーム	牝3	54.0		井上敏樹	1:16.9	8.0	16-16	38.9	439.1	16	496	0		作田誠二		浅沼廣幸	
