rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	3	3		リュウセイペガサス	牡3	590.0		赤塚健仁	1:59.8				5.3	2	997	3		久田守		稲谷義雄	15.0
2	2	2		ホホエミ	牝4	570.0		松田道明	2:00.2				9.5	6	1057	-3		村上慎一		大熊金八	4.5
3	8	9		ゴールドフラック	セ4	590.0		阿部武臣	2:04.0				6.1	4	1071	-6		坂本東一		北角重雄	2.2
4	4	4		トマランサジェット	牡4	590.0		村上章	2:12.7				12.4	7	960	-10		鈴木邦哉		澤谷芳喜	1.3
5	5	5		アサヒユウシン	牡3	590.0		船山蔵人	2:13.3				3.1	1	1035	5		久田守		稲谷義雄	0.9
6	7	8		コマサンカイリキ	牡3	590.0		藤野俊一	2:16.9				8.7	5	925	4		金田勇		駒井鉄雄	
7	7	7		アオノソルテ	牡3	590.0		舘澤直央	2:17.4				38.0	9	932	1		金田勇		青山修	
8	6	6		キンオビ	牡3	590.0		西将太	2:18.4				5.4	3	1054	-12		久田守		細野俊秀	
9	1	1		オージョ	牝4	570.0		島津新	2:20.9				16.4	8	1017	14		林豊		大河原昭雄	
10	8	10		テンセイノカガヤキ	牡3	590.0		鈴木恵介	2:22.0				65.7	10	986	3		槻舘重人		鈴木勉	
