	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬連:的中	馬連:配当	馬連:人気
199909010203	ダ	右	1800	曇	重	10:55	4歳新馬		1999-2-28	1	阪神	2	4歳新馬	(混)[指](馬齢)	2	2920	7	2	510	7	1	200	2	9.0	240	4.0	1-2	6700	20																							12.9 - 11.7 - 12.6 - 12.6 - 13.0 - 13.2 - 12.8 - 13.0 - 13.0	12.9 - 24.6 - 37.2 - 49.8 - 62.8 - 76.0 - 88.8 - 101.8 - 114.8 (12.9-12.9)	1-2	6630.0	22.0
199909010204	ダ	右	1200	曇	重	11:20	4歳新馬		1999-2-28	1	阪神	2	4歳新馬	[指](馬齢)	9	460	3	9	180	4	2	160	3	3.0	320	6.0	2-7	1400	6																							12.8 - 10.8 - 11.6 - 12.2 - 12.3 - 13.3	12.8 - 23.6 - 35.2 - 47.4 - 59.7 - 73.0 (12.8-12.8)	2-9	1550.0	6.0
199909010205	障		3000	晴	良  ダート	11:50	障害4歳以上未勝利		1999-2-28	1	阪神	2	障害4歳以上未勝利	(定量)	2	460	4	2	180	4	13	160	2	7.0	150	1.0	2-8	910	6																									2-13	1020.0	5.0
199909010206	芝	右	1600	晴	良	12:50	4歳新馬		1999-2-28	1	阪神	2	4歳新馬	[指](馬齢)	2	280	2	2	130	1	10	130	2	7.0	650	9.0	2-6	420	1																							13.3 - 12.5 - 12.7 - 13.1 - 12.3 - 11.8 - 11.8 - 11.7	13.3 - 25.8 - 38.5 - 51.6 - 63.9 - 75.7 - 87.5 - 99.2 (13.3-13.3)	2-10	440.0	1.0
199909010207	ダ	右	1800	晴	稍重	13:20	4歳以上500万下		1999-2-28	1	阪神	2	4歳以上500万下	(混)[指](別定)	8	550	3	8	180	3	4	130	2	3.0	330	5.0	4-8	900	3																							13.0 - 11.7 - 13.5 - 13.0 - 13.0 - 12.9 - 12.4 - 11.9 - 12.3	13.0 - 24.7 - 38.2 - 51.2 - 64.2 - 77.1 - 89.5 - 101.4 - 113.7 (13.0-13.0)			
199909010208	ダ	右	1200	晴	稍重	13:55	4歳500万下		1999-2-28	1	阪神	2	4歳500万下	(特指)(馬齢)	8	140	1	8	110	1	14	150	3	7.0	130	2.0	5-8	420	2																							12.3 - 11.1 - 11.6 - 12.4 - 11.7 - 12.7	12.3 - 23.4 - 35.0 - 47.4 - 59.1 - 71.8 (12.3-12.3)	8-14	440.0	2.0
199909010209	ダ	右	1400	晴	稍重	14:30	讃岐特別 		1999-2-28	1	阪神	2	4歳以上900万下	(混)[指](別定)	16	670	4	16	210	4	12	170	2	15.0	480	7.0	6-8	880	4																							12.5 - 10.8 - 11.2 - 11.6 - 12.1 - 12.4 - 12.6	12.5 - 23.3 - 34.5 - 46.1 - 58.2 - 70.6 - 83.2 (12.5-12.5)	12-16	1330.0	4.0
199909010301	ダ	右	1800	晴	良	10:05	4歳新馬		1999-3-6	1	阪神	3	4歳新馬	牝[指](馬齢)	1	140	1	1	100	1	7	180	5	8.0	110	2.0	1-7	740	3																							13.3 - 12.7 - 14.3 - 13.7 - 13.5 - 12.9 - 12.9 - 12.3 - 12.7	13.3 - 26.0 - 40.3 - 54.0 - 67.5 - 80.4 - 93.3 - 105.6 - 118.3 (13.3-13.3)			
199909010302	ダ	右	1200	晴	良	10:30	4歳未勝利		1999-3-6	1	阪神	3	4歳未勝利	牝[指](馬齢)	9	260	1	9	130	1	3	470	9	1.0	200	3.0	3-7	2000	8																							12.8 - 11.2 - 12.0 - 12.0 - 12.8 - 13.9	12.8 - 24.0 - 36.0 - 48.0 - 60.8 - 74.7 (12.8-12.8)	3-9	3600.0	16.0
199909010303	ダ	右	1800	晴	良	10:55	4歳未勝利		1999-3-6	1	阪神	3	4歳未勝利	(混)[指](馬齢)	10	680	3	10	170	3	5	120	1	12.0	350	5.0	5-7	710	2																							13.1 - 11.8 - 13.6 - 13.5 - 13.2 - 13.1 - 13.1 - 12.7 - 12.9	13.1 - 24.9 - 38.5 - 52.0 - 65.2 - 78.3 - 91.4 - 104.1 - 117.0 (13.1-13.1)	5-10	800.0	2.0
199909010304	ダ	右	1200	晴	良	11:25	4歳新馬		1999-3-6	1	阪神	3	4歳新馬	[指](馬齢)	10	130	1	10	100	1	9	160	2	3.0	160	3.0	6-7	470	1																							13.1 - 11.2 - 12.1 - 12.3 - 12.2 - 12.9	13.1 - 24.3 - 36.4 - 48.7 - 60.9 - 73.8 (13.1-13.1)	9-10	560.0	2.0
199909010305	障		3000	晴	良  ダート	11:55	障害4歳以上未勝利		1999-3-6	1	阪神	3	障害4歳以上未勝利	(混)(定量)	11	6590	10	11	690	9	5	130	1	9.0	720	10.0	4-7	1170	5																									5-11	4320.0	14.0
