日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey_id	jockey_name	field	distance	weight	gain	bounty
2022/02/09	晴	7	16	2	4	57.1	11	15	54.0	良	1:15.4	1.7	10-10	35.7-38.0	38.6	大井	202244020907	C2八　九十	movie.html?race_id=202244020907	05562	岡村健司	ダ	1200	481	-11	0.0
2022/01/26	晴	9	16	8	15	5.3	2	16	51.0	良	1:18.2	3.6	7-12	35.8-38.8	41.7	大井	202244012609	C2六　七	movie.html?race_id=202244012609	05612	菅原涼太	ダ	1200	492	-4	0.0
2021/12/29	晴	12	14	2	2	2.6	1	7	51.0	良	1:15.3	0.5	1-1	36.2-38.6	39.1	大井	202144122912	SEGAスターホース	movie.html?race_id=202144122912	05612	菅原涼太	ダ	1200	496	-2	0.0
2021/12/06	曇	9	15	2	3	13.9	6	1	51.0	稍	1:14.4	0.0	2-2	35.4-39.0	39.0	大井	202144120609	C1八　九	movie.html?race_id=202144120609	05612	菅原涼太	ダ	1200	498	-2	120.0
2021/11/19	晴	4	15	5	8	8.4	5	2	51.0	良	1:14.3	0.0	1-1	35.9-38.4	38.4	大井	202144111904	がけっぷちリゾート賞	movie.html?race_id=202144111904	05612	菅原涼太	ダ	1200	500	2	40.0
2021/11/03	晴	6	13	5	8	3.3	1	1	51.0	稍	1:14.9	-0.7	3-3	36.1-38.8	38.8	大井	202144110306	SPAT4でお得にポ	movie.html?race_id=202144110306	05612	菅原涼太	ダ	1200	498	4	100.0
2021/10/06	曇	7	16	6	12	5.5	3	6	54.0	稍	1:14.5	1.4	16-16	35.6-37.5	37.2	大井	202144100607	C2八　九十	movie.html?race_id=202144100607	a02d7	西啓太	ダ	1200	494	-2	0.0
2021/09/22	晴	6	14	7	13	5.0	1	1	54.0	良	1:14.0	-0.1	3-3	35.6-38.4	38.4	大井	202144092206	品川かえで賞	movie.html?race_id=202144092206	a02d7	西啓太	ダ	1200	496	-3	80.0
2021/09/10	晴	5	16	3	6	3.4	1	8	54.0	重	1:15.5	1.0	6-6	36.3-38.2	39.0	大井	202144091005	2020世界がいつか	movie.html?race_id=202144091005	a02d7	西啓太	ダ	1200	499	0	0.0
2021/08/20	晴	2	14	3	3	7.4	4	2	54.0	稍	1:13.7	0.5	6-7	35.5-37.7	37.7	大井	202144082002	C3一　二	movie.html?race_id=202144082002	a02d7	西啓太	ダ	1200	499	1	32.0
2021/04/28	曇	5	14	1	1	27.8	7	7	54.0	良	1:15.3	1.4	11-11	36.1-37.8	37.7	大井	202144042805	C2七　八九	movie.html?race_id=202144042805	05380	矢野貴之	ダ	1200	498	-1	0.0
2021/04/13	曇	6	16	6	12	14.2	6	13	52.0	良	1:15.7	1.4	6-7	36.4-37.9	38.7	大井	202144041306	C2十　11	movie.html?race_id=202144041306	05605	篠谷葵	ダ	1200	499	13	0.0
2021/03/23	晴	7	16	5	10	18.1	7	11	54.0	重	1:16.3	1.3	16-14	37.0-38.0	37.9	大井	202144032307	C2八　九十	movie.html?race_id=202144032307	05488	本橋孝太	ダ	1200	486	3	0.0
2021/03/08	雨	7	14	3	4	14.8	3	4	54.0	稍	1:15.0	0.9	5-4	35.6-38.5	38.9	大井	202144030807	C2十　11	movie.html?race_id=202144030807	05380	矢野貴之	ダ	1200	483	-6	15.0
2021/02/15	雨	8	16	8	15	6.3	3	9	54.0	不	1:16.5	1.0	3-3	35.7-39.8	40.7	大井	202144021508	C2十　1112	movie.html?race_id=202144021508	00817	的場文男	ダ	1200	489	-7	0.0
2021/01/19	晴	8	16	1	2	12.4	5	7	54.0	良	1:15.7	0.8	1-1	35.2-39.7	40.5	大井	202144011908	C2十　11	movie.html?race_id=202144011908	05524	笹川翼	ダ	1200	496	-5	0.0
2020/12/29	曇	5	14	3	4	2.6	1	2	54.0	良	1:15.1	0.2	5-5	35.8-39.1	38.6	大井	202044122905	ハツシバオー賞	movie.html?race_id=202044122905	05380	矢野貴之	ダ	1200	501	3	40.0
2020/12/10	晴	5	14	7	12	4.0	1	8	54.0	良	1:15.2	1.3	6-6	35.1-38.8	39.3	大井	202044121005	C2四　五	movie.html?race_id=202044121005	05380	矢野貴之	ダ	1200	498	9	0.0
2020/11/04	晴	12	15	3	4	8.4	3	4	54.0	良	1:14.9	0.0	5-5	36.4-38.5	38.1	大井	202044110412	SPAT4×JBC2	movie.html?race_id=202044110412	05380	矢野貴之	ダ	1200	489	2	15.0
2020/10/06	曇	6	16	3	5	16.7	4	3	54.0	良	1:15.1	0.3	5-6	35.6-39.2	38.9	大井	202044100606	いたばし二輪草賞	movie.html?race_id=202044100606	a0247	川島正太	ダ	1200	487	5	25.0
2020/07/07	曇	8	16	2	4	1.5	1	7	54.0	不	1:16.5	1.4	4-4	36.1-39.0	39.9	大井	202044070708	C2五　六七	movie.html?race_id=202044070708	05380	矢野貴之	ダ	1200	482	-2	0.0
2020/06/24	曇	5	12	7	11	2.8	1	2	54.0	不	1:14.2	0.1	5-6	35.2-38.9	38.5	大井	202044062405	C2五　六	movie.html?race_id=202044062405	05380	矢野貴之	ダ	1200	484	-11	40.0
2020/06/04	曇	5	15	4	7	7.3	3	4	54.0	良	1:14.8	0.5	5-6	36.2-38.1	38.1	大井	202044060405	C2三　四	movie.html?race_id=202044060405	05380	矢野貴之	ダ	1200	495	0	15.0
2020/03/17	晴	8	16	5	9	3.8	2	3	54.0	重	1:15.0	0.4	3-4	35.7-38.9	38.6	大井	202044031708	C2七　八	movie.html?race_id=202044031708	05380	矢野貴之	ダ	1200	495	0	25.0
2020/02/24	晴	9	14	3	4	1.7	1	2	54.0	良	1:29.8	0.6	1-1-1	37.2-39.1	39.7	大井	202044022409	C2九　十11	movie.html?race_id=202044022409	05342	森泰斗	ダ	1400	495	-4	40.0
