waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2015103913	セイコチャン			a042c	飛田愛斗	05333	矢野久美	444	6
2	2	2016101255	ハクユウラッキー			05478	石川慎将	05601	東眞市	520	6
3	3	2014104377						05307	西久保政	55	
4	4	2016101710	アイムソーグレイト			05501	山下裕貴	05106	真島元徳	494	4
5	5	2016109127	カシノウィング			05456	田中純	05360	濱田一夫	511	2
6	6	2015109066	フューチャフラッグ			05147	長田進仁	a00f6	中野博	477	-2
6	7	2015105333	キナコ			00418	兒島真二	05745	渡辺博文	419	-3
7	8	2014103063	エイシンユニコーン			05579	出水拓人	05624	中川竜馬	510	-2
7	9	2017103988	ダウンタウンスピカ			05229	山口勲	05005	九日俊光	459	-2
8	10	2018103132	ジューンブルーム			05329	倉富隆一	05450	川田孝好	471	-12
8	11	2017104434	トーセンザゲーム			05548	竹吉徹	a00f4	山田義人	498	4
