waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2019106449	キモンリッキー			00837	井上俊彦	05660	斉藤正弘	462	0
2	2	2019106594	アイアンサイズ			05091	五十嵐冬	05055	堂山芳則	456	0
3	3	2019103778	ブレイブジャンヌ			05502	松井伸也	05509	米川昇	502	4
4	4	2019102116	ガットゲンチタラ			05089	宮崎光行	05721	山口竜一	444	-2
5	5	2019103861	ベルフリップ			05492	阿部龍	05630	田中淳司	492	-4
5	6	2019101786	ウェズランディア			05477	黒澤愛斗	a03d6	森山雄大	478	-2
6	7	2019101061	モリミライ			05411	桑村真明	05301	村上正和	440	2
6	8	2019105841	スターオブケリー			05578	落合玄太	05630	田中淳司	504	6
7	9	2019103340	ベルムフェリクス			05286	服部茂史	05630	田中淳司	476	-4
7	10	2019107018	エミーブレイズ			05371	亀井洋司	a02e5	小国博行	428	2
8	11	2019103271	エイシンクレモナ			05534	石川倭	05509	米川昇	514	2
8	12	2019101989	グレンノハナ			05512	阪野学	05688	小野望	480	0
