waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2016100801	ギョシュウ			05477	黒澤愛斗	05660	斉藤正弘		
2	2	2018102865	エムケードリーム			05371	亀井洋司	a0264	千葉津代		
3	3	2019101849	フェノメーヌ			05592	小野楓馬	05688	小野望		
4	4	2017104231	スズオリーブ			05608	若杉朝飛	05749	櫻井拓章		
5	5	2019104017	ナズタイザン			05534	石川倭	05108	桧森邦夫		
6	6	2018101419	セイレリック			05091	五十嵐冬	05706	川島洋人		
6	7	2018100127	ペルセポリス			05578	落合玄太	05721	山口竜一		
7	8	2018100450	グッドイヤー			05492	阿部龍	05311	角川秀樹		
7	9	2018102680	グラスファミーユ			05411	桑村真明	a02e5	小国博行		
8	10	2018100750	スズロビンソン			00837	井上俊彦	05749	櫻井拓章		
8	11	2018102013	ヤマニンエピクーレ			05502	松井伸也	a02a1	安田武広		
