rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	8	11		ポケットシンデレラ	牝2	54.0		菱田裕二	1:50.6		1-1-1-1	35.0	83.6	11	428	0		青木孝文		田畑利彦	700.0
2	6	8		パトリックハンサム	牡2	55.0		内田博幸	1:50.6	1/2	2-3-3-3	34.7	6.1	3	466	0		菊沢隆徳		宮崎俊也	280.0
3	1	1		ケイアイセナ	牡2	55.0		横山武史	1:51.3	4.0	4-4-3-3	35.4	2.6	1	478	0		平田修		亀田和弘	180.0
4	3	3		レーヴディノエル	牝2	54.0		丸山元気	1:51.5	1.0	7-7-5-5	35.4	3.5	2	482	0		栗田徹		吉田勝己	110.0
5	6	7		ジャスコ	牝2	54.0		田辺裕信	1:51.7	1.1/4	12-12-11-11	34.9	21.4	6	452	0		尾形和幸		大和屋暁	70.0
6	7	9		オンリーワンエルフ	セ2	55.0		武藤雅	1:51.7	ハナ	2-2-2-2	36.0	109.0	12	454	0		青木孝文		ヒダカ・ブリーダーズ・ユニオン	
7	8	12		アルカンサス	牡2	55.0		吉田豊	1:51.7	クビ	5-5-5-5	35.5	18.5	5	476	0		土田稔		一村哲也	
8	5	6		グートアウス	牡2	55.0		戸崎圭太	1:51.8	クビ	10-9-8-8	35.3	6.2	4	476	0		奥村武		金子真人ホールディングス	
9	7	10		ストームシャドウ	牡2	55.0		津村明秀	1:51.9	1/2	10-11-11-11	35.2	26.9	7	466	0		林徹		飯塚知一	
10	5	5		リニュー	牡2	52.0		永野猛蔵	1:52.0	1.0	9-9-8-8	35.5	66.7	10	430	0		清水英克		コスモヴューファーム	
11	2	2		シルミオーネ	牝2	54.0		大野拓弥	1:52.1	クビ	6-6-5-5	36.0	58.2	8	466	0		萩原清		柏瀬金之介	
12	4	4		ワンダフルサマー	牡2	55.0		菅原明良	1:52.4	1.3/4	8-8-8-8	35.9	61.6	9	482	0		小島茂之		ゴドルフィン	
