日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey	field	distance	weight	gain	bounty
2021/12/28	曇	10	10	7	7	20.2	7	8	56.0	良	2:02.0	1.8	4-4-3-6	37.4-35.7	37.0	阪神	202109060910	フォーチュンC(2勝クラス)	202109060910	01180	芝	2000	456	4	0.0
2021/12/05	曇	10	13	3	3	70.1	8	13	56.0	良	1:36.6	1.5	3-3-3	36.8-34.0	35.1	中京	202107060210	中京日経賞(2勝クラス)	202107060210	00666	芝	1600	452	4	0.0
2021/10/31	曇	8	11	5	5	7.9	4	6	55.0	良	1:47.3	0.7	4-4	36.6-33.7	33.6	阪神	202109040808	3歳以上2勝クラス	202109040808	01174	芝	1800	448	-6	0.0
2021/10/09	晴	11	8	7	7	2.7	2	4	55.0	良	1:48.3	0.8	5-5	36.9-33.3	33.7	新潟	202104050111	村上特別(2勝クラス)	202104050111	01157	芝	1800	454	4	230.0
2021/07/18	晴	9	14	7	12	3.6	2	5	54.0	良	1:59.5	0.6	4-6-4-6	35.2-34.8	34.8	小倉	202110030609	高千穂特別(2勝クラス)	202110030609	01014	芝	2000	450	-2	150.0
2021/06/27	小雨	8	9	8	9	3.0	2	1	54.0	良	1:45.9	-0.3	4-4	36.0-34.9	34.8	阪神	202109030408	城崎特別(1勝クラス)	202109030408	05339	芝	1800	452	4	1081.7
2021/04/24	晴	9	7	2	2	14.1	6	2	56.0	良	1:46.0	0.0	5-3	35.8-33.5	33.3	阪神	202109020909	あやめ賞(1勝クラス)	202109020909	01102	芝	1800	448	-4	404.6
2021/04/10	晴	10	7	7	7	6.0	4	4	56.0	良	2:00.2	0.7	3-3	36.1-34.4	34.7	新潟	202104010110	ひめさゆり賞(1勝クラス)	202104010110	01157	芝	2000	452	4	150.0
2021/02/28	曇	2	17	6	11	2.0	1	1	56.0	稍	2:02.5	-0.2	3-3-2-2	36.7-36.5	36.4	小倉	202110020602	3歳未勝利	202110020602	01171	芝	2000	448	-2	510.0
2021/02/07	晴	7	14	6	10	2.1	1	2	56.0	良	2:02.6	0.2	5-5-4-5	35.4-37.4	37.4	小倉	202110010807	3歳未勝利	202110010807	01095	芝	2000	450	2	200.0
2020/12/19	曇	4	18	8	17	4.0	2	3	55.0	良	1:48.8	0.6	8-7	35.2-34.5	34.7	阪神	202009060504	2歳未勝利	202009060504	01088	芝	1800	448	4	130.0
2020/12/06	晴	7	11	7	8	3.9	2	2	55.0	良	2:01.4	0.3	4-4-5-2	35.5-36.1	36.2	阪神	202009060207	2歳未勝利	202009060207	01095	芝	2000	444	-8	200.0
2020/11/01	晴	3	11	7	8	2.7	1	2	55.0	良	2:03.2	0.4	4-4-4-7	36.5-35.9	35.8	京都	202008040803	2歳未勝利	202008040803	01095	芝	2000	452	-2	200.0
2020/10/10	雨	2	14	6	10	7.4	2	3	55.0	不	1:52.6	0.1	5-3-3	36.8-36.3	36.2	東京	202005040102	2歳未勝利	202005040102	05386	芝	1800	454	-6	130.0
2020/09/13	曇	5	12	2	2	4.1	2	2	54.0	良	2:04.1	0.5	5-4-4-2	37.2-35.9	36.2	中京	202007020205	2歳新馬	202007020205	00666	芝	2000	460	0	280.0
