日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey_id	jockey_name	field	distance	weight	gain	bounty
2022/03/16	晴	11	11	8	10	7.2	4	8	54.0	良	1:29.2	1.1	3-5-3-3	37.0-38.4	39.2	浦和	202242031611	’22ティアラC	202242031611	05524	笹川翼	ダ	1400	480	-8	0.0
2022/02/23	晴	12	12	8	12	2.8	1	10	55.0	良	1:37.6	2.6	6-6-7-10	30.7-38.9	40.2	浦和	202242022312	アルプス特別	202242022312	05443	本田正重	ダ	1500	488	3	0.0
2021/10/06	曇	12	14	3	4	3.0	1	2	55.0	稍	1:25.6	0.2	5-5-4	36.3-37.4	37.4	大井	202144100612	ネットで競馬、ネット	202144100612	05524	笹川翼	ダ	1400	485	1	200.0
2021/09/07	曇	12	11	3	3	3.5	2	2	55.0	重	1:27.5	0.0	5-5-3	35.6-39.6	39.2	大井	202144090712	2001ダイアモンド	202144090712	05559	藤田凌	ダ	1400	484	3	200.0
2021/08/06	晴	10	8	4	4	8.0	4	1	54.0	良	1:26.1	-0.5	3-4-4	35.7-38.6	37.9	大井	202144080610	雲の峰賞競走	202144080610	05559	藤田凌	ダ	1400	481	-3	320.0
2021/07/13	曇	11	16	4	7	16.0	7	9	53.0	重	1:12.9	1.2	2-2	34.7-37.0	38.2	大井	202144071311	ルビー賞競走	202144071311	05559	藤田凌	ダ	1200	484	-1	0.0
2021/07/01	雨	9	10	5	5	5.4	4	6	53.0	不	1:27.8	1.6	7-7-5	35.7-38.2	39.2	大井	202144070109	サジタリウス賞	202144070109	05559	藤田凌	ダ	1400	485	0	0.0
2021/03/25	雨	12	10	6	6	2.1	1	1	54.0	稍	1:12.8	-0.2	3-3	36.2-36.6	36.4	大井	202144032512	わかば賞競走	202144032512	05559	藤田凌	ダ	1200	485	-1	340.0
2021/03/09	曇	12	16	1	1	3.8	2	1	54.0	重	1:27.5	-0.1	9-8-6	36.8-38.6	37.7	大井	202144030912	円通寺坂賞競走	202144030912	05559	藤田凌	ダ	1400	486	-2	340.0
2021/02/19	晴	11	16	1	2	6.6	4	7	54.0	良	1:13.6	1.4	1-1	35.3-36.9	38.3	大井	202144021911	如月賞競走	202144021911	05559	藤田凌	ダ	1200	488	2	0.0
2020/12/30	晴	11	15	4	6	4.2	2	1	54.0	良	1:13.4	0.0	1-1	35.4-38.0	38.0	大井	202044123011	乃木坂賞競走	202044123011	05559	藤田凌	ダ	1200	486	8	300.0
2020/08/21	晴	10	9	1	1	7.7	3	2	53.0	良	1:12.9	0.3	5-4	35.2-37.4	37.6	大井	202044082110	飛鳥山賞	202044082110	05559	藤田凌	ダ	1200	478	1	48.0
2020/08/01	曇	12	13	5	7	4.3	3	2	53.0	稍	1:13.1	0.1	5-4	35.4-37.6	37.4	大井	202044080112	スターマイン賞	202044080112	05559	藤田凌	ダ	1200	477	-2	48.0
2020/06/26	曇	6	12	6	7	2.3	1	1	54.0	不	1:14.4	-0.2	9-5	36.3-38.1	37.2	大井	202044062606	3歳　500万	202044062606	05559	藤田凌	ダ	1200	479	-4	160.0
2020/02/28	晴	12	15	7	14	4.1	2	4	54.0	良	1:14.2	0.2	4-4	35.3-38.7	38.3	大井	202044022812	ムスカリ特別競走	202044022812	05342	森泰斗	ダ	1200	483	-1	45.0
2020/02/07	曇	1	12	5	5	2.7	1	7	52.0	良	1:15.7	1.1	10-10	35.9-38.7	38.2	大井	202044020701	3歳　280万	202044020701	05586	Ｍ．ミシ	ダ	1200	484	10	0.0
2019/10/15	曇	6	9	7	7	3.0	2	5	54.0	重	1:29.6	1.0	4-3-3	36.7-39.5	40.1	大井	201944101506	はくたか特別競走	201944101506	05524	笹川翼	ダ	1400	474	0	30.0
2019/09/19	晴	2	10	7	7	2.7	1	2	54.0	不	1:14.3	0.8	2-2	36.6-36.9	37.5	大井	201944091902	2歳　150万	201944091902	05420	真島大輔	ダ	1200	474	12	84.0
2019/06/28	曇	2	8	8	8	1.7	1	1	54.0	稍	1:00.8	-0.1	2-1	35.2-37.5	37.5	大井	201944062802	2歳　新馬(新馬)	201944062802	05420	真島大輔	ダ	1000	462	0	290.0
