	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
198703010206	芝	右	2000	曇	不良	12:50	4歳400万下		1987-6-21	1	福島	2	4歳400万下	(馬齢)	9	1220	6	9	230	6	6	110	1	10.0	130.0	2.0	6-8	340	1																							12.5 - 11.5 - 11.0 - 12.7 - 12.6 - 13.2 - 13.2 - 13.1 - 13.0 - 13.3	12.5 - 24.0 - 35.0 - 47.7 - 60.3 - 73.5 - 86.7 - 99.8 - 112.8 - 126.1 (12.5-12.5)
198703010207	芝	右	1800	小雨	不良	13:25	4歳以上400万下		1987-6-21	1	福島	2	4歳以上400万下	牝(馬齢)	2	370	3	2	120	3	9	120	2	3.0	110.0	1.0	2-8	640	3																							12.8 - 10.5 - 12.9 - 12.7 - 12.6 - 12.6 - 13.2 - 12.9 - 12.6	12.8 - 23.3 - 36.2 - 48.9 - 61.5 - 74.1 - 87.3 - 100.2 - 112.8 (12.8-12.8)
198703010208	芝	右	1800	曇	不良	14:00	4歳以上400万下		1987-6-21	1	福島	2	4歳以上400万下	牝(馬齢)	7	420	2	7	130	2	4	140	3	1.0	130.0	1.0	4-7	1020	5																							12.6 - 11.0 - 13.3 - 12.9 - 12.6 - 12.4 - 12.7 - 12.5 - 12.7	12.6 - 23.6 - 36.9 - 49.8 - 62.4 - 74.8 - 87.5 - 100.0 - 112.7 (12.6-12.6)
198703010209	芝	右	1000	小雨	不良	14:35	あやめ賞 		1987-6-21	1	福島	2	4歳400万下	(混)(馬齢)	14	210	1	14	140	1	9	380	5	1.0	360.0	4.0	6-8	550	2																							12.0 - 11.0 - 11.6 - 12.0 - 12.2	12.0 - 23.0 - 34.6 - 46.6 - 58.8 (12.0-12.0)
198703010210	芝	右	1700	小雨	不良	15:10	鶴ケ城特別 		1987-6-21	1	福島	2	4歳以上900万下	(馬齢)	8	420	3	8	150	2	3	200	4	1.0	340.0	6.0	3-8	950	5																							7.0 - 10.8 - 12.6 - 12.3 - 12.6 - 12.2 - 12.6 - 12.7 - 12.8	7.0 - 17.8 - 30.4 - 42.7 - 55.3 - 67.5 - 80.1 - 92.8 - 105.6 (7.0-7.0)
198703010211	芝	右	2000	小雨	不良	15:45	福島テレビ杯 		1987-6-21	1	福島	2	4歳以上1400万下	(混)(馬齢)	5	710	6	5	180	5	1	130	1	2.0	170.0	4.0	1-5	1580	10																							12.5 - 11.8 - 11.1 - 13.3 - 12.9 - 12.6 - 12.0 - 12.6 - 13.1 - 13.4	12.5 - 24.3 - 35.4 - 48.7 - 61.6 - 74.2 - 86.2 - 98.8 - 111.9 - 125.3 (12.5-12.5)
198703010301	芝	右	1000	小雨	稍重	10:20	3歳未勝利		1987-6-27	1	福島	3	3歳未勝利	[抽](馬齢)	6	230	1	6	160	2	7	630	8	5.0	250.0	5.0	6-7	4030	16																							12.8 - 11.1 - 11.7 - 12.7 - 12.6	12.8 - 23.9 - 35.6 - 48.3 - 60.9 (12.8-12.8)
198703010302	芝	右	1800	小雨	稍重	10:50	4歳未勝利		1987-6-27	1	福島	3	4歳未勝利	牝(馬齢)	1	300	2	1	150	2	4	440	8	2.0	360.0	5.0	1-4	3220	13																							12.7 - 10.7 - 12.8 - 12.3 - 12.3 - 11.9 - 12.4 - 12.2 - 12.8	12.7 - 23.4 - 36.2 - 48.5 - 60.8 - 72.7 - 85.1 - 97.3 - 110.1 (12.7-12.7)
198703010303	ダ	右	1700	曇	重	11:20	4歳未勝利		1987-6-27	1	福島	3	4歳未勝利	(混)(馬齢)	4	120	1	4	100	1	7	200	5	2.0	150.0	3.0	4-6	670	4																							6.6 - 11.8 - 11.8 - 12.9 - 13.0 - 12.4 - 12.9 - 13.2 - 13.7	6.6 - 18.4 - 30.2 - 43.1 - 56.1 - 68.5 - 81.4 - 94.6 - 108.3 (6.6-6.6)
198703010304	障		2800	曇	稍重	11:50	障害4歳以上未勝利		1987-6-27	1	福島	3	障害4歳以上未勝利	(馬齢)	7	350	3	7	140	3	5	230	5	3.0	120.0	1.0	5-7	2840	14																								
198703010305	芝	右	1000	曇	稍重	12:50	4歳未勝利		1987-6-27	1	福島	3	4歳未勝利	(馬齢)	7	460	3	7	170	2	5	280	6	2.0	170.0	3.0	4-5	1800	11																							12.6 - 10.5 - 11.3 - 12.2 - 12.6	12.6 - 23.1 - 34.4 - 46.6 - 59.2 (12.6-12.6)
198703010306	芝	右	1800	曇	稍重	13:25	4歳以上400万下		1987-6-27	1	福島	3	4歳以上400万下	(馬齢)	1	270	2	1	130	1	6	240	3	3.0	330.0	6.0	1-6	1030	3																							12.6 - 11.0 - 12.3 - 12.4 - 12.2 - 12.4 - 12.2 - 12.4 - 12.4	12.6 - 23.6 - 35.9 - 48.3 - 60.5 - 72.9 - 85.1 - 97.5 - 109.9 (12.6-12.6)
198703010307	芝	右	1000	曇	稍重	14:00	白百合賞 		1987-6-27	1	福島	3	4歳900万下	牝(馬齢)	3	200	1	3	120	1	1	130	2				1-3	280	1																							12.3 - 10.7 - 11.3 - 11.2 - 12.0	12.3 - 23.0 - 34.3 - 45.5 - 57.5 (12.3-12.3)
198703010401	芝	右	1000	曇	良	10:00	3歳未勝利		1987-6-28	1	福島	4	3歳未勝利	[抽](馬齢)	1	360	2	1	140	1	8	180	3	4.0	830.0	8.0	1-8	1030	4																							13.2 - 11.4 - 11.7 - 12.0 - 12.7	13.2 - 24.6 - 36.3 - 48.3 - 61.0 (13.2-13.2)
