	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
198704010101	芝	右	1600	晴	良	10:20	4歳以上300万下		1987-4-18	1	新潟	1	4歳以上300万下	[抽](馬齢)	7	590	3	7	210	2	8	1,080	11	6.0	230.0	3.0	5-6	440	1																							13.0 - 11.8 - 12.2 - 12.2 - 12.4 - 12.2 - 12.1 - 11.9	13.0 - 24.8 - 37.0 - 49.2 - 61.6 - 73.8 - 85.9 - 97.8 (13.0-13.0)
198704010102	芝	右	1600	晴	良	10:45	4歳未出走		1987-4-18	1	新潟	1	4歳未出走	(馬齢)	12	550	3	12	180	3	5	370	5	9.0	550.0	7.0	4-8	820	4																							12.6 - 10.8 - 11.2 - 12.2 - 12.4 - 12.3 - 12.6 - 12.8	12.6 - 23.4 - 34.6 - 46.8 - 59.2 - 71.5 - 84.1 - 96.9 (12.6-12.6)
198704010103	芝	右	1200	晴	良	11:10	4歳未出走		1987-4-18	1	新潟	1	4歳未出走	(馬齢)	1	4500	10	1	740	11	9	200	3	7.0	220.0	4.0	1-6	6080	18																							12.5 - 10.9 - 11.8 - 11.5 - 11.9 - 12.7	12.5 - 23.4 - 35.2 - 46.7 - 58.6 - 71.3 (12.5-12.5)
198704010104	ダ	右	1200	晴	良	11:35	4歳未勝利		1987-4-18	1	新潟	1	4歳未勝利	(馬齢)	3	1280	5	3	210	5	5	150	2	4.0	110.0	1.0	3-5	3100	11																							12.5 - 11.9 - 12.2 - 12.8 - 13.0 - 12.8	12.5 - 24.4 - 36.6 - 49.4 - 62.4 - 75.2 (12.5-12.5)
198704010201	芝	右	2000	晴	良	10:20	4歳未出走		1987-4-19	1	新潟	2	4歳未出走	(馬齢)	3	3070	6	3	1,290	6	4	1,620	7				3-4	21020	21																							12.9 - 12.0 - 13.5 - 13.2 - 12.8 - 12.5 - 12.5 - 12.3 - 12.4 - 12.5	12.9 - 24.9 - 38.4 - 51.6 - 64.4 - 76.9 - 89.4 - 101.7 - 114.1 - 126.6 (12.9-12.9)
198704010202	ダ	右	1200	晴	良	10:45	4歳以上700万下		1987-4-19	1	新潟	2	4歳以上700万下	[抽](馬齢)	10	820	4	10	160	3	1	250	5	11.0	140.0	1.0	1-8	1110	5																							12.9 - 11.6 - 12.0 - 12.8 - 12.7 - 13.4	12.9 - 24.5 - 36.5 - 49.3 - 62.0 - 75.4 (12.9-12.9)
198704010203	芝	右	1400	晴	良	11:10	4歳未出走		1987-4-19	1	新潟	2	4歳未出走	(馬齢)	5	3090	9	5	580	9	11	240	4	4.0	190.0	2.0	4-7	900	3																							12.6 - 11.0 - 11.3 - 12.0 - 12.1 - 12.3 - 12.7	12.6 - 23.6 - 34.9 - 46.9 - 59.0 - 71.3 - 84.0 (12.6-12.6)
198704010204	芝	右	1600	晴	良	11:35	4歳未勝利		1987-4-19	1	新潟	2	4歳未勝利	(馬齢)	8	2950	10	8	470	10	10	200	3	4.0	160.0	1.0	6-7	2190	9																							12.5 - 11.3 - 11.7 - 11.8 - 12.2 - 12.4 - 12.0 - 12.7	12.5 - 23.8 - 35.5 - 47.3 - 59.5 - 71.9 - 83.9 - 96.6 (12.5-12.5)
198704010205	芝	右	1200	晴	良	12:00	4歳未勝利		1987-4-19	1	新潟	2	4歳未勝利	(馬齢)	5	310	1	5	130	2	11	150	3	6.0	260.0	5.0	4-7	560	3																							12.5 - 11.1 - 11.4 - 11.4 - 11.8 - 12.7	12.5 - 23.6 - 35.0 - 46.4 - 58.2 - 70.9 (12.5-12.5)
198704010206	ダ	右	1200	晴	良	13:00	4歳以上400万下		1987-4-19	1	新潟	2	4歳以上400万下	(馬齢)	10	280	1	10	160	1	3	560	9	2.0	220.0	4.0	3-7	4480	16																							12.6 - 11.4 - 12.0 - 12.7 - 13.0 - 12.8	12.6 - 24.0 - 36.0 - 48.7 - 61.7 - 74.5 (12.6-12.6)
