waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2017104261	スキニチーノ			05230	今野忠成	05015	海馬澤司	472	4
2	2	2016103189	シェナロイヤル			a02c3	寺島憂人	a018c	吉田正美	498	-1
3	3	2014100181	コウエイダイチ			a017e	高橋哲也	a018c	吉田正美	451	7
4	4	2014101113	ケイサンホイミ			05199	左海誠二	05681	新井清重	464	1
5	5	2015101819	ワールドクィン			05595	福原杏	05656	柘榴浩樹	436	-2
6	6	2015103618	ワンダーペスタ			a03fe	中島良美	05231	鈴木勝文	449	1
6	7	2016100113	ナンセイエメラルド			05248	加藤和博	05101	山越光	449	2
7	8	2016104179	ピノゼン			05553	保園翔也	00873	野口孝	484	4
7	9	2013109001	スパークストリーム			05397	吉留孝司	05751	野口寛仁	489	1
8	10	2016103130	オルヴィエート			a041d	篠谷葵	00873	野口孝	446	-1
8	11	2013104737	イエスペガサス			a02c4	見越彬央	a01fe	酒井一則	465	-3
