rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	2	2		モデュロール	牡3	56.0		竹吉徹	1:26.0		3-4-4-2	38.9	2.1	1	461	6		山田義人		坂本直子	30.0
2	3	3		ツイスタンシャウツ	牡3	56.0		山下裕貴	1:26.2	3/4	1-1-1-1	39.4	2.6	2	497	3		九日俊光		小橋亮太	9.0
3	4	4		マニフィック	牝3	54.0		石川慎将	1:27.8	8.0	6-6-5-3	40.3	33.3	6	405	3		山田徹		石田淳悦	4.8
4	6	6		エスペランサルル	牝9	54.0		山口勲	1:28.3	2.1/2	9-9-7-7	40.4	4.1	3	432	-5		手島勝利		吉田勝利	2.4
5	1	1		オウンゴール	セ3	56.0		出水拓人	1:28.7	2.0	8-8-10-9	40.5	150.5	11	449	8		中川竜馬		酒井孝敏	1.8
6	5	5		ハナハナホワイト	牝3	53.0		金山昇馬	1:28.8	クビ	5-5-6-6	41.2	30.7	5	511	-18		手島勝利		江頭數義	
7	8	11		ロックンハニー	牝3	54.0		小松丈二	1:28.8	アタマ	4-3-3-5	41.8	56.7	8	454	6		松島壽		三岡有香	
8	7	9		ザシャード	牝3	54.0		飛田愛斗	1:29.0	1.0	11-11-8-8	40.8	22.0	4	512	5		松島壽		村山光弘	
9	6	7		タカイチヒカリ	牡4	56.0		吉本隆記	1:29.1	3/4	10-10-9-10	40.8	133.3	10	478	3		東美義		小橋亮太	
10	8	10		ウインパーチェ	牡5	56.0		長田進仁	1:29.2	1/2	2-2-2-4	42.2	91.1	9	458	3		頼本盛行		（同）ＪＰＮ技研	
11	7	8		シゲルブチョウ	牝3	54.0		田中純	1:30.4	6.0	7-7-11-11	42.2	52.0	7	464	5		九日俊光		森中蕃	
