rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	6	7		ドラゴンイモン	牡6	56.0		吉原寛人	1:43.9		3-3-1-1	41.0	12.4	3	497	1		佐宗応和		井門敏雄	120.0
2	2	2		アランブレラ	牡4	56.0		御神本訓	1:44.0	1/2	5-5-7-4	40.6	1.2	1	536	-2		藤田輝信		キャロットファーム	48.0
3	7	10		カズノスイセイ	牝5	54.0		達城龍次	1:44.2	1.1/4	6-6-5-4	40.9	20.6	4	480	-2		納谷和玖		鈴木可一	30.0
4	8	11		ラフメイカー	牝5	54.0		瀧川寿希	1:44.2	クビ	11-11-11-11	40.0	24.5	5	464	-2		栗田裕光		山際景路	18.0
5	5	6		サンダーラム	牡4	56.0		本田正重	1:44.5	1.1/2	10-10-10-8	40.7	123.6	9	523	-2		佐野謙二		仲尾正人	12.0
6	4	4		レアルイモン	牡7	56.0		村上忍	1:45.0	2.1/2	8-7-9-7	41.4	71.8	8	503	1		佐宗応和		井門敏雄	
7	7	9		ワタリエミネント	牝4	54.0		高松亮	1:45.0	クビ	9-8-2-2	41.8	145.8	11	456	3		佐々木洋		佐竹徹	
8	8	12		クインズコースト	セ5	56.0		的場文男	1:45.0	ハナ	4-4-3-3	41.8	24.6	6	463	4		秋吉和美		豊島愛子	
9	5	5		マッハワン	牡7	53.0		仲原大生	1:45.9	4.0	2-2-6-9	42.6	25.5	7	476	-5		阪本泰之		小坂直和	
10	6	8		カンタオール	セ6	56.0		今野忠成	1:46.3	2.0	7-9-8-9	42.7	133.8	10	491	6		久保田信		豊島愛子	
11	3	3		ブリーズドゥース	牝4	54.0		真島大輔	1:46.9	3.0	1-1-4-4	43.7	7.5	2	538	3		荒山勝徳		（有）社台レースホ	
除	1	1		ミレナ	牝4	54.0		松崎正泰					---		計不			寺田新太		小野瀬悦子	
