	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
2016H1121104	芝	右	2400	晴	良		香港ヴァーズ	G1	2016-12-11	0	シャティン	0			4	1140	4	4	200	4	1	110	1	7	170	3	01-04	940	4	01-04	360	3	04-07	1,110	14	01-07	220	2	04=>01	3190	11	01-04-07	1760	6	04=>01=>07	17250	53						
2016H1121108	芝	右	2000	晴	良		香港カップ	G1	2016-12-11	0	シャティン	0			2	160	1	2	110	1	8	200	4	5	160	2	02-08	990	4	02-08	310	3	02-05	220	2	05-08	1,060	14	02=>06	1370	5	02-05-08	1970	7	02=>08=>05	5940	16						
2016H1121105	芝	右	1200	晴	良		香港スプリント	G1	2016-12-11	0	シャティン	0			1	970	4	1	250	4	2	130	1	3	480	7	01-02	950	4	01-02	390	4	01-03	1,960	18	02-03	870	11	01=>02	2850	12	01-02-03	3240	13	01=>02=>03	21770	85						
2016H1121107	芝	右	1600	晴	良		香港マイル	G1	2016-12-11	0	シャティン	0			05	530	4	05	200	2	06	480	7	14	850	9	05-06	4910	18	05-06	1,710	18	05-14	2,250	22	06-14	8,390	51	05=>06	9890	33	05-06-14	26430	77	05=>06=>14	138840	375						
