waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	trainer_id	trainer_name	weight	gain
1	1	2013105977	ユアマイラブ			05074	赤岡修次	05580	田中守	465	0
2	2	2011104070	デジタルフラッシュ			a042b	井上瑛太	a0044	別府真司	465	-4
3	3	2017104329	ファストボウラー			05536	永森大智	a02b0	打越勇児	457	-6
4	4	2012105113	ティーエスバラ			a03e3	濱尚美	05726	那俄性哲	526	-5
5	5	2017102709	ラブミーアーサー			05496	郷間勇太	05580	田中守	455	8
6	6	2014102434	デルマキミノナハ			a02da	妹尾浩一	a02b0	打越勇児	455	-8
6	7	2013103531	ボーントゥレイン			a00ab	嬉勝則	a01de	川野勇馬	536	1
7	8	2017104160	バーミーズ			a0185	宮川実	a02b0	打越勇児	473	5
7	9	2014101148	サンライズフォルテ			a02f8	林謙佑	a00ed	田中譲二	526	32
8	10	2017106686	ミナトノヨーコ			05600	塚本雄大	a01c8	国澤輝幸	433	3
8	11	2011105967	マッチレスヒーロー			a0041	西川敏弘	a02e3	工藤真司	502	5
