	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200302010111	芝	右	1200	晴	良	15:30	TVh杯 		2003-6-21	1	函館	1	3歳以上1000万下	(混)(特指)(定量)	12	1020	5	12	240	5	4	160	2	3.0	110	1.0	4-8	4960	17	4-12	4150.0	15.0	4-12	1,230	18.0	3-12	610	7.0	3-4	260	1.0	12=>4	10640	36	3-4-12	2480	8			5,10(1,8)-4,3(7,11)-2(6,9)12	(5,*10,8)(1,4,3)7,11,2,9,12,6	12.1 - 10.4 - 11.1 - 11.9 - 11.8 - 12.2	12.1 - 22.5 - 33.6 - 45.5 - 57.3 - 69.5 (33.6-35.9)
200302010112	芝	右	1800	晴	良	16:10	奥尻特別 		2003-6-21	1	函館	1	3歳以上500万下	(混)[指](定量)	14	2030	7	14	680	7	6	700	8	12.0	320	3.0	3-7	6460	13	6-14	25330.0	45.0	6-14	5,640	46.0	12-14	2,320	17.0	6-12	3,630	32.0	14=>6	46700	77	6-12-14	52010	126	14-12,9,1,4(3,8,7,16)11,6(10,13)2,5,15	14=(12,9,7)(1,4,11)(8,16)(3,2)13(6,10)(15,5)	(*2,14)9(12,7,11)(1,4,16,13)6(8,10)3(15,5)	14,2,9(12,7)(1,4,11)(6,13)(16,10)(3,8,5)15	12.3 - 11.5 - 12.5 - 13.2 - 12.0 - 12.2 - 12.0 - 11.5 - 12.4	12.3 - 23.8 - 36.3 - 49.5 - 61.5 - 73.7 - 85.7 - 97.2 - 109.6 (36.3-35.9)
200302010201	ダ	右	1000	晴	良	09:55	3歳未勝利		2003-6-22	1	函館	2	3歳未勝利	(混)[指](馬齢)	7	240	1	7	120	1	10	190	4	12.0	160	2.0	6-7	770	3	7-10	1500.0	4.0	7-10	600	6.0	7-12	320	2.0	10-12	770	10.0	7=>10	2370	6	7-10-12	2120	5			(*5,7,10)(4,12)(8,11)2,1,9,3,6	(5,*7,10)-(4,12)11,8-1(2,9)3-6	12.5 - 10.8 - 11.6 - 12.1 - 12.7	12.5 - 23.3 - 34.9 - 47.0 - 59.7 (34.9-36.4)
200302010202	ダ	右	1700	晴	良	10:20	3歳未勝利		2003-6-22	1	函館	2	3歳未勝利	[指](馬齢)	6	470	3	6	190	3	11	480	6	8.0	210	4.0	5-7	4200	16	6-11	5230.0	17.0	6-11	1,500	18.0	6-8	610	7.0	8-11	1,910	21.0	6=>11	8470	28	6-8-11	10430	33	(*2,6)13,5,8-(3,7,12)(1,10,9)4-11	(*2,6)13,5,8-7,3(1,4,9)12,10,11	(*2,6)(13,5,8)(3,1)9(4,7,11)-12,10	(2,*6,11)8,5(1,13,9)4-(3,7)(12,10)	7.0 - 11.3 - 11.9 - 12.8 - 13.3 - 12.7 - 13.3 - 13.0 - 13.5	7.0 - 18.3 - 30.2 - 43.0 - 56.3 - 69.0 - 82.3 - 95.3 - 108.8 (30.2-39.8)
200302010203	芝	右	1200	晴	良	10:45	3歳未勝利		2003-6-22	1	函館	2	3歳未勝利	(混)[指](馬齢)	10	1030	5	10	220	5	5	110	1	6.0	210	4.0	3-5	700	3	5-10	960.0	4.0	5-10	370	4.0	6-10	970	13.0	5-6	280	2.0	10=>5	2720	9	5-6-10	1850	6			(5,*15)16(4,10)(3,12,7)13-6(9,11)(2,1)14 8	5,15-10(16,7)4(12,6)3(2,13)9,1,11-14 8	12.0 - 10.9 - 11.4 - 11.6 - 12.0 - 12.5	12.0 - 22.9 - 34.3 - 45.9 - 57.9 - 70.4 (34.3-36.1)
200302010204	芝	右	1800	晴	良	11:15	3歳未勝利		2003-6-22	1	函館	2	3歳未勝利	[指](馬齢)	5	260	1	5	140	1	13	190	2	2.0	570	9.0	3-7	610	1	5-13	930.0	1.0	5-13	310	1.0	2-5	1,870	23.0	2-13	2,190	25.0	5=>13	1560	1	2-5-13	8940	28	(*5,9)13(7,14)(11,12)(4,8)(1,6)15(2,16)(10,3)	5,9(7,13)(14,11,12)4(8,6)(1,15)(2,16)(10,3)	5,13(7,12,3)11,6(9,8)(4,14,15)16(2,1)10	5,13(7,11,12,3)6(8,15)-16(14,2)1,4,10,9	12.6 - 11.5 - 12.4 - 13.0 - 12.8 - 12.1 - 12.0 - 11.7 - 12.6	12.6 - 24.1 - 36.5 - 49.5 - 62.3 - 74.4 - 86.4 - 98.1 - 110.7 (36.5-36.3)
200302010205	芝	右	1200	晴	良	12:15	2歳新馬		2003-6-22	1	函館	2	2歳新馬	(混)[指](馬齢)	3	180	1	3	110	1	2	240	5	6.0	190	3.0	2-3	890	4													3=>2	1220	5	2-3-6	1700	6			4(6,7,8)-(3,5)(2,1)	4(6,7)3-(5,8)2-1	12.2 - 10.7 - 11.3 - 12.0 - 12.2 - 12.5	12.2 - 22.9 - 34.2 - 46.2 - 58.4 - 70.9 (34.2-36.7)
200302010206	ダ	右	1700	晴	良	12:45	3歳以上500万下		2003-6-22	1	函館	2	3歳以上500万下	(父)[指](定量)	4	1970	7	4	320	5	8	190	4	12.0	130	1.0	4-6	4840	20	4-8	6450.0	24.0	4-8	1,430	18.0	4-12	870	8.0	8-12	390	3.0	4=>8	17560	51	4-8-12	4770	15	(*3,7)(8,13)(2,1)11,12(4,10)-(5,6,9)	(*3,7)8(2,1,13)(12,11)4,10-(5,6)9	(3,*7,8)12(1,4)11-(10,13)6(2,5,9)	(*8,12)7,4-3,1-11,10(5,13,6)9-2	7.0 - 10.9 - 11.7 - 12.6 - 13.0 - 12.5 - 12.9 - 12.7 - 13.0	7.0 - 17.9 - 29.6 - 42.2 - 55.2 - 67.7 - 80.6 - 93.3 - 106.3 (29.6-38.6)
200302010207	ダ	右	1000	晴	良	13:15	3歳以上500万下		2003-6-22	1	函館	2	3歳以上500万下	[指](定量)	9	2090	7	9	450	7	5	160	2	11.0	280	4.0	5-7	920	5	5-9	3580.0	15.0	5-9	1,200	14.0	9-11	1,710	20.0	5-11	760	7.0	9=>5	10130	38	5-9-11	10380	38			(*3,9)(5,11)(6,12)4(1,2,7,10)8	(*3,9)(5,11)(6,12)4,7,2,1,10,8	12.3 - 10.7 - 11.5 - 11.9 - 12.5	12.3 - 23.0 - 34.5 - 46.4 - 58.9 (34.5-35.9)
200302010208	ダ	右	1700	晴	良	13:45	3歳以上500万下		2003-6-22	1	函館	2	3歳以上500万下	(混)[指](定量)	11	10780	13	11	1,320	11	2	130	2	8.0	120	1.0	2-7	4130	19	2-11	9670.0	32.0	2-11	2,580	32.0	8-11	2,490	30.0	2-8	170	1.0	11=>2	29600	76	2-8-11	6310	16	5(7,11)(2,13)8-6(4,12)(3,10)9-1	(*5,7)(2,11)13-8,6,12(4,3,10)9-1	(*5,11)(7,2,13,10)8,6(9,4,3)12=1	(5,*11,2)-13(6,8,10)12(7,9,4)3-1	7.0 - 11.0 - 11.8 - 12.4 - 13.2 - 12.7 - 12.7 - 12.5 - 13.3	7.0 - 18.0 - 29.8 - 42.2 - 55.4 - 68.1 - 80.8 - 93.3 - 106.6 (29.8-38.5)
