	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200308010111	芝	右	1600	晴	良	15:45	スポニチ賞京都金杯	G3	2003-1-5	1	京都	1	4歳以上オープン	(混)[指](ハンデ)	7	580	3	7	210	3	8	230	4	2.0	310	6.0	4-4	2700	9	7-8	2250.0	11.0	7-8	850	11.0	2-7	1,050	12.0	2-8	1,360	15.0	7=>8	4040	16	2-7-8	9010	23			6-4(5,12)(8,13,14,15)(1,9,10)(2,11)(3,16)7	(*4,15)(5,8)(12,13,14)(1,9,10)(2,11,16)3(6,7)	12.3 - 10.5 - 11.8 - 12.2 - 12.1 - 11.6 - 11.5 - 11.7	12.3 - 22.8 - 34.6 - 46.8 - 58.9 - 70.5 - 82.0 - 93.7 (34.6-34.8)
200308010112	ダ	右	1800	晴	不良	16:20	4歳以上1000万下		2003-1-5	1	京都	1	4歳以上1000万下	[指](別定)	3	490	2	3	210	2	10	350	4	4.0	1,290	12.0	2-5	2520	12	3-10	2460.0	9.0	3-10	950	8.0	3-4	3,940	41.0	4-10	4,930	52.0	3=>10	4580	13	3-4-10	38600	111	4(10,7)(1,13,15)(8,11,14)(3,5,9)12,16-6-2	4(10,7)-(1,13,15)(8,11)(3,14)5,9,12,16-6-2	4,10(1,11,7,15)(3,8,12)14,13(9,5,16,6)=2	(*4,10)-(1,11,15)(3,12)7(8,14)(9,5,6)16,2-13	12.1 - 11.5 - 12.2 - 12.5 - 12.4 - 12.9 - 12.6 - 12.5 - 13.2	12.1 - 23.6 - 35.8 - 48.3 - 60.7 - 73.6 - 86.2 - 98.7 - 111.9 (35.8-38.3)
200308010201	ダ	右	1800	晴	重	10:05	3歳未勝利		2003-1-6	1	京都	2	3歳未勝利	[指](馬齢)	14	210	1	14	110	1	15	220	4	1.0	110	2.0	7-8	500	2	14-15	1440.0	4.0	14-15	560	4.0	1-14	220	1.0	1-15	640	7.0	14=>15	2080	5	1-14-15	1510	2	16(1,14)15,10,11(2,3,6)-8,7(5,9,12)-4-13	16(1,14,15)-(10,11)(2,3,6)-8,7(9,12)5,4=13	(16,*14,15)(1,3,10,11)12(2,6)7(9,8)(5,4)=13	14(16,15,11)(1,3,12)-(2,10)-7(5,6,8)9,4=13	12.7 - 11.3 - 12.5 - 13.1 - 13.3 - 13.3 - 13.1 - 13.0 - 13.0	12.7 - 24.0 - 36.5 - 49.6 - 62.9 - 76.2 - 89.3 - 102.3 - 115.3 (36.5-39.1)
200308010202	ダ	右	1400	晴	重	10:30	3歳未勝利		2003-1-6	1	京都	2	3歳未勝利	(混)[指](馬齢)	7	3170	9	7	770	9	14	280	3	3.0	300	5.0	4-8	640	2	7-14	11330.0	37.0	7-14	3,310	36.0	3-7	4,080	44.0	3-14	1,450	17.0	7=>14	25490	68	3-7-14	38290	109			14(15,5)(12,7,9)10(4,6,8)3-11(2,1)-13	14(15,7,9)(12,6,8)5(3,11)(10,4)-1-2,13	12.6 - 11.3 - 12.3 - 12.4 - 12.6 - 12.8 - 13.0	12.6 - 23.9 - 36.2 - 48.6 - 61.2 - 74.0 - 87.0 (36.2-38.4)
200308010203	ダ	右	1400	晴	重	10:55	3歳新馬		2003-1-6	1	京都	2	3歳新馬	(混)[指](馬齢)	15	2260	3	15	380	5	8	110	1	14.0	510	9.0	4-8	660	2	8-15	1030.0	2.0	8-15	540	4.0	14-15	1,500	14.0	8-14	870	9.0	15=>8	5640	12	8-14-15	9150	30			(*7,10)(12,16,8)6(11,15)9-4,14,13(1,2)-(3,5)	8(7,10)(16,11,15)-6(12,14)-4(9,13)-1,2-3-5	12.7 - 11.0 - 11.7 - 12.1 - 12.3 - 13.1 - 12.7	12.7 - 23.7 - 35.4 - 47.5 - 59.8 - 72.9 - 85.6 (35.4-38.1)
200308010204	ダ	右	1800	晴	重	11:25	3歳新馬		2003-1-6	1	京都	2	3歳新馬	牝[指](馬齢)	2	340	2	2	130	2	5	270	4	1.0	110	1.0	2-3	1070	3	2-5	2700.0	8.0	2-5	790	7.0	1-2	180	1.0	1-5	480	5.0	2=>5	4480	13	1-2-5	1410	2	(*3,12)13-(2,11)5(1,9)4(7,6,15)-8(14,10)	3,12,13,2(5,11)1(4,9)(7,6)15,8,14,10	(*3,12)13(2,5)(1,11)(9,6)-7,4,8-10-14,15	(3,*12)13(2,5,11)(1,9,6)-7-8-(4,10)=14-15	12.3 - 11.7 - 13.3 - 13.4 - 13.3 - 13.2 - 13.1 - 13.6 - 13.1	12.3 - 24.0 - 37.3 - 50.7 - 64.0 - 77.2 - 90.3 - 103.9 - 117.0 (37.3-39.8)
200308010205	障		2930	晴	良  ダート	11:55	障害4歳以上未勝利		2003-1-6	1	京都	2	障害4歳以上未勝利	(定量)	10	1900	8	10	1,030	12	3	360	6	1.0	940	11.0	3-6	1920	8	3-10	10810.0	43.0	3-10	3,670	48.0	1-10	7,060	67.0	1-3	3,430	46.0	10=>3	32810	105	1-3-10	105280	229	2,3,1,5,4(8,7,10)11,9=14-12-6 13	(*2,3)-(1,4,5)10(8,7)11,9,14=12,6 13	(*2,3)-1-10=(4,5)(14,11)9=8-7=6 12,13	(2,*3)=1,10=14,5=(4,11)9=8=6,7 12,13		
200308010206	芝	右	1200	晴	良	12:55	3歳新馬		2003-1-6	1	京都	2	3歳新馬	(混)[指](馬齢)	7	290	2	7	140	2	2	140	1	1.0	180	4.0	1-4	390	1	2-7	510.0	1.0	2-7	210	1.0	1-7	510	5.0	1-2	550	6.0	7=>2	1110	2	1-2-7	1380	2			2,1-(14,9)(3,7)(4,5)16-(10,13,15)(11,12)-8,6	2,1,9,14,7(3,5)4-(16,13)10,15(11,12)(8,6)	12.5 - 11.2 - 11.4 - 11.7 - 12.0 - 12.0	12.5 - 23.7 - 35.1 - 46.8 - 58.8 - 70.8 (35.1-35.7)
200308010207	ダ	右	1200	晴	稍重	13:25	4歳以上500万下		2003-1-6	1	京都	2	4歳以上500万下	[指](別定)	11	1450	3	11	440	5	14	510	7	13.0	180	2.0	6-8	16270	25	11-14	22070.0	34.0	11-14	6,240	44.0	11-13	1,620	14.0	13-14	1,730	15.0	11=>14	68490	78	11-13-14	38850	89			11(10,13)4(5,12)(3,2,15)(1,9,14)6-7-8	(*11,13)10,4(3,2,5)(12,14)(1,9,15)6-7,8	12.4 - 11.0 - 11.9 - 12.1 - 12.7 - 13.2	12.4 - 23.4 - 35.3 - 47.4 - 60.1 - 73.3 (35.3-38.0)
200308010208	ダ	右	1800	晴	稍重	14:00	4歳以上500万下		2003-1-6	1	京都	2	4歳以上500万下	牝[指](別定)	2	870	5	2	280	5	13	230	3	1.0	220	2.0	1-7	1180	4	2-13	3630.0	15.0	2-13	1,410	14.0	1-2	710	2.0	1-13	820	5.0	2=>13	6760	26	1-2-13	5070	8	12(4,15)(1,8)(5,9)(7,16)(3,13,14)-6,2,10,11	12,4,15(5,1,8)-9,7(3,13,16)-14,6,2-10-11	(*12,4,15)(5,1,8,13,16,2)3(9,14)6,7,10 11	2-13(15,1)(12,16,6)5(3,4,8)(9,14)10,7 11	12.6 - 11.4 - 12.7 - 12.8 - 13.2 - 13.0 - 12.2 - 12.9 - 12.7	12.6 - 24.0 - 36.7 - 49.5 - 62.7 - 75.7 - 87.9 - 100.8 - 113.5 (36.7-37.8)
