	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200310010101	ダ	右	1700	曇	良	09:55	3歳未勝利		2003-1-18	1	小倉	1	3歳未勝利	(混)[指](馬齢)	11	390	2	11	160	2	5	780	7	2.0	240	4.0	5-8	5140	12	5-11	11760.0	30.0	5-11	2,820	29.0	2-11	530	6.0	2-5	1,580	18.0	11=>5	16400	43	2-5-11	12520	37	2(7,10)(5,11)6,9(1,4)3,8	2(7,10)(5,11)6-9(1,4)-3-8	2-(5,11)7-6,4-9,10(1,8)3	2,11,5-7,6-4,9-(1,8)-3-10	7.0 - 11.3 - 12.0 - 13.4 - 13.3 - 13.3 - 13.5 - 13.9 - 14.4	7.0 - 18.3 - 30.3 - 43.7 - 57.0 - 70.3 - 83.8 - 97.7 - 112.1 (30.3-41.8)
200310010102	芝	右	2000	晴	良	10:20	3歳未勝利		2003-1-18	1	小倉	1	3歳未勝利	牝[指](馬齢)	8	680	4	8	160	4	5	120	2	10.0	100	1.0	4-5	1820	6	5-8	1810.0	7.0	5-8	480	6.0	8-10	210	2.0	5-10	150	1.0	8=>5	4000	14	5-8-10	910	1	10(2,14)13(8,11)-6(5,9)4,1-7,3-12	10,2,14,8,13,11-5,6-9-4,1(3,7)-12	10,2(8,5,14)11,13-(9,6)(3,4,1)7=12	(*10,5)(8,2)-(11,14)13,4,6(3,1)7,9=12	12.1 - 10.5 - 11.4 - 12.2 - 12.5 - 12.4 - 12.6 - 12.4 - 12.1 - 12.6	12.1 - 22.6 - 34.0 - 46.2 - 58.7 - 71.1 - 83.7 - 96.1 - 108.2 - 120.8 (34.0-37.1)
200310010103	芝	右	1200	晴	良	10:45	3歳未勝利		2003-1-18	1	小倉	1	3歳未勝利	[指](馬齢)	5	1720	9	5	630	10	8	320	5	7.0	340	6.0	3-4	4170	16	5-8	7600.0	34.0	5-8	2,980	34.0	5-7	3,630	40.0	7-8	2,080	23.0	5=>8	17290	68	5-7-8	31810	108			(*1,14,17)2,9,4(5,8,18)(7,6,16)(15,13)-11-(3,12)-10	(*1,14,17)(2,9,8)5(4,7)6,13(15,18,16)11,12,3=10	12.1 - 10.7 - 11.3 - 11.6 - 12.1 - 12.2	12.1 - 22.8 - 34.1 - 45.7 - 57.8 - 70.0 (34.1-35.9)
200310010104	芝	右	2000	曇	良	11:15	3歳新馬		2003-1-18	1	小倉	1	3歳新馬	(混)[指](馬齢)	1	200	1	1	120	1	10	160	2	13.0	340	7.0	1-6	380	1	1-10	360.0	1.0	1-10	180	1.0	1-13	950	10.0	10-13	920	8.0	1=>10	610	1	1-10-13	2300	5	2,15(1,14)(5,10)3,9(6,8)13,12,7-11-4	(*2,15)(1,14)-(5,10)3,9(6,13)8,12-7-(11,4)	(*2,15,10)(1,14)(13,12)(5,3)9,8,6,4-7-11	(2,*15,10)1=13(5,12)-(3,14)(6,8)-9-4-7,11	12.4 - 11.4 - 12.6 - 13.5 - 13.2 - 12.7 - 12.0 - 11.2 - 11.7 - 11.9	12.4 - 23.8 - 36.4 - 49.9 - 63.1 - 75.8 - 87.8 - 99.0 - 110.7 - 122.6 (36.4-34.8)
200310010105	ダ	右	1000	曇	良	11:45	4歳以上500万下		2003-1-18	1	小倉	1	4歳以上500万下	牝[指](別定)	2	280	2	2	170	2	10	870	11	9.0	120	1.0	2-6	440	1	2-10	7850.0	22.0	2-10	2,100	24.0	2-9	220	1.0	9-10	1,970	22.0	2=>10	12180	37	2-9-10	6740	20			(*2,6)10(8,9,12)14,1,4,7(11,13)-(3,5)	2,6,10(8,9)-(1,14,12)-(11,4)7(3,5,13)	12.5 - 11.0 - 11.9 - 12.4 - 13.1	12.5 - 23.5 - 35.4 - 47.8 - 60.9 (35.4-37.4)
200310010106	ダ	右	1700	曇	良	12:45	4歳以上500万下		2003-1-18	1	小倉	1	4歳以上500万下	[指](別定)	1	160	1	1	110	1	8	220	4	7.0	250	6.0	1-5	520	2	1-8	1000.0	3.0	1-8	390	2.0	1-7	430	5.0	7-8	1,630	21.0	1=>8	1310	3	1-7-8	3180	9	15-8(7,13)(2,14)6(3,5)(1,9,12)-(10,11)-4	(*15,8)(7,13)(6,14)2(3,5,9,12)1-(10,11)-4	(*15,8)(7,13,14)(6,9,1)(2,12)10,3-5(4,11)	(*15,8)(7,1)13,2(3,6,14)(10,9,12)=4(5,11)	7.0 - 11.3 - 12.3 - 13.6 - 13.3 - 12.9 - 12.9 - 12.8 - 13.6	7.0 - 18.3 - 30.6 - 44.2 - 57.5 - 70.4 - 83.3 - 96.1 - 109.7 (30.6-39.3)
200310010107	芝	右	1200	晴	良	13:15	4歳以上500万下		2003-1-18	1	小倉	1	4歳以上500万下	(混)[指](別定)	10	1380	5	10	370	5	15	150	1	1.0	240	4.0	5-7	1740	7	10-15	2790.0	10.0	10-15	1,120	8.0	1-10	2,040	18.0	1-15	620	4.0	10=>15	8290	24	1-10-15	7980	19			4(13,17)(3,9,15)(2,11,10)16(6,12,18)(8,14)(1,5)-7	4(3,13,15)(2,9,17,11,10)(6,12)18,8(1,16,5)-(14,7)	12.1 - 10.7 - 11.3 - 11.5 - 12.0 - 12.1	12.1 - 22.8 - 34.1 - 45.6 - 57.6 - 69.7 (34.1-35.6)
200310010108	芝	右	2000	晴	良	13:45	4歳以上500万下		2003-1-18	1	小倉	1	4歳以上500万下	[指](別定)	3	260	1	3	130	1	12	270	5	4.0	230	4.0	2-6	860	3	3-12	1630.0	4.0	3-12	700	4.0	3-4	570	3.0	4-12	1,310	11.0	3=>12	2140	4	3-4-12	4490	9	(*18,7)(9,16)(6,11,17)(5,10)12(2,14)4,3,15(1,8)-13	(*18,7)(6,9,16)(5,10,11,17)(2,12,14)(4,3,15)1,8-13	(18,*16,3)(17,14)(7,11)(6,12,15)4(5,8)(1,9,10,2)-13	(18,*16,3)(17,14)(6,11,12)(4,15)(2,8)1,5(7,10)13-9	12.1 - 10.6 - 11.8 - 12.5 - 12.6 - 12.2 - 12.1 - 12.0 - 12.3 - 12.7	12.1 - 22.7 - 34.5 - 47.0 - 59.6 - 71.8 - 83.9 - 95.9 - 108.2 - 120.9 (34.5-37.0)
200310010109	芝	右	2600	晴	良	14:20	4歳以上500万下		2003-1-18	1	小倉	1	4歳以上500万下	(混)[指](別定)	7	300	2	7	140	2	14	370	6	11.0	110	1.0	4-7	2480	8	7-14	7060.0	19.0	7-14	1,840	20.0	7-11	200	1.0	11-14	1,910	22.0	7=>14	11240	34	7-11-14	6560	15	13-(5,16)(8,11)(7,9,10)(2,12)4-3(6,15)1-14	13,5(8,16,11)(7,9,10)(2,12)4(3,15)6(1,14)	13(7,5,16,11)8(9,12,10)(2,3,4,15)(1,6)14	16(13,11)7-(3,5,9,12)(8,10)(2,1,4,14)15,6	12.9 - 11.2 - 11.2 - 11.6 - 12.2 - 13.2 - 13.6 - 13.0 - 12.4 - 12.4 - 12.1 - 12.5 - 12.4	12.9 - 24.1 - 35.3 - 46.9 - 59.1 - 72.3 - 85.9 - 98.9 - 111.3 - 123.7 - 135.8 - 148.3 - 160.7 (35.3-37.0)
200310010110	芝	右	1800	晴	良	14:55	くすのき賞 		2003-1-18	1	小倉	1	3歳500万下	(混)(特指)(馬齢)	3	2190	7	3	240	6	6	100	1	4.0	120	2.0	3-6	1440	5	3-6	1220.0	5.0	3-6	340	5.0	3-4	810	12.0	4-6	130	1.0	3=>6	4470	13	3-4-6	1170	4	2,4(3,6)(1,8,7)9,5	2,4(3,6)7(1,8,9)-5	(*2,4)(3,6)(8,7)(1,9)-5	(2,*4)(3,6)(8,7)9,1-5	12.4 - 12.0 - 12.8 - 12.7 - 12.5 - 11.9 - 11.5 - 12.0 - 11.8	12.4 - 24.4 - 37.2 - 49.9 - 62.4 - 74.3 - 85.8 - 97.8 - 109.6 (37.2-35.3)
