	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200305010111	芝	左	2400	晴	良	15:40	東京リニューアル記念 		2003-4-26	1	東京	1	4歳以上オープン	(混)[指](ハンデ)	10	1130	7	10	280	7	8	140	1	7.0	180	3.0	6-7	1170	5	8-10	1940.0	10.0	8-10	620	8.0	7-10	930	14.0	7-8	380	2.0	10=>8	4990	28	7-8-10	2800	8	11-6,2,10-(7,12)8(5,13)-(3,4)9,1	11=6,2-10-(7,12)-8,13,5,4,3,9,1	11-(6,2)-10(7,12)-8(5,13)(3,4)-9,1	(11,6,*2)-10(7,12)8,5,13,4,3(9,1)	12.5 - 10.7 - 11.9 - 12.4 - 12.1 - 12.3 - 12.5 - 12.4 - 11.8 - 11.3 - 11.8 - 12.0	12.5 - 23.2 - 35.1 - 47.5 - 59.6 - 71.9 - 84.4 - 96.8 - 108.6 - 119.9 - 131.7 - 143.7 (35.1-35.1)
200305010112	芝	左	1800	晴	良	16:15	4歳以上1000万下		2003-4-26	1	東京	1	4歳以上1000万下	牝[指](別定)	10	780	5	10	260	5	13	560	7	12.0	180	2.0	7-8	600	1	10-13	10620.0	29.0	10-13	3,250	31.0	10-12	570	6.0	12-13	1,580	16.0	10=>13	17330	49	10-12-13	11850	34		2(4,6,8)(5,9)(3,7)(1,13)12,10=11	6-8,2(4,9)(5,7)3(13,12)1,10=11	6,8(2,4,9)(5,3,7)(13,12)10,1,11	12.7 - 10.9 - 11.4 - 12.1 - 12.2 - 12.3 - 11.7 - 11.8 - 12.3	12.7 - 23.6 - 35.0 - 47.1 - 59.3 - 71.6 - 83.3 - 95.1 - 107.4 (35.0-35.8)
200305010201	ダ	左	1600	曇	良	10:00	3歳未勝利		2003-4-27	1	東京	2	3歳未勝利	[指](馬齢)	1	680	4	1	150	4	9	120	1	3.0	130	3.0	1-7	780	4	1-9	820.0	4.0	1-9	250	4.0	1-3	370	6.0	3-9	220	2.0	1=>9	1920	8	1-3-9	810	2			1(8,10)3(7,9)(4,2)(5,6)11	(*1,8)(3,10)(7,9)4-6,2(5,11)	12.9 - 12.1 - 12.6 - 13.3 - 13.2 - 12.6 - 12.3 - 12.6	12.9 - 25.0 - 37.6 - 50.9 - 64.1 - 76.7 - 89.0 - 101.6 (37.6-37.5)
200305010202	ダ	左	1400	曇	良	10:25	3歳未勝利		2003-4-27	1	東京	2	3歳未勝利	(混)[指](馬齢)	6	180	1	6	120	1	11	140	2	5.0	1,330	10.0	5-7	350	2	6-11	380.0	1.0	6-11	170	1.0	5-6	2,220	20.0	5-11	4,190	33.0	6=>11	540	1	5-6-11	7090	19			6,8(1,2,13)(11,12)-(5,4,10)7(3,9)	(*6,8)13-(2,11)-1(4,12)(5,7,10)(3,9)	12.7 - 11.0 - 12.2 - 12.6 - 12.7 - 13.5 - 14.0	12.7 - 23.7 - 35.9 - 48.5 - 61.2 - 74.7 - 88.7 (35.9-40.2)
200305010203	ダ	左	1600	曇	良	10:50	3歳未勝利		2003-4-27	1	東京	2	3歳未勝利	牝[指](馬齢)	2	620	2	2	150	2	8	100	1	1.0	670	9.0	2-5	230	1	2-8	320.0	1.0	2-8	160	1.0	1-2	2,450	25.0	1-8	1,080	12.0	2=>8	1220	5	1-2-8	3760	11			(*8,11)15(3,5,10,14)(1,6)13(2,9)(4,7)-12	(*8,11)15(3,5,14)(2,1,10,6,13)-(4,9)7-12	12.9 - 11.6 - 12.7 - 13.2 - 13.4 - 12.9 - 13.2 - 12.4	12.9 - 24.5 - 37.2 - 50.4 - 63.8 - 76.7 - 89.9 - 102.3 (37.2-38.5)
200305010204	芝	左	1400	曇	良	11:20	3歳未勝利		2003-4-27	1	東京	2	3歳未勝利	[指](馬齢)	13	2410	6	13	530	6	10	220	3	17.0	1,230	10.0	5-7	3790	14	10-13	5150.0	18.0	10-13	1,970	20.0	13-17	8,390	59.0	10-17	3,940	38.0	13=>10	14600	45	10-13-17	60070	132			11,9,16(3,7)(1,10)(5,12)-(6,17)(4,8)(2,13,15)14	11,9,16,3(7,10)(1,5,12)(6,17)8,4(2,13,15)-14	12.4 - 11.2 - 11.4 - 11.9 - 11.3 - 12.3 - 12.8	12.4 - 23.6 - 35.0 - 46.9 - 58.2 - 70.5 - 83.3 (35.0-36.4)
200305010205	芝	左	1800	晴	良	11:50	3歳未勝利		2003-4-27	1	東京	2	3歳未勝利	(混)[指](馬齢)	10	240	1	10	120	1	3	200	5	4.0	140	3.0	3-8	1190	6	3-10	1350.0	6.0	3-10	530	7.0	4-10	360	3.0	3-4	740	9.0	10=>3	2200	10	3-4-10	2450	8		1(3,10)(6,8)2(5,11)4,9,7	(*1,8)(3,10)(2,11)(6,4)7,5,9	(*1,8)(3,10,11)(2,6,4)7(9,5)	13.3 - 12.1 - 12.4 - 12.7 - 12.7 - 12.9 - 11.7 - 11.1 - 11.5	13.3 - 25.4 - 37.8 - 50.5 - 63.2 - 76.1 - 87.8 - 98.9 - 110.4 (37.8-34.3)
200305010206	芝	左	1400	晴	良	12:50	3歳500万下		2003-4-27	1	東京	2	3歳500万下	牝(特指)(馬齢)	7	3970	6	7	770	6	8	1,400	12	10.0	250	3.0	4-4	43730	33	7-8	60010.0	65.0	7-8	11,070	64.0	7-10	2,470	21.0	8-10	3,060	28.0	7=>8	137730	132	7-8-10	126030	186			13-6(1,4,5)-15(2,12,16)3(8,10,14)(7,17)(9,11)	13-(6,5)(1,4)15(2,12,16)(3,10,14)(8,7,17)(9,11)	12.1 - 10.6 - 11.3 - 11.8 - 11.6 - 12.3 - 12.5	12.1 - 22.7 - 34.0 - 45.8 - 57.4 - 69.7 - 82.2 (34.0-36.4)
200305010207	芝	左	1600	晴	良	13:20	3歳500万下		2003-4-27	1	東京	2	3歳500万下	(特指)(馬齢)	9	520	2	9	150	2	2	160	3	1.0	120	1.0	2-5	1200	6	2-9	1270.0	5.0	2-9	360	3.0	1-9	270	1.0	1-2	290	2.0	9=>2	2550	7	1-2-9	950	1			7,4,8(1,6,9)(2,14)(3,15)(13,12)(5,11)10	7,4,8(1,6,9)(2,14,15)(13,3,12)(5,11)-10	12.6 - 11.0 - 11.9 - 12.2 - 12.2 - 11.6 - 11.7 - 12.2	12.6 - 23.6 - 35.5 - 47.7 - 59.9 - 71.5 - 83.2 - 95.4 (35.5-35.5)
200305010208	芝	左	2400	晴	良	13:50	4歳以上500万下		2003-4-27	1	東京	2	4歳以上500万下	(混)[指](別定)	10	400	2	10	160	3	7	130	1	3.0	880	10.0	4-5	540	2	7-10	580.0	2.0	7-10	240	1.0	3-10	2,470	27.0	3-7	1,520	17.0	10=>7	1230	3	3-7-10	7410	23	10(1,5)(2,12)(4,13)(9,14)(6,11,16)(3,15)-7,8	10-5,1,12(2,16)(4,13)(6,9,14)(3,11)15-7,8	10(1,5)12,16(4,13)(3,2,6,9,14)(7,11,15)-8	10-(1,5)(12,16)(4,13)6(3,14)(7,15)9(2,11,8)	12.7 - 11.4 - 12.2 - 12.4 - 12.6 - 12.8 - 13.0 - 12.4 - 12.0 - 11.1 - 11.9 - 12.3	12.7 - 24.1 - 36.3 - 48.7 - 61.3 - 74.1 - 87.1 - 99.5 - 111.5 - 122.6 - 134.5 - 146.8 (36.3-35.3)
