	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200303010111	芝	右	2000	雨	稍重	15:30	吾妻小富士賞 		2003-4-5	1	福島	1	4歳以上1000万下	(混)[指](ハンデ)	12	360	1	12	150	2	9	330	5	10.0	250	4.0	6-7	840	3	9-12	1920.0	5.0	9-12	840	6.0	10-12	620	4.0	9-10	1,200	15.0	12=>9	2930	9	9-10-12	4560	14	(*8,6)(11,13)14(5,12)-4,9(7,10)3,1,2	(*8,6)(11,13)(5,12,14)-4,9(7,10)(3,2)1	(*8,6)(13,14)(5,11,12)9(1,10,2)4,7,3	(*8,6)(14,9,2)(5,13)(12,10)11(1,7)-(4,3)	12.1 - 11.2 - 12.0 - 12.6 - 12.5 - 12.2 - 12.1 - 12.3 - 12.3 - 12.6	12.1 - 23.3 - 35.3 - 47.9 - 60.4 - 72.6 - 84.7 - 97.0 - 109.3 - 121.9 (35.3-37.2)
200303010112	ダ	右	1700	雨	重	16:10	花見山特別 		2003-4-5	1	福島	1	4歳以上500万下	(混)[指](別定)	3	200	1	3	130	1	10	170	2	1.0	1,440	12.0	3-7	330	1	3-10	590.0	1.0	3-10	250	1.0	1-3	3,090	31.0	1-10	5,970	50.0	3=>10	830	1	1-3-10	18670	53	(*1,7)10(3,9,12)8(5,11)2,4-6	1(3,7,10)(9,12)8(2,5)11,4-6	1(3,7,10,12)(9,8)5(2,4,11)-6	(*1,10)12,3(9,8)(7,2)4-5-11,6	7.0 - 11.5 - 11.7 - 12.3 - 12.5 - 12.2 - 12.2 - 12.2 - 12.5	7.0 - 18.5 - 30.2 - 42.5 - 55.0 - 67.2 - 79.4 - 91.6 - 104.1 (30.2-36.9)
200303010201	ダ	右	1700	晴	不良	09:55	3歳未勝利		2003-4-6	1	福島	2	3歳未勝利	牝(馬齢)	3	140	1	3	110	1	10	170	3	8.0	430	6.0	3-7	560	3	3-10	610.0	3.0	3-10	260	3.0	3-8	680	7.0	8-10	2,230	22.0	3=>10	680	3	3-8-10	3310	12	(*1,13)8,3(6,10)(9,11)5,4,2,12-7	(*1,13)-(8,3)-6,10(5,11)9-4,2,12=7	(1,13,*3)8(6,10)5-11,9-2-12-4-7	3,8,1(13,10)5,6-11,9-2-12-7,4	6.6 - 11.4 - 11.4 - 12.5 - 13.2 - 12.9 - 13.3 - 12.6 - 12.9	6.6 - 18.0 - 29.4 - 41.9 - 55.1 - 68.0 - 81.3 - 93.9 - 106.8 (29.4-38.8)
200303010202	ダ	右	1700	晴	重	10:20	3歳未勝利		2003-4-6	1	福島	2	3歳未勝利	(馬齢)	6	230	1	6	130	1	2	550	9	1.0	190	4.0	2-5	2570	10	2-6	2670.0	9.0	2-6	1,070	10.0	1-6	390	4.0	1-2	1,720	22.0	6=>2	3700	14	1-2-6	5610	18	2(6,7)(1,11)12,9-4,10-(3,5)=8	2(6,7)(1,11)(9,12)-4-10-(3,5)=8	2,6(1,7,11)4(9,12)10-(3,5)-8	2,6,1-9(7,11)(12,4)10-(5,8)3	6.6 - 11.5 - 11.3 - 12.4 - 13.1 - 12.7 - 12.7 - 12.6 - 12.9	6.6 - 18.1 - 29.4 - 41.8 - 54.9 - 67.6 - 80.3 - 92.9 - 105.8 (29.4-38.2)
200303010203	ダ	右	1700	晴	重	10:45	3歳未勝利		2003-4-6	1	福島	2	3歳未勝利	(混)(馬齢)	3	470	3	3	150	3	10	210	4	6.0	150	2.0	3-8	520	2	3-10	3400.0	11.0	3-10	960	10.0	3-6	390	3.0	6-10	700	8.0	3=>10	5520	18	3-6-10	3280	11	(*6,7)10(3,4,9)(5,8)(1,2)	(*6,7)10(3,4,9)(5,8)(1,2)	(*6,7)10(3,9)-(5,4,8)-(1,2)	(*6,10)(3,7)9-5-8-1(4,2)	6.6 - 11.8 - 12.0 - 12.7 - 12.8 - 12.4 - 12.6 - 12.7 - 13.0	6.6 - 18.4 - 30.4 - 43.1 - 55.9 - 68.3 - 80.9 - 93.6 - 106.6 (30.4-38.3)
200303010204	芝	右	1200	晴	良	11:15	3歳未勝利		2003-4-6	1	福島	2	3歳未勝利	(混)(馬齢)	1	760	4	1	290	4	10	270	3	4.0	480	7.0	1-5	290	1	1-10	2890.0	12.0	1-10	1,430	18.0	1-4	1,370	17.0	4-10	1,830	22.0	1=>10	8380	30	1-4-10	13900	49			1-(9,14)-4(2,6)(13,16)5(11,8)3(7,15)10=12	1(9,14)(2,4)16,6(13,8)5(3,11)(7,15)10,12	12.2 - 10.7 - 11.2 - 12.3 - 12.2 - 13.2	12.2 - 22.9 - 34.1 - 46.4 - 58.6 - 71.8 (34.1-37.7)
200303010205	芝	右	1800	晴	良	11:45	3歳未勝利		2003-4-6	1	福島	2	3歳未勝利	(馬齢)	14	1560	8	14	630	9	4	220	3	7.0	570	8.0	2-7	2520	11	4-14	8730.0	34.0	4-14	2,640	30.0	7-14	5,230	56.0	4-7	2,250	26.0	14=>4	22170	76	4-7-14	54450	168	(*11,12)4(5,8,15)(3,9)(2,13,14)6(1,10,16)7	(*11,12)(4,8)5(3,15)9(2,13,14)(6,16)(1,7)10	(*11,12)8(4,5,14)(3,9,15,7)13(2,16)6,1-10	(11,*12,8,14)4,7(3,5)(2,9,15)16(1,13)6-10	12.7 - 11.4 - 12.8 - 12.9 - 13.1 - 12.7 - 12.1 - 11.6 - 11.8	12.7 - 24.1 - 36.9 - 49.8 - 62.9 - 75.6 - 87.7 - 99.3 - 111.1 (36.9-35.5)
200303010206	ダ	右	1700	晴	重	12:45	4歳以上500万下		2003-4-6	1	福島	2	4歳以上500万下	(別定)	13	800	3	13	190	3	3	120	1	14.0	290	4.0	3-8	460	2	3-13	720.0	2.0	3-13	360	2.0	13-14	1,360	15.0	3-14	640	5.0	13=>3	2960	11	3-13-14	2980	5	(*2,13)3,9(8,11,12)(4,14)(1,7)(5,10)-6	(*2,13)-(3,9)(8,11)12-(4,14)(1,7)-5,10,6	(2,*13)(3,9)(8,11,12)14(1,7)4-(5,6)10	(2,*13)3-9(8,11,12)(14,7)(4,1,6)(5,10)	6.5 - 11.6 - 11.5 - 11.9 - 12.3 - 12.6 - 12.9 - 13.2 - 13.4	6.5 - 18.1 - 29.6 - 41.5 - 53.8 - 66.4 - 79.3 - 92.5 - 105.9 (29.6-39.5)
200303010207	ダ	右	1700	晴	重	13:15	4歳以上500万下		2003-4-6	1	福島	2	4歳以上500万下	(別定)	6	330	2	6	140	1	1	140	2	9.0	390	6.0	1-4	500	1	1-6	550.0	1.0	1-6	300	1.0	6-9	1,070	13.0	1-9	1,220	15.0	6=>1	1080	1	1-6-9	3460	9	6(8,10)(1,13,14)5,4(2,9,12)-(3,7,11)	6,8(1,10)5(2,14)(4,13)(9,12)(3,11)7	(*6,8)10(1,14)(2,5,4)(12,11)9,7-(3,13)	6,8(1,10)(2,4,9,14,11)-5,12,7,3=13	6.7 - 11.6 - 11.7 - 12.4 - 12.8 - 12.1 - 12.6 - 12.6 - 12.8	6.7 - 18.3 - 30.0 - 42.4 - 55.2 - 67.3 - 79.9 - 92.5 - 105.3 (30.0-38.0)
200303010208	芝	右	1800	晴	良	13:45	4歳以上500万下		2003-4-6	1	福島	2	4歳以上500万下	(別定)	3	380	2	3	150	1	15	150	2	1.0	180	4.0	2-8	390	1	3-15	950.0	2.0	3-15	420	2.0	1-3	720	7.0	1-15	870	11.0	3=>15	1830	3	1-3-15	3670	9	(1,*2)7,8(3,4,14)16(10,15)(5,9,12)-11,13,6	2-1-(3,7,8)14,4(15,16)(10,12)(5,9)-13(6,11)	2(3,15,16)(1,8,14)4,12(10,7,9)(5,11)6,13	(*3,15)16,1,4(2,5,14)(10,12,11)8(13,9)6,7	12.3 - 10.6 - 11.4 - 12.0 - 12.6 - 12.6 - 12.3 - 12.0 - 12.3	12.3 - 22.9 - 34.3 - 46.3 - 58.9 - 71.5 - 83.8 - 95.8 - 108.1 (34.3-36.6)
