	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200301010111	芝	右	1200	晴	良	15:30	キーンランドカップ 		2003-8-16	1	札幌	1	3歳以上1000万下	(混)[指](ハンデ)	9	2110	6	9	330	6	12	280	5	4.0	100	1.0	5-6	4350	12	9-12	9100.0	23.0	9-12	2,200	23.0	4-9	440	5.0	4-12	440	4.0	9=>12	22230	45	4-9-12	3270	10			4(5,9,12)(2,10)(3,7)(11,14,15)(6,13)16,8,1	4(9,12)5,3(2,10,15)(6,7,11,14)13,8,16,1	12.1 - 10.7 - 10.9 - 11.2 - 11.4 - 12.1	12.1 - 22.8 - 33.7 - 44.9 - 56.3 - 68.4 (33.7-34.7)
200301010112	芝	右	2600	晴	良	16:10	支笏湖特別 		2003-8-16	1	札幌	1	3歳以上1000万下	(混)(特指)(別定)	8	4630	10	8	650	9	7	190	3	2.0	130	1.0	5-6	2070	8	7-8	17150.0	38.0	7-8	3,760	37.0	2-8	1,880	23.0	2-7	280	2.0	8=>7	40720	85	2-7-8	11790	40	12,5(7,3,8)10,9(6,13)2(4,11)-1	12,5,3(7,8)(9,10)(6,13)(4,2,11)-1	(*12,5)8(7,3)9(6,10)(2,13)(1,11)4	(*12,8)(7,5)-(6,2,3,9)(1,4,10)13,11	13.4 - 11.8 - 12.4 - 13.3 - 12.0 - 13.2 - 14.0 - 13.4 - 12.5 - 11.8 - 11.4 - 11.7 - 11.6	13.4 - 25.2 - 37.6 - 50.9 - 62.9 - 76.1 - 90.1 - 103.5 - 116.0 - 127.8 - 139.2 - 150.9 - 162.5 (37.6-34.7)
200301010201	ダ	右	1700	晴	良	09:55	3歳未勝利		2003-8-17	1	札幌	2	3歳未勝利	(父)[指](馬齢)	1	2480	7	1	310	7	4	160	2	3.0	100	1.0	1-4	4430	11	1-4	6570.0	19.0	1-4	1,180	16.0	1-3	550	7.0	3-4	180	1.0	1=>4	17390	38	1-3-4	2130	8	1,4,7(3,12)13(6,10)(2,5,8)11,9	1,4,7(3,12)13,6,2(5,10)8,11-9	(*1,4)(7,12)(3,13)(6,8)2(5,11)10=9	(*1,4)-3(6,7,12)5,2(13,8)-11,10=9	7.0 - 11.4 - 12.2 - 13.1 - 13.2 - 12.7 - 12.5 - 12.7 - 13.3	7.0 - 18.4 - 30.6 - 43.7 - 56.9 - 69.6 - 82.1 - 94.8 - 108.1 (30.6-38.5)
200301010202	ダ	右	1700	晴	良	10:20	3歳未勝利		2003-8-17	1	札幌	2	3歳未勝利	[指](馬齢)	4	160	1	4	120	1	10	500	6	1.0	570	7.0	4-8	720	3	4-10	1360.0	5.0	4-10	660	6.0	1-4	910	8.0	1-10	5,840	35.0	4=>10	1770	5	1-4-10	11370	32	1(2,3,5,7)(4,11)10,9-6,8	1(3,7)(2,4,11)5(9,10)-6,8	1,3(2,4,7,11)(9,10)-6(8,5)	1(3,4)2(9,11)10-(7,6)-(8,5)	6.9 - 11.0 - 12.2 - 13.2 - 13.0 - 12.9 - 13.0 - 13.1 - 12.0	6.9 - 17.9 - 30.1 - 43.3 - 56.3 - 69.2 - 82.2 - 95.3 - 107.3 (30.1-38.1)
200301010203	芝	右	1200	晴	良	10:45	3歳未勝利		2003-8-17	1	札幌	2	3歳未勝利	(混)[指](馬齢)	4	720	3	4	260	4	3	180	2	1.0	420	7.0	2-2	2090	8	3-4	2020.0	8.0	3-4	750	6.0	1-4	1,480	20.0	1-3	1,280	16.0	4=>3	4320	18	1-3-4	8560	29			4(16,14)(3,15)11,5(2,8)(1,6)13(7,10)(9,12)	4(3,14)-(16,11,15)8(2,1,6)(5,13)(7,9)12,10	12.2 - 10.7 - 11.2 - 11.4 - 11.7 - 12.2	12.2 - 22.9 - 34.1 - 45.5 - 57.2 - 69.4 (34.1-35.3)
200301010204	ダ	右	1000	晴	良	11:15	2歳新馬		2003-8-17	1	札幌	2	2歳新馬	(混)[指](馬齢)	6	280	2	6	110	2	4	170	4	1.0	100	1.0	4-6	1060	4													6=>4	1670	6	1-4-6	420	1			1,4-6-3(2,8)-5-7	(*1,4)-6-3,8-2-5,7	12.3 - 11.1 - 11.8 - 11.6 - 12.5	12.3 - 23.4 - 35.2 - 46.8 - 59.3 (35.2-35.9)
200301010205	芝	右	1800	晴	良	12:15	2歳新馬		2003-8-17	1	札幌	2	2歳新馬	(混)[指](馬齢)	8	750	5	8	190	5	1	130	1	5.0	140	3.0	1-8	950	7													8=>1	2080	15	1-5-8	1450	6	1(2,7,8)6,3,4-5	1,7(2,8)6,3,4,5	1,5(2,7)8(6,3)4	(*1,5)(2,8)-(7,3)6-4	12.6 - 13.1 - 14.0 - 13.9 - 13.1 - 11.9 - 11.7 - 11.8 - 11.9	12.6 - 25.7 - 39.7 - 53.6 - 66.7 - 78.6 - 90.3 - 102.1 - 114.0 (39.7-35.4)
200301010206	ダ	右	1700	晴	良	12:45	3歳以上500万下		2003-8-17	1	札幌	2	3歳以上500万下	牝[指](別定)	11	270	1	11	170	2	2	280	6	9.0	410	7.0	2-8	1340	6	2-11	1510.0	4.0	2-11	790	8.0	9-11	1,040	13.0	2-9	2,580	35.0	11=>2	2670	7	2-9-11	7860	27	12,2,1,6,8(4,11)7(5,3,9)10	12,2,1,6,8(4,7,11)(5,9)(3,10)	11,12,2(1,6,8,9)(4,7,10)5,3	11(12,2,9)-(1,6)10,8-(4,3)(5,7)	6.8 - 11.2 - 12.4 - 13.5 - 13.0 - 12.4 - 12.2 - 12.3 - 12.7	6.8 - 18.0 - 30.4 - 43.9 - 56.9 - 69.3 - 81.5 - 93.8 - 106.5 (30.4-37.2)
200301010207	ダ	右	1000	晴	良	13:15	3歳以上500万下		2003-8-17	1	札幌	2	3歳以上500万下	[指](別定)	10	210	1	10	130	1	3	770	8	4.0	970	9.0	3-8	5210	11	3-10	5100.0	13.0	3-10	1,830	15.0	4-10	2,110	19.0	3-4	6,270	42.0	10=>3	6080	17	3-4-10	40120	72			10,1-(2,4,9)-(7,8)-3,11,6-5	10(1,9)(2,4)7,8,3-6,11-5	12.4 - 10.8 - 11.6 - 12.1 - 12.9	12.4 - 23.2 - 34.8 - 46.9 - 59.8 (34.8-36.6)
200301010208	芝	右	2600	晴	良	13:45	3歳以上500万下		2003-8-17	1	札幌	2	3歳以上500万下	(特指)(別定)	11	1080	6	11	330	6	6	260	3	9.0	960	11.0	5-8	270	1	6-11	2930.0	13.0	6-11	1,280	15.0	9-11	3,600	46.0	6-9	2,190	29.0	11=>6	7620	32	6-9-11	32180	100	(*1,7)-11(5,12)6,10-(4,9)(2,3)=8	(*1,7)11,5(6,12)10(4,9)-(2,3)8	1(11,5)12(6,9,10)8(4,2)(7,3)	(1,*11)5(9,6)(4,2)10,8,12,3=7	13.1 - 11.3 - 11.7 - 11.8 - 12.0 - 12.8 - 13.3 - 13.4 - 13.0 - 12.4 - 12.1 - 12.1 - 12.2	13.1 - 24.4 - 36.1 - 47.9 - 59.9 - 72.7 - 86.0 - 99.4 - 112.4 - 124.8 - 136.9 - 149.0 - 161.2 (36.1-36.4)
