	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200306010111	芝	右	2000	曇	良	15:35	日刊スポ賞中山金杯	G3	2003-1-5	1	中山	1	4歳以上オープン	(混)[指](ハンデ)	4	420	1	4	190	1	12	750	12	3.0	750	11.0	2-6	1160	4	4-12	7400.0	28.0	4-12	2,220	25.0	3-4	2,200	24.0	3-12	5,780	71.0	4=>12	11330	44	3-4-12	55290	165	12-9(1,13)(3,7,11)(4,14)(5,8)(10,16)2,15-6	12-9(1,13)(3,11)7(4,14)(5,8)(10,16)2-15-6	12(9,13)(1,3,11,16)(5,4,7,10)(2,14)8,15,6	12(9,13)(1,3,11)(4,7)(5,2,16,10)(8,14)(6,15)	12.7 - 11.9 - 12.1 - 12.0 - 11.9 - 11.9 - 11.8 - 11.8 - 11.8 - 12.1	12.7 - 24.6 - 36.7 - 48.7 - 60.6 - 72.5 - 84.3 - 96.1 - 107.9 - 120.0 (36.7-35.7)
200306010112	ダ	右	1200	曇	重	16:10	4歳以上1000万下		2003-1-5	1	中山	1	4歳以上1000万下	(混)[指](別定)	11	1430	5	11	380	5	14	290	4	12.0	580	6.0	6-7	1560	6	11-14	6810.0	22.0	11-14	1,860	18.0	11-12	2,500	27.0	12-14	1,790	17.0	11=>14	15490	39	11-12-14	22710	67			(*11,13)(16,15)(2,6,14,10)(7,12)(3,4,9)8-5 1	11(13,16,10)(2,6,14)(3,4,7,15,12)-9,8,5 1	12.1 - 10.7 - 11.3 - 12.5 - 12.3 - 13.0	12.1 - 22.8 - 34.1 - 46.6 - 58.9 - 71.9 (34.1-37.8)
200306010201	ダ	右	1200	晴	稍重	10:00	3歳未勝利		2003-1-6	1	中山	2	3歳未勝利	牝[指](馬齢)	5	1910	6	5	540	6	15	220	4	2.0	140	2.0	3-8	4320	14	5-15	6210.0	17.0	5-15	1,670	15.0	2-5	1,040	10.0	2-15	470	4.0	5=>15	13220	35	2-5-15	4880	14			(*13,15)(10,16)(7,5)(8,14,11)6-2,9,12-1-4-3	(*13,15)10,5-(7,8,16,11)-(14,2)6-9-(1,12)-4,3	12.2 - 11.0 - 11.8 - 13.0 - 13.6 - 13.6	12.2 - 23.2 - 35.0 - 48.0 - 61.6 - 75.2 (35.0-40.2)
200306010202	ダ	右	1800	晴	稍重	10:25	3歳未勝利		2003-1-6	1	中山	2	3歳未勝利	(混)[指](馬齢)	15	150	1	15	110	1	9	440	6	12.0	180	2.0	5-8	1480	5	9-15	1860.0	7.0	9-15	620	5.0	12-15	210	1.0	9-12	1,840	19.0	15=>9	2180	7	9-12-15	2800	9	(*10,15)(12,14)(5,6,7)(1,2)(8,13)-(4,9)3-11	(10,*15,14)(5,6,12,7)(1,2,13)8,9,4,3-11	15(10,12,14)8(5,2,7,9)(1,13)-6=3=(11,4)	15(10,12)(2,7,9)14(5,13)8-6=(3,11)=4 1	12.8 - 11.8 - 13.4 - 13.4 - 13.2 - 13.4 - 13.6 - 13.2 - 13.4	12.8 - 24.6 - 38.0 - 51.4 - 64.6 - 78.0 - 91.6 - 104.8 - 118.2 (38.0-40.2)
200306010203	ダ	右	1800	晴	稍重	10:50	3歳新馬		2003-1-6	1	中山	2	3歳新馬	牝[指](馬齢)	6	250	1	6	140	1	7	250	5	14.0	1,140	12.0	3-4	390	1	6-7	1090.0	4.0	6-7	480	4.0	6-14	2,710	29.0	7-14	4,610	44.0	6=>7	1580	3	6-7-14	19750	53	(*8,13)(1,3,14)15(10,12,11)7-(2,6,16)(4,9)=5	(8,*13)(3,14)(1,15)(10,12,11)7-6(2,4,9,16)=5	(*8,13)14(1,3,15)(11,7)6(12,9,16)4,10=2-5	(*8,13)14(15,7)(1,6)11(3,9)(4,16)-12,10=2,5	12.8 - 11.7 - 13.2 - 13.1 - 13.3 - 13.4 - 14.0 - 14.1 - 13.4	12.8 - 24.5 - 37.7 - 50.8 - 64.1 - 77.5 - 91.5 - 105.6 - 119.0 (37.7-41.5)
200306010204	ダ	右	1200	晴	稍重	11:20	3歳新馬		2003-1-6	1	中山	2	3歳新馬	(混)[指](馬齢)	9	1940	6	9	440	6	12	490	7	1.0	130	1.0	5-7	6260	17	9-12	22860.0	38.0	9-12	4,700	41.0	1-9	760	7.0	1-12	1,220	12.0	9=>12	62400	82	1-9-12	15370	44			(*1,6,12)-9(7,14)-10(2,11,8,13,15)5-3-4	(*1,6,12)-9-(7,14)-(2,10)-8(5,15)13,11-(3,4)	12.3 - 10.7 - 11.7 - 12.9 - 13.1 - 13.0	12.3 - 23.0 - 34.7 - 47.6 - 60.7 - 73.7 (34.7-39.0)
200306010205	障		2880	晴	良  ダート	11:50	障害4歳以上未勝利		2003-1-6	1	中山	2	障害4歳以上未勝利	(混)(定量)	10	190	1	10	130	1	1	660	8	8.0	160	3.0	1-6	2700	8	1-10	4360.0	15.0	1-10	1,400	17.0	8-10	280	2.0	1-8	2,360	24.0	10=>1	5700	19	1-8-10	8400	27	9-14(5,10)(1,8)(4,11)6-13,3=7=2=12	9-(5,14,10)(1,8,4,11)6-13-3=7=2=12	9,10(8,4)-(1,13)5(14,6)-3,11=2=12-7	(*9,10)8-4(5,1,6,13)=14=11=2=12=7 3		
200306010206	芝	右	2000	晴	良	12:50	3歳新馬		2003-1-6	1	中山	2	3歳新馬	(混)[指](馬齢)	11	6690	11	11	1,160	10	7	1,530	11	16.0	2,610	15.0	4-6	10010	26	7-11	116470.0	98.0	7-11	19,150	93.0	11-16	36,980	113.0	7-16	26,250	102.0	11=>7	393040	209	7-11-16	1449660	532	4-6(5,7,15)(14,16)10(8,12,13)11,3-1,2=9	4-(5,6)(7,15)(10,14)16(8,12,13)11-3-1-2=9	(*4,6)(5,7,15,14)(10,16,13)(8,12,11)-1,3-(9,2)	(4,*15,14)5(10,7,16,13)(8,12,6,11)-1-9,3-2	12.7 - 11.2 - 12.7 - 12.7 - 12.7 - 12.5 - 12.5 - 12.3 - 12.8 - 12.4	12.7 - 23.9 - 36.6 - 49.3 - 62.0 - 74.5 - 87.0 - 99.3 - 112.1 - 124.5 (36.6-37.5)
200306010207	ダ	右	1200	晴	稍重	13:20	4歳以上500万下		2003-1-6	1	中山	2	4歳以上500万下	(混)[指](別定)	14	1430	6	14	490	8	6	200	2	12.0	490	7.0	3-7	570	1	6-14	2970.0	13.0	6-14	1,240	15.0	12-14	2,570	32.0	6-12	1,220	14.0	14=>6	6830	27	6-12-14	12560	44			(*1,9)(12,13)16(11,14,15)(3,6)(2,5,8,7)4 10	1(9,12)(14,13,15)-(3,6)(11,16)7(2,8)5,4 10	11.8 - 10.9 - 11.6 - 12.5 - 12.9 - 13.4	11.8 - 22.7 - 34.3 - 46.8 - 59.7 - 73.1 (34.3-38.8)
200306010208	ダ	右	1800	晴	稍重	13:50	4歳以上500万下		2003-1-6	1	中山	2	4歳以上500万下	[指](別定)	13	7680	14	13	1,960	13	15	820	11	6.0	600	9.0	7-8	2950	16	13-15	88480.0	98.0	13-15	18,730	103.0	6-13	13,920	90.0	6-15	10,200	79.0	13=>15	167390	193	6-13-15	333720	409	(*4,12)(13,8)(3,16)(1,5)6,10(9,11)14-(2,7,15)	(*4,12,13,8)(1,3,5,16)6,10,9(14,11)-(2,7,15)	(4,*12,13,8)(3,5,16)(1,6)(10,9)-(14,11)15=(2,7)	13,12,8(5,16)(3,6)(4,10)(1,9,15)(14,11)=7=2	12.5 - 11.8 - 12.7 - 12.8 - 12.8 - 12.7 - 13.3 - 13.5 - 14.2	12.5 - 24.3 - 37.0 - 49.8 - 62.6 - 75.3 - 88.6 - 102.1 - 116.3 (37.0-41.0)
