rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	5	5		ユアソーラ	セ4	56.0		川島正太	1:28.8		4-4-4-2	38.0	4.4	3	455	0		野口寛仁		坂田栄一	110.0
2	1	1		サンハンツビル	牝5	54.0		森泰斗	1:29.0	1.0	1-1-1-1	38.7	3.2	1	464	-1		野口寛仁		（株）加藤ステーブ	38.5
3	6	8		キョウエイオジョウ	牝7	54.0		酒井忍	1:29.1	1/2	8-9-9-9	37.5	47.7	10	480	-3		小澤宏次		田中晴夫	22.0
4	7	9		アークストーン	牝4	54.0		張田昂	1:29.2	3/4	7-5-5-4	38.2	61.5	11	396	4		武井和実		ＡＨＣ（株）	16.5
5	8	12		モダンライフ	牝4	54.0		藤江渉	1:29.5	1.1/2	5-6-8-8	38.2	24.7	7	437	-9		田島寿一		桧森高史	11.0
6	8	11		ピノタージュ	牝4	54.0		保園翔也	1:29.5	ハナ	3-3-3-5	38.8	7.7	4	453	6		内野健二		高木秀明	
7	6	7		フェアリーマジック	牝4	54.0		見越彬央	1:29.6	1/2	2-2-2-3	39.1	36.7	8	437	-3		川村守男		（有）吉田牧場	
8	2	2		キンブレル	牡4	56.0		矢野貴之	1:29.6	クビ	6-7-7-6	38.3	3.9	2	477	3		山崎裕也		森岡幸人	
9	4	4		バトルチャンプ	牡6	56.0		和田譲治	1:29.6	ハナ	10-8-6-7	38.3	8.7	5	458	-3		宇野木博		増山武志	
10	5	6		シュゼット	牝4	54.0		町田直希	1:30.3	3.0	11-11-11-10	37.8	12.0	6	471	13		長谷川忍		杉浦和也	
11	3	3		マイアミヒーロー	牡6	56.0		西啓太	1:30.9	3.0	9-10-10-11	38.9	41.9	9	518	14		小久保智		密山根成	
12	7	10		アナンクス	牡4	56.0		福原杏	1:33.9	大	12-12-12-12	41.2	204.2	12	468	1		水野貴史		杉浦和也	
