rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	8	12		ラブリプリンチャン	牝2	54.0		石川倭	1:02.6		4-3	38.3	10.6	5	470	0		安田武広		大崎幸路	120.0
2	7	10		タイムパトロール	牝2	54.0		落合玄太	1:03.4	4.0	2-1	39.6	1.9	1	476	-2		田中淳司		（有）下河辺牧場	33.6
3	5	6		レイワホクト	牝2	54.0		服部茂史	1:03.4	アタマ	5-5	38.9	6.1	3	458	-4		小野望		松岡研司	25.2
4	7	9		アニモミホ	牝2	54.0		桑村真明	1:03.8	2.0	9-9	38.8	223.8	11	438	2		斉藤正弘		沖田方子	16.8
5	5	5		トウヨウノマジョ	牝2	54.0		山本咲希	1:03.8	クビ	11-11	38.4	3.3	2	426	6		佐々木国		岡田孝之	8.4
6	8	11		パクスロマーナ	牝2	54.0		黒澤愛斗	1:03.9	クビ	3-3	39.8	138.2	9	422	2		米川昇		西村知也	
7	4	4		エイシンペリドット	牝2	54.0		松井伸也	1:04.1	1.0	12-11	38.5	49.7	6	474	6		堂山芳則		平井克彦	
8	6	7		ミニアチュール	牝2	54.0		宮崎光行	1:04.4	1.1/2	10-7	39.4	157.4	10	416	-2		松本隆宏		（有）下河辺牧場	
9	3	3		パープルゴールド	牝2	54.0		小野楓馬	1:04.4	ハナ	7-6	39.6	99.4	7	432	8		小野望		組）パープルパッチレ	
10	6	8		ニシケンバリー	牡2	51.0		若杉朝飛	1:04.7	1.1/2	6-7	39.9	373.9	12	422	6		小国博行		西森鶴	
11	2	2		バウアーズ	牝2	54.0		阿部龍	1:05.0	1.1/2	1-2	41.3	9.1	4	422	-10		角川秀樹		渡部賢治	
12	1	1		オレンジベルン	牝2	54.0		井上俊彦	1:05.4	2.0	8-10	40.5	109.3	8	424	4		小国博行		四本昭弘	
