	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
198610010101	芝	右	1800	晴	良	10:20	4歳未勝利		1986-3-8	1	小倉	1	4歳未勝利	[抽](馬齢)	1	220	1	1	140	2	8	130	1	13.0	310	6.0	1-4	410	1																							12.9 - 12.2 - 13.0 - 12.5 - 12.7 - 12.6 - 12.4 - 13.0 - 12.4	12.9 - 25.1 - 38.1 - 50.6 - 63.3 - 75.9 - 88.3 - 101.3 - 113.7 (12.9-12.9)
198610010102	芝	右	1800	晴	良	10:50	4歳以上オープン		1986-3-8	1	小倉	1	4歳以上オープン	[抽](別定)	7	1410	6	7	360	8	2	300	6	5.0	120	1.0	2-6	5160	17																							12.9 - 12.4 - 12.7 - 12.2 - 11.8 - 12.0 - 12.1 - 12.8 - 12.6	12.9 - 25.3 - 38.0 - 50.2 - 62.0 - 74.0 - 86.1 - 98.9 - 111.5 (12.9-12.9)
198610010103	芝	右	2000	晴	良	11:20	4歳未勝利		1986-3-8	1	小倉	1	4歳未勝利	(馬齢)	3	850	5	3	190	3	10	220	4	1.0	120	1.0	3-7	1720	8																							12.6 - 11.1 - 12.4 - 12.6 - 12.5 - 12.0 - 12.5 - 12.6 - 12.7 - 12.0	12.6 - 23.7 - 36.1 - 48.7 - 61.2 - 73.2 - 85.7 - 98.3 - 111.0 - 123.0 (12.6-12.6)
198610010104	芝	右	1800	晴	良	11:50	4歳未勝利		1986-3-8	1	小倉	1	4歳未勝利	牝(馬齢)	10	710	4	10	330	2	11	330	3	6.0	1,030	9.0	5-6	530	1																							12.7 - 12.0 - 12.2 - 12.3 - 11.7 - 12.0 - 12.3 - 12.9 - 12.3	12.7 - 24.7 - 36.9 - 49.2 - 60.9 - 72.9 - 85.2 - 98.1 - 110.4 (12.7-12.7)
198610010201	芝	右	2000	晴	良	10:20	4歳以上300万下		1986-3-9	1	小倉	2	4歳以上300万下	[抽](馬齢)	9	410	2	9	130	2	6	110	1	13.0	170	4.0	5-6	330	1																							12.9 - 11.6 - 12.8 - 12.8 - 12.3 - 12.0 - 12.3 - 12.6 - 13.1 - 12.9	12.9 - 24.5 - 37.3 - 50.1 - 62.4 - 74.4 - 86.7 - 99.3 - 112.4 - 125.3 (12.9-12.9)
198610010202	芝	右	2000	晴	良	10:50	4歳未出走		1986-3-9	1	小倉	2	4歳未出走	(混)(馬齢)	3	1030	4	3	340	6	11	260	4	8.0	180	2.0	3-8	3810	14																							12.6 - 11.8 - 12.4 - 12.4 - 12.5 - 12.7 - 13.0 - 12.5 - 12.9 - 12.6	12.6 - 24.4 - 36.8 - 49.2 - 61.7 - 74.4 - 87.4 - 99.9 - 112.8 - 125.4 (12.6-12.6)
198610010203	芝	右	1800	晴	良	11:20	4歳未勝利		1986-3-9	1	小倉	2	4歳未勝利	(混)(馬齢)	11	330	2	11	170	1	12	200	2	14.0	600	12.0	6-7	310	1																							12.6 - 12.0 - 12.4 - 12.1 - 12.1 - 12.4 - 12.5 - 12.8 - 12.4	12.6 - 24.6 - 37.0 - 49.1 - 61.2 - 73.6 - 86.1 - 98.9 - 111.3 (12.6-12.6)
198610010204	芝	右	1200	晴	良	11:50	4歳未勝利		1986-3-9	1	小倉	2	4歳未勝利	(馬齢)	4	1730	7	4	490	8	14	240	5	13.0	240	4.0	2-7	550	2																							12.1 - 10.8 - 11.3 - 11.8 - 12.3 - 12.6	12.1 - 22.9 - 34.2 - 46.0 - 58.3 - 70.9 (12.1-12.1)
198610010205	芝	右	2600	晴	良	12:50	4歳以上400万下		1986-3-9	1	小倉	2	4歳以上400万下	(混)(馬齢)	4	1030	5	4	180	5	6	120	1	1.0	140	2.0	4-6	920	4																							12.6 - 11.3 - 12.4 - 12.2 - 13.2 - 13.0 - 12.7 - 12.3 - 12.2 - 12.5 - 12.7 - 12.3 - 12.2	12.6 - 23.9 - 36.3 - 48.5 - 61.7 - 74.7 - 87.4 - 99.7 - 111.9 - 124.4 - 137.1 - 149.4 - 161.6 (12.6-12.6)
198610010206	芝	右	1800	晴	良	13:20	4歳以上400万下		1986-3-9	1	小倉	2	4歳以上400万下	(馬齢)	8	370	1	8	140	1	16	450	8	13.0	240	4.0	4-8	910	5																							12.5 - 11.9 - 12.2 - 12.0 - 11.8 - 12.2 - 12.4 - 13.0 - 13.0	12.5 - 24.4 - 36.6 - 48.6 - 60.4 - 72.6 - 85.0 - 98.0 - 111.0 (12.5-12.5)
198610010207	芝	右	1200	晴	良	13:50	4歳以上400万下		1986-3-9	1	小倉	2	4歳以上400万下	(馬齢)	13	1790	9	13	480	8	11	170	2	6.0	260	4.0	6-7	2890	10																							12.1 - 10.7 - 11.3 - 11.8 - 12.1 - 12.7	12.1 - 22.8 - 34.1 - 45.9 - 58.0 - 70.7 (12.1-12.1)
198610010208	芝	右	1800	晴	良	14:25	芝桜賞 		1986-3-9	1	小倉	2	4歳400万下	(馬齢)	8	550	3	8	260	5	16	140	1	15.0	420	9.0	4-8	530	1																							12.3 - 11.4 - 12.1 - 12.1 - 12.1 - 12.4 - 12.7 - 13.0 - 12.6	12.3 - 23.7 - 35.8 - 47.9 - 60.0 - 72.4 - 85.1 - 98.1 - 110.7 (12.3-12.3)
198610010209	芝	右	1800	曇	良	15:00	紫川特別 		1986-3-9	1	小倉	2	4歳以上400万下	牝(馬齢)	4	840	4	4	160	2	8	170	3	1.0	100	1.0	4-7	1750	8																							12.8 - 12.2 - 12.4 - 12.3 - 12.1 - 12.4 - 12.4 - 12.2 - 12.4	12.8 - 25.0 - 37.4 - 49.7 - 61.8 - 74.2 - 86.6 - 98.8 - 111.2 (12.8-12.8)
