	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気
198601010101	ダ	右	1500	晴	良	11:05	4歳以上300万下		1986-6-7	1	札幌	1	4歳以上300万下	[抽](馬齢)	2	210	1	2	100	1	3	230	4	2-3	510	2																							7.7 - 11.4 - 11.6 - 12.0 - 12.7 - 12.6 - 12.6 - 13.7	7.7 - 19.1 - 30.7 - 42.7 - 55.4 - 68.0 - 80.6 - 94.3 (7.7-7.7)			
198601010102	ダ	右	1000	晴	良	11:35	3歳新馬		1986-6-7	1	札幌	1	3歳新馬	牝(馬齢)	3	420	2	3	140	2	5	100	1	3-5	180	1																							12.5 - 10.9 - 11.6 - 12.2 - 13.9	12.5 - 23.4 - 35.0 - 47.2 - 61.1 (12.5-12.5)			
198601010201	ダ	右	1800	晴	良	11:35	4歳未勝利		1986-6-8	1	札幌	2	4歳未勝利	(馬齢)	2	140	1	2	120	1	3	260	3	2-3	630	3																							12.9 - 12.1 - 12.4 - 12.4 - 12.8 - 13.2 - 13.3 - 13.1 - 12.7	12.9 - 25.0 - 37.4 - 49.8 - 62.6 - 75.8 - 89.1 - 102.2 - 114.9 (12.9-12.9)			
198601010202	ダ	右	1000	晴	良	12:05	3歳新馬		1986-6-8	1	札幌	2	3歳新馬	(馬齢)	10	940	3	10	220	4	2	120	1	2-8	830	3																							12.4 - 11.3 - 12.1 - 11.9 - 13.0	12.4 - 23.7 - 35.8 - 47.7 - 60.7 (12.4-12.4)	3.0	280.0	7.0
198601010203	ダ	右	1800	晴	良	13:05	4歳以上オープン		1986-6-8	1	札幌	2	4歳以上オープン	[抽](別定)	7	160	1	7	100	1	5	140	3	5-6	340	1																							13.0 - 11.9 - 12.2 - 12.1 - 12.4 - 12.4 - 12.3 - 13.0 - 13.9	13.0 - 24.9 - 37.1 - 49.2 - 61.6 - 74.0 - 86.3 - 99.3 - 113.2 (13.0-13.0)	11.0	130.0	2.0
198601010204	ダ	右	1500	晴	良	13:35	4歳未勝利		1986-6-8	1	札幌	2	4歳未勝利	(馬齢)	9	750	4	9	320	5	10	150	1	8-8	950	4																							7.5 - 11.3 - 11.7 - 11.8 - 12.3 - 12.5 - 13.0 - 13.1	7.5 - 18.8 - 30.5 - 42.3 - 54.6 - 67.1 - 80.1 - 93.2 (7.5-7.5)	8.0	390.0	8.0
198601010401	ダ	右	1800	晴	良	11:35	4歳未勝利		1986-6-15	1	札幌	4	4歳未勝利	(馬齢)	4	300	1	4	130	3	5	160	4	4-5	840	4																							12.8 - 11.6 - 12.6 - 12.8 - 12.5 - 12.6 - 12.8 - 13.3 - 13.5	12.8 - 24.4 - 37.0 - 49.8 - 62.3 - 74.9 - 87.7 - 101.0 - 114.5 (12.8-12.8)	1.0	130.0	1.0
198601010402	ダ	右	1000	晴	良	12:05	3歳新馬		1986-6-15	1	札幌	4	3歳新馬	(馬齢)	2	310	2	2	130	1	3	130	2	2-3	390	1																							12.5 - 11.2 - 11.9 - 13.2 - 12.6	12.5 - 23.7 - 35.6 - 48.8 - 61.4 (12.5-12.5)	10.0	320.0	8.0
198601010403	ダ	右	1200	晴	良	13:05	4歳未勝利		1986-6-15	1	札幌	4	4歳未勝利	(馬齢)	6	1930	7	6	570	7	9	280	5	6-7	1530	6																							12.4 - 10.6 - 11.8 - 12.6 - 13.0 - 13.4	12.4 - 23.0 - 34.8 - 47.4 - 60.4 - 73.8 (12.4-12.4)	11.0	210.0	3.0
198601010404	ダ	右	1500	晴	良	13:35	4歳以上400万下		1986-6-15	1	札幌	4	4歳以上400万下	(馬齢)	1	660	4	1	220	5	6	140	1	1-6	1470	7																							7.1 - 11.3 - 11.5 - 11.6 - 12.1 - 12.2 - 13.2 - 13.1	7.1 - 18.4 - 29.9 - 41.5 - 53.6 - 65.8 - 79.0 - 92.1 (7.1-7.1)	8.0	180.0	4.0
