	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気
198602010101	芝	右	1000	晴	良	10:35	3歳未勝利		1986-8-2	1	函館	1	3歳未勝利	(混)(馬齢)	2	120	1	2	100	1	1	110	2	1-2	210	1																							12.2 - 10.7 - 11.9 - 11.8 - 12.0	12.2 - 22.9 - 34.8 - 46.6 - 58.6 (12.2-12.2)			
198602010102	芝	右	1700	晴	良	11:05	4歳以上オープン		1986-8-2	1	函館	1	4歳以上オープン	[抽](別定)	7	190	1	7	130	2	1	130	1	1-7	510	2																							7.0 - 11.7 - 12.4 - 12.3 - 12.2 - 12.2 - 12.3 - 12.0 - 11.8	7.0 - 18.7 - 31.1 - 43.4 - 55.6 - 67.8 - 80.1 - 92.1 - 103.9 (7.0-7.0)			
198602010103	ダ	右	1000	晴	良	11:35	4歳未勝利		1986-8-2	1	函館	1	4歳未勝利	(馬齢)	4	270	1	4	190	3	3	170	2	3-4	370	1																							12.5 - 11.1 - 12.1 - 13.0 - 12.9	12.5 - 23.6 - 35.7 - 48.7 - 61.6 (12.5-12.5)			
198602010104	芝	右	1200	晴	良	12:05	3歳新馬		1986-8-2	1	函館	1	3歳新馬	(馬齢)	9	590	3	9	170	3	10	130	1	8-8	720	4																							12.2 - 10.5 - 11.2 - 12.1 - 12.7 - 12.8	12.2 - 22.7 - 33.9 - 46.0 - 58.7 - 71.5 (12.2-12.2)	3.0	330.0	7.0
198602010105	芝	右	1000	晴	良	13:05	3歳新馬		1986-8-2	1	函館	1	3歳新馬	(父)(馬齢)	11	490	2	11	180	3	2	180	2	2-6	680	2																							11.9 - 11.0 - 11.7 - 11.7 - 11.9	11.9 - 22.9 - 34.6 - 46.3 - 58.2 (11.9-11.9)	6.0	1,200	12.0
198602010106	芝	右	1800	晴	良	13:35	4歳未勝利		1986-8-2	1	函館	1	4歳未勝利	(馬齢)	4	2360	6	4	420	6	11	770	12	3-7	470	1																							12.5 - 11.3 - 11.3 - 12.5 - 12.3 - 12.2 - 12.7 - 12.5 - 12.0	12.5 - 23.8 - 35.1 - 47.6 - 59.9 - 72.1 - 84.8 - 97.3 - 109.3 (12.5-12.5)	12.0	150	1.0
198602010107	ダ	右	1700	晴	良	14:05	4歳以上400万下		1986-8-2	1	函館	1	4歳以上400万下	(父)(馬齢)	3	2560	7	3	390	7	8	120	1	3-8	3990	13																							7.0 - 11.1 - 12.3 - 12.3 - 12.7 - 12.7 - 13.2 - 13.8 - 13.5	7.0 - 18.1 - 30.4 - 42.7 - 55.4 - 68.1 - 81.3 - 95.1 - 108.6 (7.0-7.0)	6.0	140	2.0
198602010108	芝	右	1200	晴	良	14:40	4歳以上400万下		1986-8-2	1	函館	1	4歳以上400万下	(馬齢)	5	3450	9	5	410	9	4	120	1	4-5	2870	14																							12.3 - 10.4 - 11.2 - 12.0 - 11.8 - 11.8	12.3 - 22.7 - 33.9 - 45.9 - 57.7 - 69.5 (12.3-12.3)	1.0	180	2.0
198602010109	芝	右	2000	晴	良	15:15	湯川特別 		1986-8-2	1	函館	1	4歳以上400万下	(混)(馬齢)	6	1070	6	6	340	6	3	600	8	3-5	8730	23																							12.6 - 10.9 - 11.9 - 11.9 - 12.3 - 12.1 - 12.3 - 12.7 - 12.3 - 11.9	12.6 - 23.5 - 35.4 - 47.3 - 59.6 - 71.7 - 84.0 - 96.7 - 109.0 - 120.9 (12.6-12.6)	13.0	180	2.0
198602010201	芝	右	1200	晴	良	10:35	3歳新馬		1986-8-3	1	函館	2	3歳新馬	(馬齢)	6	220	1	6	120	2	2	110	1	2-6	220	1																							12.0 - 10.5 - 11.5 - 11.9 - 12.0 - 12.5	12.0 - 22.5 - 34.0 - 45.9 - 57.9 - 70.4 (12.0-12.0)			
198602010202	ダ	右	1700	晴	良	11:05	4歳未勝利		1986-8-3	1	函館	2	4歳未勝利	(父)(馬齢)	5	1530	7	5	370	7	7	310	4	5-7	3990	15																							7.2 - 10.6 - 11.7 - 12.4 - 12.9 - 13.2 - 14.1 - 14.0 - 13.4	7.2 - 17.8 - 29.5 - 41.9 - 54.8 - 68.0 - 82.1 - 96.1 - 109.5 (7.2-7.2)	2.0	830	8.0
198602010203	芝	右	1000	晴	良	11:35	3歳新馬		1986-8-3	1	函館	2	3歳新馬	(馬齢)	1	170	1	1	110	1	9	110	2	1-8	270	1																							12.2 - 11.2 - 11.6 - 11.7 - 12.0	12.2 - 23.4 - 35.0 - 46.7 - 58.7 (12.2-12.2)	5.0	130	3.0
