	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気
198603010201	芝	右	1000	晴	良	10:00	3歳未勝利		1986-6-15	1	福島	2	3歳未勝利	[抽](馬齢)	3	700	5	3	360	5	1	210	3	1-3	1220	8																							13.2 - 11.7 - 12.4 - 12.5 - 11.8	13.2 - 24.9 - 37.3 - 49.8 - 61.6 (13.2-13.2)			
198603010202	芝	右	1000	晴	良	10:25	4歳未勝利		1986-6-15	1	福島	2	4歳未勝利	(馬齢)	1	1800	6	1	350	6	4	250	3	1-4	7340	18																							12.6 - 11.0 - 11.8 - 11.8 - 11.5	12.6 - 23.6 - 35.4 - 47.2 - 58.7 (12.6-12.6)	6.0	320.0	4.0
198603010203	芝	右	1800	晴	良	10:50	4歳未勝利		1986-6-15	1	福島	2	4歳未勝利	(父)(馬齢)	2	150	1	2	120	1	3	170	3	2-3	450	1																							12.9 - 10.9 - 12.3 - 12.6 - 12.7 - 12.1 - 12.3 - 12.1 - 12.1	12.9 - 23.8 - 36.1 - 48.7 - 61.4 - 73.5 - 85.8 - 97.9 - 110.0 (12.9-12.9)	6.0	840.0	10.0
198603010204	ダ	右	1700	晴	良	11:20	4歳未勝利		1986-6-15	1	福島	2	4歳未勝利	(馬齢)	12	1040	5	12	230	5	5	170	3	5-8	2670	9																							7.3 - 11.1 - 12.3 - 13.0 - 13.4 - 12.6 - 13.0 - 13.5 - 12.6	7.3 - 18.4 - 30.7 - 43.7 - 57.1 - 69.7 - 82.7 - 96.2 - 108.8 (7.3-7.3)	2.0	120.0	1.0
198603010205	芝	右	1700	晴	良	11:50	4歳未勝利		1986-6-15	1	福島	2	4歳未勝利	(馬齢)	1	200	1	1	130	1	10	200	3	1-8	440	2																							7.1 - 11.0 - 11.5 - 12.1 - 12.3 - 12.3 - 12.4 - 12.2 - 13.1	7.1 - 18.1 - 29.6 - 41.7 - 54.0 - 66.3 - 78.7 - 90.9 - 104.0 (7.1-7.1)	2.0	330.0	5.0
198603010206	芝	右	1000	晴	良	12:50	4歳未勝利		1986-6-15	1	福島	2	4歳未勝利	(馬齢)	8	670	5	8	140	2	3	140	3	3-8	1530	8																							12.7 - 11.1 - 11.6 - 11.5 - 11.9	12.7 - 23.8 - 35.4 - 46.9 - 58.8 (12.7-12.7)	1.0	120.0	1.0
198603010207	ダ	右	1700	晴	良	13:25	4歳400万下		1986-6-15	1	福島	2	4歳400万下	(馬齢)	8	310	1	8	150	1	4	170	3	4-6	760	2																							7.0 - 10.9 - 11.4 - 12.0 - 13.1 - 13.1 - 13.2 - 13.7 - 13.0	7.0 - 17.9 - 29.3 - 41.3 - 54.4 - 67.5 - 80.7 - 94.4 - 107.4 (7.0-7.0)	12.0	650.0	10.0
198603010208	芝	右	1000	晴	良	14:00	4歳以上400万下		1986-6-15	1	福島	2	4歳以上400万下	(馬齢)	13	880	4	13	290	4	10	760	9	7-8	2380	12																							12.5 - 10.9 - 11.3 - 11.6 - 11.8	12.5 - 23.4 - 34.7 - 46.3 - 58.1 (12.5-12.5)	5.0	1,430	13.0
198603010209	芝	右	1700	晴	良	14:35	かきつばた賞 		1986-6-15	1	福島	2	4歳400万下	(馬齢)	4	270	1	4	140	1	5	180	2	3-4	620	1																							7.1 - 10.9 - 11.9 - 12.8 - 12.8 - 12.2 - 12.1 - 11.8 - 11.6	7.1 - 18.0 - 29.9 - 42.7 - 55.5 - 67.7 - 79.8 - 91.6 - 103.2 (7.1-7.1)	3.0	910	11.0
198603010301	芝	右	2000	曇	良	10:20	4歳未勝利		1986-6-21	1	福島	3	4歳未勝利	(馬齢)	5	350	2	5	130	2	1	160	3	1-5	840	3																							13.2 - 10.8 - 11.5 - 13.5 - 13.0 - 12.0 - 12.0 - 12.4 - 12.7 - 12.9	13.2 - 24.0 - 35.5 - 49.0 - 62.0 - 74.0 - 86.0 - 98.4 - 111.1 - 124.0 (13.2-13.2)	8.0	240	5.0
