rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	7	9		ラガーエタンセル	牝3	54.0		小谷周平	1:33.9		2-2-2-2	39.9	34.7	9	476	-11		尾林幸二		奥村啓二	50.0
2	6	7		エイシンフォーユー	牝3	54.0		鴨宮祥行	1:33.9	クビ	1-1-1-1	40.0	1.7	1	435	-6		渡瀬寛彰		平井克彦	14.0
3	8	11		カムオンルンルン	牝3	54.0		寺地誠一	1:34.6	4.0	4-4-3-3	40.5	15.1	3	398	-1		大石省三		名古屋一征	7.0
4	1	1		フィエールデエス	牝3	54.0		永井孝典	1:34.6	クビ	7-7-7-5	39.9	26.3	6	477	2		坂本和也		山本佳彦	5.0
5	6	6		ネペンテス	牝3	54.0		田中学	1:34.7	1/2	3-3-4-4	40.6	2.8	2	445	-1		盛本信春		手嶋康雄	4.0
6	4	4		フィールザゴッデス	牝3	54.0		杉浦健太	1:35.5	5.0	5-5-6-6	41.1	28.5	8	457	0		高本友芳		織田洋介	
7	3	3		フクノマーチ	牝3	54.0		長谷部駿	1:35.6	3/4	10-10-9-9	40.1	77.5	10	460	-3		盛本信春		佐藤範夫	
8	8	10		リコーレキシントン	牝3	54.0		永島太郎	1:35.7	クビ	8-8-8-7	40.9	15.6	4	425	3		雑賀伸一		立田昇子	
9	7	8		フクノレジーナ	牝3	54.0		松本幸祐	1:36.2	3.0	11-11-11-11	40.2	163.7	11	515	7		小村正也		（株）ファーストビ	
10	2	2		バトルメダリスト	牡3	55.0		田野豊三	1:37.2	6.0	9-9-10-10	41.8	22.1	5	479	-3		溝橋利喜		小林聖子	
11	5	5		ミスラコニック	牝3	54.0		大山真吾	1:37.8	3.1/2	6-6-5-8	43.5	26.8	7	372	-7		小牧毅		西本資史	
