rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	8	10		プローン	牝6	54.0		中田貴士	1:33.2		2-2-1-1	39.9	4.4	2	423	3		野田忍		岡本敞司	35.0
2	6	6		エイシンコトダマ	牝4	54.0		杉浦健太	1:33.3	クビ	5-5-2-2	39.9	1.7	1	461	-1		山口益巳		谷謙介	9.8
3	7	8		コウキバイオ	牝5	54.0		下原理	1:33.9	3.1/2	3-3-4-3	40.5	5.7	3	429	2		森澤友貴		バイオ（株）	4.9
4	5	5		エンジェルズライン	牝4	54.0		小谷周平	1:34.5	4.0	9-9-9-7	40.2	90.8	8	434	-5		南弘樹		島井新一郎	3.5
5	8	9		ヤマカツマッハ	牡4	56.0		松木大地	1:34.6	クビ	7-7-5-6	40.9	21.1	6	521	-4		玉垣光章		山田和夫	2.8
6	3	3		バームクーヘン	牝4	54.0		井上幹太	1:34.7	クビ	6-6-5-5	41.0	9.4	4	479	5		諏訪貴正		神田宏治	
7	2	2		エイシンセレニティ	牝5	54.0		鴨宮祥行	1:34.8	3/4	1-1-3-4	41.6	19.5	5	476	-1		渡瀬寛彰		遠藤喜和	
8	7	7		マルカンアカツキ	牡4	56.0		山田雄大	1:35.2	2.1/2	10-10-7-8	40.9	143.6	10	459	2		三宅直之		斉藤勘介	
9	4	4		メイショウランラン	牝4	54.0		高畑皓一	1:36.4	7.0	4-4-7-9	42.7	24.2	7	443	-2		長倉功		上田正則	
10	1	1		プリサイスプロミス	牡5	55.0		石堂響	1:37.8	9.0	8-8-10-10	43.6	117.0	9	519	5		山口益巳		阿部善武	
