	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201105010111	芝	左	2000	晴	良	15:45	白富士ステークス 		2011-1-29	1	東京	1	4歳以上オープン	(国際)[指](別定)	8	180	1	8	110	1	6	210	4	10.0	220	5.0	6-7	630.0	3.0	6-8	730	3	6-8	320	3	8-10	390	4	6-10	1,220	15	8=>6	1150	4	6-8-10	2310	8	8=>6=>10	6760	19		2(3,5)(6,8)4,10-(1,9)7	2(3,5)8(4,6)(1,10)(7,9)	(*2,5)(3,8)(4,6)(1,10)(7,9)	12.9 - 11.8 - 12.3 - 12.5 - 12.7 - 12.6 - 12.5 - 11.4 - 11.0 - 11.4	12.9 - 24.7 - 37.0 - 49.5 - 62.2 - 74.8 - 87.3 - 98.7 - 109.7 - 121.1 (37.0-33.8)
201105010112	ダ	左	1600	晴	良	16:20	4歳以上1000万下		2011-1-29	1	東京	1	4歳以上1000万下	(混)[指](定量)	13	1830	7	13	540	7	12	2,190	12	4.0	610	9.0	6-7	7650.0	26.0	12-13	124890	94	12-13	28,300	97	4-13	6,080	51	4-12	18,680	81	13=>12	194470	156	4-12-13	525770	374	13=>12=>4	3733850	2216			(5,*9)(2,13)(6,16)(1,11,14)(3,7,15)4,12-8-10	(5,*9)(2,13)(6,16)(1,11,14)(4,15,8)7(3,12)-10	12.4 - 11.6 - 12.3 - 12.4 - 12.5 - 12.4 - 12.3 - 12.8	12.4 - 24.0 - 36.3 - 48.7 - 61.2 - 73.6 - 85.9 - 98.7 (36.3-37.5)
201105010201	ダ	左	1400	晴	良	10:10	3歳未勝利		2011-1-30	1	東京	2	3歳未勝利	(混)[指](馬齢)	14	130	1	14	110	1	10	680	8	5.0	180	2.0	5-7	2420.0	7.0	10-14	3420	10	10-14	1,190	15	5-14	250	2	5-10	2,760	28	14=>10	4340	12	5-10-14	4440	13	14=>10=>5	21110	56			14,10(5,13)(9,15)(1,2,6)12(8,11)(4,16)-7,3	(*14,10)13,5(9,15)(1,2,6)12(8,11)4,16,7-3	12.9 - 11.7 - 12.6 - 13.0 - 12.4 - 12.3 - 12.5	12.9 - 24.6 - 37.2 - 50.2 - 62.6 - 74.9 - 87.4 (37.2-37.2)
201105010202	ダ	左	1300	晴	良	10:40	3歳未勝利		2011-1-30	1	東京	2	3歳未勝利	[指](馬齢)	7	510	2	7	160	3	11	120	1	16.0	160	2.0	4-6	640.0	3.0	7-11	690	1	7-11	310	2	7-16	620	8	11-16	290	1	7=>11	1520	4	7-11-16	1340	1	7=>11=>16	7580	11			(*2,7)11(1,5,10)(3,14)4-(8,15)6,16-12-13=9	(*2,7)11(5,10)(1,3,4)14,6,15,8,16,12=13=9	6.9 - 11.6 - 12.2 - 12.8 - 12.5 - 12.3 - 13.1	6.9 - 18.5 - 30.7 - 43.5 - 56.0 - 68.3 - 81.4 (30.7-37.9)
201105010203	ダ	左	1600	晴	良	11:10	3歳未勝利		2011-1-30	1	東京	2	3歳未勝利	[指](馬齢)	9	520	2	9	200	2	13	300	5	4.0	1,020	9.0	5-7	2460.0	12.0	9-13	2700	12	9-13	880	10	4-9	2,610	24	4-13	3,110	28	9=>13	4700	19	4-9-13	24070	56	9=>13=>4	109380	260			(*1,8,13)-15(6,9,16)(3,14)10(2,11)-12,4,7,5	(*1,8,13)-15(6,9)(3,10,16)14(2,11)12,4,7,5	12.4 - 11.4 - 12.3 - 12.7 - 12.9 - 12.9 - 12.8 - 13.2	12.4 - 23.8 - 36.1 - 48.8 - 61.7 - 74.6 - 87.4 - 100.6 (36.1-38.9)
201105010204	芝	左	2400	晴	良	11:40	3歳未勝利		2011-1-30	1	東京	2	3歳未勝利	(混)[指](馬齢)	14	310	1	14	160	1	4	250	5	8.0	2,240	13.0	2-7	570.0	1.0	4-14	1510	5	4-14	560	5	8-14	7,660	49	4-8	13,780	66	14=>4	2480	8	4-8-14	82740	140	14=>4=>8	275900	549	(*4,16)(7,8)(1,5,13)(2,14)(3,10,11)(9,12)-6,15	16(4,8)(7,13)(1,5)14(2,3)9,11(12,10)-6-15	16,8,4,13(7,5)3(1,14)11(2,9)(10,6)12,15	16,8(4,13)5(7,3)(14,11)(1,9)6(2,10)15,12	12.8 - 11.4 - 12.5 - 12.9 - 13.3 - 13.6 - 13.8 - 13.4 - 13.6 - 12.3 - 11.1 - 11.2	12.8 - 24.2 - 36.7 - 49.6 - 62.9 - 76.5 - 90.3 - 103.7 - 117.3 - 129.6 - 140.7 - 151.9 (36.7-34.6)
201105010205	芝	左	1800	晴	良	12:30	3歳新馬		2011-1-30	1	東京	2	3歳新馬	[指](馬齢)	6	1310	5	6	270	3	10	570	7	2.0	780	9.0	3-5	1140.0	4.0	6-10	9230	27	6-10	2,570	27	2-6	3,910	44	2-10	5,380	52	6=>10	20310	59	2-6-10	85040	177	6=>10=>2	397230	849		(*9,10,11)2(12,14,16)(1,4)(8,15)-5(3,6)13,7	(*9,10,11)(2,4,12,14)(15,16)(1,8)(3,5,13)6=7	(*9,10)11(2,4,12,14,16)15(1,8,13)6(3,5)-7	13.0 - 11.8 - 12.5 - 13.4 - 13.8 - 13.9 - 12.4 - 11.1 - 11.2	13.0 - 24.8 - 37.3 - 50.7 - 64.5 - 78.4 - 90.8 - 101.9 - 113.1 (37.3-34.7)
201105010206	ダ	左	1600	晴	良	13:00	3歳500万下		2011-1-30	1	東京	2	3歳500万下	(混)(特指)(馬齢)	12	760	4	12	260	4	4	150	1	15.0	640	9.0	3-7	520.0	1.0	4-12	1480	4	4-12	650	4	12-15	3,430	39	4-15	1,550	16	12=>4	2980	9	4-12-15	14730	45	12=>4=>15	67800	219			1(7,10)(4,6,14)(9,13,15)(2,8,11)5=3-12	1(7,10)(4,6,14)(2,5,13,15)9(8,11)-3-12	12.2 - 11.3 - 12.2 - 12.6 - 13.0 - 13.0 - 12.6 - 12.5	12.2 - 23.5 - 35.7 - 48.3 - 61.3 - 74.3 - 86.9 - 99.4 (35.7-38.1)
201105010207	芝	左	2000	晴	良	13:30	3歳500万下		2011-1-30	1	東京	2	3歳500万下	(混)(特指)(馬齢)	3	350	1	3	160	1	4	210	5	6.0	260	6.0	3-4	1420.0	7.0	3-4	1540	8	3-4	480	6	3-6	690	10	4-6	960	15	3=>4	2340	10	3-4-6	4020	18	3=>4=>6	14810	62		(*5,4)(2,3,8)1,6(7,9)10	5,4(2,8)3(1,6)(7,9)10	(*5,4)(2,8)3,6(1,7,9)10	13.3 - 12.4 - 13.3 - 13.6 - 13.9 - 13.6 - 13.5 - 11.7 - 10.9 - 11.0	13.3 - 25.7 - 39.0 - 52.6 - 66.5 - 80.1 - 93.6 - 105.3 - 116.2 - 127.2 (39.0-33.6)
201105010208	ダ	左	1400	晴	良	14:01	4歳以上500万下		2011-1-30	1	東京	2	4歳以上500万下	(混)[指](定量)	16	3730	7	16	1,410	7	10	810	5	12.0	390	2.0	5-8	6570.0	16.0	10-16	16290	31	10-16	4,380	35	12-16	2,660	23	10-12	1,480	15	16=>10	48410	63	10-12-16	38840	83	16=>10=>12	422690	564			7(12,16)(3,5)(1,9,13)(4,10,14)(2,8,15)-(11,6)	(*7,12,16)5,1(3,4,9,13)(10,14)(2,8,15)(11,6)	12.7 - 11.2 - 12.3 - 12.9 - 12.3 - 12.5 - 13.3	12.7 - 23.9 - 36.2 - 49.1 - 61.4 - 73.9 - 87.2 (36.2-38.1)
