日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey_id	jockey_name	field	distance	weight	gain	bounty
2022/07/18	曇	2	10	2	2	2.6	2	1	54.0	稍	1:31.0	-0.1	1-1-1-1	0.0-39.3	39.3	金沢	202246071802	3歳B　3	202246071802	05556	栗原大河	ダ	1400	464	16	35.0
2022/06/26	晴	3	16	3	6	121.1	14	13	52.0	良	2:00.1	3.7	2-2-2-2	38.8-38.0	41.5	阪神	202209030403	3歳未勝利	202209030403	01185	小沢大仁	ダ	1800	448	-8	0.0
2022/02/06	晴	7	16	2	4	125.0	14	12	52.0	良	1:51.1	2.6	11-11-11-11	35.9-36.1	37.5	小倉	202210010807	3歳未勝利	202210010807	01185	小沢大仁	芝	1800	456	-2	0.0
2022/01/26	晴	9	9	2	2	2.9	1	5	54.0	良	1:34.4	1.2	7-6-4	0.0-42.4	42.8	笠松	202247012609	端月賞	202247012609	05489	今井貴大	ダ	1400	458	-4	2.5
2021/10/16	晴	4	8	8	8	31.7	7	4	54.0	良	1:17.3	3.4	4-4	37.3-36.6	39.5	阪神	202109040304	2歳新馬	202109040304	01138	藤懸貴志	ダ	1200	462	0	110.0
